Datum	Uhrzeit	Kommentar	p_Probe_Ist / bar	I_Ist / mA	U_ges / mV	U_Nadel / mV	U_ges-Th_U	U_Nadel-Th_U	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	Anpressfläche / cm²	p_Ist / bar	p_Kraftsensor / ?	Weg Bürster	Kraftsensor Poly	Probendicke Poly	Kraftsensor	Probendicke	U_ges 1	U_Nadel 1	U_ges 2	U_Nadel 2	Diff_U_ges/2	Diff_U_Nadel/2	Relais	
06.07.2020	13:34:35	Messung I (5 Zyklen)	1,023636	499,700000	35,378207	0,037415	35,302523	0,035241	159,297509	0,168469	2,250000	0,117224	-5509,735169	2399,420705	0,000000	0,000000	-60,540195	18265,373983	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:34:39	Messung I (5 Zyklen)	0,990221	999,000000	69,203181	0,049011	69,127498	0,046836	155,863021	0,110384	2,250000	0,113509	-5506,981246	2407,422274	0,000000	0,000000	-60,506253	18094,232068	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:34:43	Messung I (5 Zyklen)	0,980784	1498,000000	104,166831	0,044004	104,091147	0,041829	156,458859	0,066093	2,250000	0,112402	-5510,986952	2407,333422	0,000000	0,000000	-60,555625	18096,132472	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:34:46	Messung I (5 Zyklen)	0,975965	1998,000000	139,364218	0,043081	139,288534	0,040907	156,941686	0,048515	2,250000	0,111872	-5507,544548	2407,320259	0,000000	0,000000	-60,513195	18096,414013	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:34:49	Messung I (5 Zyklen)	1,910853	499,700000	34,535948	0,043542	34,460264	0,041368	155,505069	0,196058	2,250000	0,219039	-5436,756202	2399,435513	0,000000	0,000000	-59,642299	18265,057249	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:34:54	Messung I (5 Zyklen)	1,927460	999,000000	67,707137	0,048747	67,631453	0,046573	152,493553	0,109791	2,250000	0,220907	-5434,628171	2407,435437	0,000000	0,000000	-59,616166	18093,950527	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:34:57	Messung I (5 Zyklen)	1,938790	1498,000000	101,442708	0,044992	101,367024	0,042818	152,367219	0,067578	2,250000	0,222228	-5428,995146	2407,379494	0,000000	0,000000	-59,547004	18095,147077	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:00	Messung I (5 Zyklen)	1,953217	1998,000000	135,288402	0,052107	135,212719	0,049933	152,351805	0,058679	2,250000	0,223872	-5428,118897	2407,367976	0,000000	0,000000	-59,536247	18095,393426	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:03	Messung I (5 Zyklen)	3,064705	499,700000	31,849339	0,046375	31,773655	0,044201	143,408069	0,208814	2,250000	0,351321	-5318,713035	2405,149979	0,000000	0,000000	-58,196857	18142,833138	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:08	Messung I (5 Zyklen)	3,060775	999,000000	61,941379	0,047364	61,865695	0,045189	139,507610	0,106675	2,250000	0,350857	-5316,960539	2413,386842	0,000000	0,000000	-58,175461	17966,658646	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:11	Messung I (5 Zyklen)	3,066512	1498,000000	92,904110	0,039787	92,828426	0,037613	139,542222	0,059760	2,250000	0,351482	-5313,080010	2413,365451	0,000000	0,000000	-58,128091	17967,116151	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:14	Messung I (5 Zyklen)	3,066827	1998,000000	123,652375	0,037218	123,576691	0,035043	139,248170	0,041912	2,250000	0,351551	-5314,206615	2413,335834	0,000000	0,000000	-58,141843	17967,749619	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:18	Messung I (5 Zyklen)	5,066163	499,700000	24,966336	0,039062	24,890652	0,036888	112,415963	0,175886	2,250000	0,580663	-5073,238321	2447,780614	0,000000	0,000000	-55,217740	17231,025928	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:22	Messung I (5 Zyklen)	5,064213	999,000000	48,723667	0,050065	48,647983	0,047891	109,737989	0,112759	2,250000	0,580463	-5074,990817	2456,024066	0,000000	0,000000	-55,238883	17054,710474	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:25	Messung I (5 Zyklen)	5,059882	1499,000000	72,970078	0,040446	72,894395	0,038272	109,528136	0,060709	2,250000	0,579930	-5075,554120	2455,897371	0,000000	0,000000	-55,245679	17057,420313	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:29	Messung I (5 Zyklen)	5,057071	1998,000000	97,110845	0,043938	97,035161	0,041763	109,359060	0,049479	2,250000	0,579703	-5075,491531	2455,959896	0,000000	0,000000	-55,244924	17056,082990	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:32	Messung I (5 Zyklen)	4,029709	499,700000	24,936886	0,044926	24,861202	0,042752	112,283358	0,202288	2,250000	0,461920	-5168,937159	2447,777323	0,000000	0,000000	-56,374918	17231,096313	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:36	Messung I (5 Zyklen)	4,053115	999,000000	49,234401	0,045387	49,158717	0,043213	110,888290	0,102223	2,250000	0,464484	-5164,806274	2455,979641	0,000000	0,000000	-56,324857	17055,660678	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:40	Messung I (5 Zyklen)	4,047579	1498,000000	73,802534	0,047100	73,726850	0,044926	110,851603	0,070744	2,250000	0,464021	-5165,682522	2455,968123	0,000000	0,000000	-56,335475	17055,907026	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:43	Messung I (5 Zyklen)	4,039347	1998,000000	98,366431	0,049999	98,290747	0,047825	110,773007	0,056305	2,250000	0,463025	-5164,806274	2455,910534	0,000000	0,000000	-56,324857	17057,138771	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:46	Messung I (5 Zyklen)	9,838104	499,700000	17,383861	0,039194	17,308177	0,037020	78,274337	0,176479	2,250000	1,127839	-4546,425271	2511,021598	0,000000	0,000000	-48,941019	15878,393337	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:51	Messung I (5 Zyklen)	9,927394	999,000000	34,292771	0,051712	34,217087	0,049538	77,235970	0,116468	2,250000	1,137876	-4535,221809	2519,645152	0,000000	0,000000	-48,809202	15693,948064	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:54	Messung I (5 Zyklen)	9,936515	1498,000000	51,266203	0,036032	51,190519	0,033857	77,001974	0,054120	2,250000	1,138977	-4535,346987	2519,589209	0,000000	0,000000	-48,810674	15695,144618	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:35:57	Messung I (5 Zyklen)	9,943829	1998,000000	68,147774	0,042752	68,072090	0,040578	76,742989	0,048144	2,250000	1,139829	-4535,722522	2519,574400	0,000000	0,000000	-48,815092	15695,461353	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:00	Messung I (5 Zyklen)	12,042100	499,700000	15,226966	0,042291	15,151282	0,040116	68,562485	0,190422	2,250000	1,380209	-4292,500991	2558,025834	0,000000	0,000000	-45,969848	14873,041159	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:05	Messung I (5 Zyklen)	12,037711	999,000000	30,187684	0,040841	30,112001	0,038667	67,990280	0,091984	2,250000	1,379870	-4290,936262	2566,626363	0,000000	0,000000	-45,951645	14689,088357	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:08	Messung I (5 Zyklen)	12,052225	1499,000000	45,131666	0,043872	45,055982	0,041698	67,742661	0,065852	2,250000	1,381452	-4289,934835	2566,598391	0,000000	0,000000	-45,939995	14689,686635	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
06.07.2020	13:36:11	Messung I (5 Zyklen)	12,049959	1998,000000	60,033760	0,045453	59,958076	0,043279	67,605585	0,051186	2,250000	1,381126	-4292,939116	2566,604973	0,000000	0,000000	-45,974946	14689,545863	-67,551751	0,037481	67,703118	0,041829	0,075684	0,002174	0,000000
