Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
678.02930836	3.44912232	665.59342705	331.07215236	13.76237532															
627.00715841	1.71852853	614.5712771	306.42637429	13.76237532															
609.56686791	1.20952635	597.1309866	297.96073013	13.76237532															
587.49194722	0.9514476	575.05606591	287.05230916	13.76237532															
					404.53942288	3.08371674	395.48605627	196.20116976	10.01905905										
					391.85628003	1.59127628	382.80291342	190.60581857	10.01905905										
					384.91081221	1.11401518	375.8574456	187.37171521	10.01905905										
					376.34878814	0.82487619	367.29542153	183.23527267	10.01905905										
										219.73669234	3.18741748	213.2633239	105.03795321	7.16386107					
										216.66048048	1.6913476	210.18711204	104.24788222	7.16386107					
										213.97806955	1.14448049	207.50470111	103.18011031	7.16386107					
										211.47829017	0.90559497	205.00492173	102.04966338	7.16386107					
															149.75458842	3.19728946	144.47747744	70.64009399	5.84000281
															149.01906907	1.65799174	143.7419581	71.04198318	5.84000281
															147.94908022	1.10989993	142.67196925	70.78103466	5.84000281
															146.79139945	0.8501901	141.51428848	70.33204919	5.84000281
669.69414383	3.60219794	657.27906413	326.83843309	13.73935487															
614.7451539	1.95203078	602.3300742	300.18902171	13.73935487															
599.99514676	1.48864743	587.58006706	293.04570982	13.73935487															
580.70885193	1.19841671	568.29377223	283.54767776	13.73935487															
					408.85297869	3.43005702	399.80998012	198.18996155	10.00758508										
					392.6025	1.77289039	383.55950143	190.89330552	10.00758508										
					386.85890344	1.26469313	377.81590487	188.27560587	10.00758508										
					378.93149024	1.03408221	369.88849167	184.42720473	10.00758508										
										223.12427221	3.19546068	216.65278966	106.72866449	7.16177402					
										219.40938063	1.60115991	212.93789808	105.66836909	7.16177402					
										217.26412275	1.2119955	210.7926402	104.79032235	7.16177402					
										214.6485424	0.94095173	208.17705985	103.61805406	7.16177402					
															154.32459992	3.3380176	149.05232664	72.85715452	5.8346491
															153.53343844	1.67281907	148.26116516	73.29417304	5.8346491
															152.35737658	1.15847732	147.0851033	72.96331299	5.8346491
															151.20596361	0.88538457	145.93369033	72.52415288	5.8346491
665.00779562	3.40289616	652.57065175	324.5838778	13.76377255															
612.65721847	1.85072447	600.2200746	299.18467506	13.76377255															
597.69546364	1.37090644	585.25831977	291.94370667	13.76377255															
578.86829392	1.09153153	566.43115005	282.66980926	13.76377255															
					404.29439526	3.45721789	395.24732025	195.89505118	10.01209634										
					390.50962838	1.89272898	381.46255337	189.7849122	10.01209634										
					384.66791778	1.35443796	375.62084277	187.13320241	10.01209634										
					376.80383067	1.07616746	367.75675566	183.3402941	10.01209634										
										225.35910864	3.27201381	218.88771721	107.8078517	7.16167318					
										221.61220345	1.72717718	215.14081202	106.70681742	7.16167318					
										219.41063876	1.25563459	212.93924733	105.84180637	7.16167318					
										217.09347035	0.9284497	210.62207891	104.84681461	7.16167318					
															155.97788866	3.36585384	150.69691476	73.66553046	5.84427778
															155.20254505	1.73212087	149.92157115	74.09472514	5.84427778
															154.24288359	1.16671281	148.96190969	73.89759844	5.84427778
															152.96931903	0.94650825	147.68834514	73.37091844	5.84427778
660.46402311	3.66712185	648.03125355	322.18206585	13.75893164															
607.3928979	1.93102853	594.96012834	296.51454991	13.75893164															
594.49006921	1.41289693	582.05729965	290.32220136	13.75893164															
576.55238739	1.16689377	564.11961783	281.47636203	13.75893164															
					404.99571579	3.24485294	395.94759215	196.3513696	10.01325683										
					390.34531156	1.75806306	381.29718792	189.76956243	10.01325683										
					385.17346731	1.33961808	376.12534367	187.3928628	10.01325683										
					377.42557841	1.01133692	368.37745478	183.68305893	10.01325683										
										225.76903511	3.27448229	219.30368699	108.01460235	7.15498526					
										222.43625751	1.75806306	215.97090938	107.10642316	7.15498526					
										220.2850542	1.22928702	213.81970608	106.29520953	7.15498526					
										218.09481231	1.00134197	211.62946419	105.31406111	7.15498526					
															155.17038565	3.35597239	149.89309458	73.2685611	5.84020212
															154.8751464	1.6827027	149.59785533	73.95757631	5.84020212
															153.94317879	1.16177201	148.66588772	73.75205785	5.84020212
															152.85756566	0.89649762	147.58027459	73.34188848	5.84020212
677.49327731	3.28683223	665.05740906	330.88528841	13.76236086															
630.9223536	1.73582583	618.48648535	308.37532976	13.76236086															
615.98671531	1.24163776	603.55084706	301.15460465	13.76236086															
595.22897949	0.91008129	582.79311124	290.94151497	13.76236086															
					408.37637305	3.07445978	399.33791138	198.1317258	10.00256425										
					393.95656532	1.63698949	384.91810364	191.64055708	10.00256425										
					388.62173616	1.11977902	379.58327449	189.23174773	10.00256425										
					380.77604542	0.84876314	371.73758375	185.44441031	10.00256425										
										227.22106092	3.22015306	220.75635654	108.76810174	7.15427285					
										223.67295045	1.63451952	217.20824607	107.78686327	7.15427285					
										221.89308873	1.10989993	215.42838434	107.15924221	7.15427285					
										219.32057904	0.86624437	212.85587466	105.99481514	7.15427285					
															156.7557623	3.10162065	151.48408498	74.19123217	5.83398957
															155.87834084	1.53938814	150.60666352	74.53363769	5.83398957
															155.16834556	1.15847732	149.89666824	74.36909546	5.83398957
															154.02202414	0.83166896	148.75034681	73.95933893	5.83398957
