Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
148.70247899	3.63822043	136.51564012	66.43870984	13.48676835															
144.26225601	1.84701577	132.07541714	65.11420068	13.48676835															
142.53812583	1.13370911	130.35128696	64.60878893	13.48676835															
141.23101727	0.89941629	129.0441784	64.07238105	13.48676835															
					88.79191765	3.52954022	79.91394179	38.19220079	9.82495995										
					85.97207958	1.80748123	77.09410372	37.64331125	9.82495995										
					84.75453104	1.22186916	75.87655519	37.32734301	9.82495995										
					83.9773292	0.87594407	75.09935335	37.11170464	9.82495995										
										50.16225735	3.62339904	43.7991454	20.08787318	7.0418439					
										47.56785661	1.74447447	41.20474465	19.73013509	7.0418439					
										46.73090287	1.18973632	40.36779092	19.5890273	7.0418439					
										46.15066629	0.86976539	39.78755434	19.45889447	7.0418439					
															36.75302431	3.68020812	31.57985668	13.94982428	5.72497218
															34.39911036	1.85195946	29.22594273	13.68699163	5.72497218
															33.67022113	1.17160965	28.4970535	13.66272192	5.72497218
															33.22715465	0.87161974	28.05398702	13.59118364	5.72497218
150.02388683	3.59870172	137.83744031	67.11936929	13.48633415															
146.01784535	1.75065315	133.83139882	66.04037283	13.48633415															
144.27576268	1.14606809	132.08931616	65.47162403	13.48633415															
143.00019707	0.88335586	130.81375055	64.96519735	13.48633415															
					90.58014309	3.60610867	81.70410895	39.04900014	9.82281111										
					87.62882883	1.74447447	78.75279469	38.50416011	9.82281111										
					86.46827353	1.16501836	77.5922394	38.21361052	9.82281111										
					85.67608671	0.89571134	76.80005258	37.95217062	9.82281111										
										51.00203372	3.52954022	44.64917383	20.5598168	7.03049828					
										48.59081832	1.80501126	42.23795843	20.21647358	7.03049828					
										47.69570427	1.18643942	41.34284438	20.07820248	7.03049828					
										47.13532658	0.8864452	40.78246669	19.94801075	7.03049828					
															37.45695417	3.49002151	32.2797114	14.39484494	5.729482
															35.14532658	1.74694444	29.9680838	14.11056968	5.729482
															34.4265746	1.10816756	29.24933183	14.07058213	5.729482
															33.93877815	0.91794857	28.76153538	13.9217934	5.729482
151.90844006	3.56165199	139.72068083	68.07951442	13.48778689															
147.91180556	1.85442943	135.72404632	66.93480844	13.48778689															
146.29517774	1.1971512	134.1074185	66.45513365	13.48778689															
144.9522241	0.86853041	132.76446486	65.94796723	13.48778689															
					92.60548079	3.49249049	83.72724284	40.11737617	9.82524999										
					89.43506757	1.78277402	80.55682962	39.3870278	9.82524999										
					88.22732894	1.12052654	79.34909099	39.11428223	9.82524999										
					87.35507508	0.85926426	78.47683713	38.80878643	9.82524999										
										51.84921703	3.62093006	45.50344644	20.94125819	7.02265279					
										49.44945946	1.76547673	43.10368887	20.66910607	7.02265279					
										48.43887517	1.16337116	42.09310458	20.46486671	7.02265279					
										47.83459647	0.89941629	41.48882588	20.29470479	7.02265279					
															38.00280919	3.44556484	32.82514736	14.68979126	5.72994576
															35.61727477	1.82972222	30.43961294	14.30494536	5.72994576
															34.8821996	1.23175484	29.70453777	14.23639146	5.72994576
															34.38477853	0.92042042	29.2071167	14.14334814	5.72994576
