Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
206.98071321	3.5396021	194.79387434	95.62713612	13.48676835															
203.9359494	1.70479208	191.74911053	95.02215922	13.48676835															
202.65986222	1.21237976	190.47302335	94.6303218	13.48676835															
201.01713696	0.8575313	188.83029808	93.98638339	13.48676835															
					125.49934197	3.54630204	116.62136612	56.53753204	9.82495995										
					124.91099699	1.81114855	116.03302114	57.1109363	9.82495995										
					124.38840681	1.15549098	115.51043096	57.17746999	9.82495995										
					123.68426139	0.87112857	114.80628554	56.96757848	9.82495995										
										70.10507906	3.52653873	63.74196711	30.10771419	7.0418439					
										70.51753887	1.74735331	64.15442691	31.2035368	7.0418439					
										70.35958027	1.18190838	63.99646832	31.40727997	7.0418439					
										70.18246495	0.85938658	63.81935299	31.47998321	7.0418439					
															50.76414632	3.5611264	45.59097868	21.01492614	5.72497218
															51.5424486	1.69907347	46.36928096	22.33510375	5.72497218
															51.64931826	1.21651452	46.47615063	22.62981805	5.72497218
															51.63017651	0.88287056	46.45700888	22.78706916	5.72497218
234.21275771	3.40055044	222.02631118	109.31288037	13.48633415															
229.54425225	1.74436623	217.35780573	107.80671975	13.48633415															
227.66307076	1.14895194	215.47662424	107.16383615	13.48633415															
225.31170255	0.85938658	213.12525603	106.13293472	13.48633415															
					140.08471777	3.57595076	131.20868364	63.81636644	9.82281111										
