Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
310.37096427	3.64017964	298.1841254	147.27197288	13.48676835															
301.64006513	1.83712049	289.45322626	143.80805288	13.48676835															
297.63912467	1.16378171	285.4522858	142.14425204	13.48676835															
292.64973536	0.85339715	280.46289649	139.80474967	13.48676835															
					182.44504353	3.56359588	173.56706768	85.0017359	9.82495995										
					180.09118362	1.82227831	171.21320776	84.69546473	9.82495995										
					178.45519539	1.17527806	169.57721953	84.20097074	9.82495995										
					176.56309685	0.8571021	167.68512099	83.41400944	9.82495995										
										95.56276771	3.51172188	89.19965576	42.84396694	7.0418439					
										95.24759143	1.76168086	88.88447948	43.56139931	7.0418439					
										94.80511432	1.20744993	88.44200237	43.61727622	7.0418439					
										94.27400526	0.87192755	87.9108933	43.51948287	7.0418439					
															67.00717074	3.42772218	61.8340031	29.20314046	5.72497218
															67.28341308	1.78270416	62.11024544	30.16377064	5.72497218
															67.17762517	1.19921145	62.00445753	30.40262304	5.72497218
															66.92958521	0.87192755	61.75641758	30.44224501	5.72497218
316.74960468	3.47960368	304.56315816	150.54177724	13.48633415															
308.2873234	1.70974073	296.10087687	147.19556807	13.48633415															
304.05743992	1.17614069	291.8709934	145.34742635	13.48633415															
298.57502815	0.88798986	286.38858163	142.75029588	13.48633415															
					184.07305094	3.44995496	175.19701681	85.87353092	9.82281111										
					181.58264279	1.78394038	172.70660865	85.46133413	9.82281111										
					179.72683328	1.18190838	170.85079914	84.83444538	9.82281111										
					177.83253378	0.86080893	168.95649965	84.04784536	9.82281111										
										96.53858587	3.59818355	90.18572598	43.29377122	7.03049828					
										96.39276929	1.77033818	90.0399094	44.13478561	7.03049828					
										95.79133929	1.20827353	89.43847939	44.11510293	7.03049828					
										95.26793356	0.88613551	88.91507367	44.01446908	7.03049828					
															67.83476031	3.53148519	62.65751753	29.56301617	5.729482
															67.95493737	1.82104208	62.7776946	30.47832626	5.729482
															67.86641605	1.19838785	62.68917328	30.74539272	5.729482
															67.60414602	0.90652027	62.42690325	30.76019149	5.729482
320.35148118	3.52406926	308.16372195	152.31982635	13.48778689															
310.97095942	1.77775927	298.78320018	148.50272046	13.48778689															
306.65854556	1.15307243	294.47078632	146.65885695	13.48778689															
301.23992868	0.86513326	289.05216944	144.09351809	13.48778689															
					188.6186274	3.52406926	179.74038946	88.1081601	9.82524999										
					186.10524424	1.70602831	177.22700629	87.76048899	9.82524999										
					184.11335948	1.15554322	175.23512154	87.03978916	9.82524999										
					182.17085961	0.91455143	173.29262167	86.18903512	9.82524999										
										99.10782376	3.51172188	92.76205317	44.62516565	7.02265279					
										98.53472946	1.79507014	92.18895887	45.19694436	7.02265279					
										97.97141605	1.15801652	91.62564546	45.23381447	7.02265279					
										97.49361299	0.87007508	91.1478424	45.13888366	7.02265279					
															69.06008557	3.59077512	63.88242374	30.14582431	5.72994576
															69.4340268	1.82722695	64.25636497	31.21456901	5.72994576
															69.24976802	1.1720227	64.07210619	31.45004175	5.72994576
															69.07681306	0.89478416	63.89915123	31.50218354	5.72994576
320.31195456	3.60559197	308.13544087	152.26492445	13.47534182															
312.36471944	1.70108342	300.18820575	149.24356117	13.47534182															
307.74693925	1.14730474	295.57042556	147.21156041	13.47534182															
302.44515586	0.9106829	290.26864217	144.67897963	13.47534182															
					187.66998849	3.53395466	178.79063479	87.62834007	9.82648476										
					185.2123497	1.70726453	176.332996	87.31286574	9.82648476										
					183.32816756	1.21404122	174.44881386	86.61738632	9.82648476										
					181.3492774	0.89169482	172.46992371	85.78911444	9.82648476										
										98.58903873	3.48454263	92.24622024	44.3808388	7.0193858					
										98.14640531	1.81362099	91.80358682	44.99498291	7.0193858					
										97.70941172	1.15636682	91.36659323	45.1051132	7.0193858					
										97.12421171	0.86575075	90.78139322	44.95782124	7.0193858					
															69.06008557	3.74393515	63.88344717	30.06975601	5.72881317
															69.37466558	1.7715744	64.19802718	31.21322639	5.72881317
															69.29508344	1.20827353	64.11844504	31.45508576	5.72881317
															69.09596284	0.88242868	63.91932443	31.51844788	5.72881317
328.61999099	3.66982836	316.41899786	156.37458475	13.5024324															
319.34217685	1.75673221	307.14118372	152.69222576	13.5024324															
314.67361232	1.21816172	302.47261919	150.62722874	13.5024324															
309.16791667	0.89169482	296.96692354	148.03761436	13.5024324															
