Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
496.54480188	0.22441465	484.10892057	241.94225296	13.76237532															
458.56640155	0.08315381	446.13052024	223.02368322	13.76237532															
460.33668475	0.06496412	447.90080344	223.91791966	13.76237532															
405.20283221	0.04573949	392.7669509	196.3606057	13.76237532															
					314.07770412	0.30006754	305.02433751	152.36213498	10.01905905										
					300.71647169	0.12994238	291.66310508	145.76658135	10.01905905										
					303.10404873	0.07634429	294.05068212	146.98716891	10.01905905										
					303.24779467	0.0520458	294.19442806	147.07119113	10.01905905										
										167.99630778	0.25457525	161.52293935	80.63418205	7.16386107					
										170.33033191	0.1393512	163.85696348	81.85880614	7.16386107					
										171.56346128	0.08904372	165.09009284	82.50052456	7.16386107					
										171.77999249	0.08085773	165.30662405	82.61288316	7.16386107					
															115.37729388	0.26347559	110.1001829	54.91835366	5.84000281
															119.369876	0.13761899	114.09276503	56.97757302	5.84000281
															120.60323181	0.07848965	115.32612084	57.62381559	5.84000281
															120.9443506	0.05266517	115.66723963	57.80728723	5.84000281
534.5805033	0.28819542	522.1654236	260.93861409	13.73935487															
472.12491733	0.08810621	459.70983764	229.81086571	13.73935487															
474.5832001	0.09250834	462.1681204	231.03780603	13.73935487															
405.20283221	0.04920233	392.78775251	196.36927509	13.73935487															
					342.50379978	0.35544327	333.46080121	166.55267897	10.00758508										
					325.45563502	0.10518788	316.41263645	158.15372429	10.00758508										
					328.27704272	0.08310831	319.23404416	159.57546792	10.00758508										
					327.88088026	0.0699756	318.83788169	159.38395304	10.00758508										
										188.04717581	0.20760456	181.57569326	90.68404435	7.16177402					
										189.89901929	0.12350576	183.42753674	91.65201549	7.16177402					
										191.04821345	0.10091956	184.5767309	92.23790567	7.16177402					
										191.14310248	0.06317568	184.67161993	92.30422213	7.16177402					
															126.98140134	0.23035071	121.70912806	60.73938867	5.8346491
															130.74969063	0.13316258	125.47741735	62.67212739	5.8346491
															131.88827103	0.0730474	126.61599775	63.27147517	5.8346491
															132.13721096	0.06243431	126.86493768	63.40125169	5.8346491
509.28038573	0.21947669	496.84324186	248.31188259	13.76377255															
457.62835296	0.14702405	445.19120909	222.52209252	13.76377255															
460.56909463	0.07766355	448.13195076	224.0271436	13.76377255															
405.20283221	0.05266517	392.76568834	196.35651159	13.76377255															
					313.08341005	0.26248499	304.03633504	151.88692502	10.01209634										
					302.51601703	0.10444389	293.46894203	146.68224907	10.01209634										
					304.48028621	0.07782877	295.43321121	147.67769122	10.01209634										
					304.17590841	0.05278904	295.1288334	147.53802218	10.01209634										
										168.45068291	0.22540524	161.97929148	80.87694312	7.16167318					
										170.45732841	0.12796217	163.98593698	81.9289874	7.16167318					
										171.79139519	0.09036549	165.32000376	82.61481914	7.16167318					
										172.01024587	0.05526089	165.53885444	82.74179678	7.16167318					
															113.78772013	0.26397088	108.50674624	54.12138768	5.84427778
															117.8033229	0.1089003	112.522349	56.20672435	5.84427778
															119.00126335	0.08162383	113.72028946	56.81933281	5.84427778
															119.42947233	0.0757023	114.14849844	57.03639807	5.84427778
501.62805934	0.23875575	489.19528978	244.47826701	13.75893164															
444.19589429	0.11682114	431.76312473	215.82315179	13.75893164															
447.15613818	0.08822013	434.72336863	217.31757425	13.75893164															
405.20283221	0.04821321	392.77006265	196.36092472	13.75893164															
					306.95301181	0.28374525	297.90488817	148.81057146	10.01325683										
					294.62217685	0.18415957	285.57405322	142.69494682	10.01325683										
					296.9919718	0.07700517	287.94384816	143.93342149	10.01325683										
					296.74766892	0.06503003	287.69954528	143.81725763	10.01325683										
										166.61142686	0.24518711	160.14607873	79.95044581	7.15498526					
										168.95983843	0.13835922	162.4944903	81.17806554	7.15498526					
										170.25835614	0.07238652	163.79300802	81.86031075	7.15498526					
										170.47823386	0.06020833	164.01288573	81.9763387	7.15498526					
															112.66142185	0.2763308	107.38413078	53.55389999	5.84020212
															116.86927981	0.12523798	111.59198874	55.73337538	5.84020212
															118.08474633	0.08459279	112.80745526	56.36143123	5.84020212
															118.50521021	0.04499812	113.22791914	56.59146051	5.84020212
507.54492445	0.26248499	495.1090562	247.42328561	13.76236086															
464.45736598	0.12746618	452.02149773	225.94701577	13.76236086															
466.84731559	0.0672747	454.41144734	227.17208632	13.76236086															
405.20283221	0.05365428	392.76696396	196.35665484	13.76236086															
					308.82441715	0.19426156	299.78595548	149.79584696	10.00256425										
					298.48987725	0.11880135	289.45141558	144.66630712	10.00256425										
					300.58083945	0.10586866	291.54237778	145.71825456	10.00256425										
					300.31245871	0.05872372	291.27399704	145.60763666	10.00256425										
										166.07052481	0.25853012	159.60582043	79.67364516	7.15427285					
										168.56943262	0.11756513	162.10472823	80.99358155	7.15427285					
										169.92041055	0.10438418	163.45570617	81.67566099	7.15427285					
										170.01364677	0.06861674	163.54894239	81.74016282	7.15427285					
															112.96351561	0.18486592	107.69183828	53.75348618	5.83398957
															117.07376378	0.13341057	111.80208645	55.83433794	5.83398957
															118.34352136	0.07337784	113.07184404	56.4992331	5.83398957
															118.75945008	0.06750375	113.48777275	56.7101345	5.83398957
