Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
97.06872299	0.0	89.61279663	44.80639832	13.75204194															
96.16202027	0.0	88.70609391	44.35304696	13.75204194															
95.70028939	0.0	88.24436303	44.12218152	13.75204194															
95.22377626	0.0	87.76784991	43.88392495	13.75204194															
					63.24211585	0.0	57.81206263	28.90603132	10.01543148										
					62.15531889	0.0	56.72526567	28.36263284	10.01543148										
					61.66407488	0.0	56.23402167	28.11701084	10.01543148										
					61.38003604	0.0	55.94998282	27.97499141	10.01543148										
										36.93480792	0.0	33.0460346	16.5230173	7.17262635					
										36.66995441	0.0	32.78118108	16.39059054	7.17262635					
										36.4566029	0.0	32.56782958	16.28391479	7.17262635					
										36.34959797	0.0	32.46082465	16.23041232	7.17262635					
															26.82362395	0.0	23.65492255	11.82746127	5.8444937
															26.63226253	0.0	23.46356112	11.73178056	5.8444937
															26.44277151	0.0	23.27407011	11.63703506	5.8444937
															26.36933108	0.0	23.20062968	11.60031484	5.8444937
99.11611495	0.0	91.64248384	45.82124192	13.78469738															
98.20508943	0.0	90.73145832	45.36572916	13.78469738															
97.57148266	0.0	90.09785155	45.04892577	13.78469738															
97.20147523	0.0	89.72784412	44.86392206	13.78469738															
					64.86085401	0.0	59.42132494	29.71066247	10.03290918										
					63.74613427	0.0	58.30660519	29.1533026	10.03290918										
					63.16337492	0.0	57.72384584	28.86192292	10.03290918										
					62.84232658	0.0	57.4027975	28.70139875	10.03290918										
										37.32957533	0.0	33.43707139	16.71853569	7.17950728					
										37.10100301	0.0	33.20849906	16.60424953	7.17950728					
										36.88351751	0.0	32.99101357	16.49550678	7.17950728					
										36.75365541	0.0	32.86115146	16.43057573	7.17950728					
															27.05763655	0.0	23.88840797	11.94420398	5.84546606
															26.85311036	0.0	23.68388177	11.84194089	5.84546606
															26.72196729	0.0	23.5527387	11.77636935	5.84546606
															26.61735923	0.0	23.44813065	11.72406532	5.84546606
101.67306122	0.0	94.21238086	47.10619043	13.76081045															
100.6823755	0.0	93.22169514	46.61084757	13.76081045															
100.03411291	0.0	92.57343254	46.28671627	13.76081045															
99.61378491	0.0	92.15310454	46.07655227	13.76081045															
					66.08378752	0.0	60.64755175	30.32377588	10.02683485										
					64.91066892	0.0	59.47443316	29.73721658	10.02683485										
					64.44699166	0.0	59.0107559	29.50537795	10.02683485										
					64.15711937	0.0	58.72088361	29.3604418	10.02683485										
										37.94856843	0.0	34.06142237	17.03071118	7.16962496					
										37.69974649	0.0	33.81260043	16.90630022	7.16962496					
										37.4878429	0.0	33.60069683	16.80034842	7.16962496					
										37.3907545	0.0	33.50360844	16.75180422	7.16962496					
															27.45908645	0.0	24.2878559	12.14392795	5.84915857
															27.25581237	0.0	24.08458182	12.04229091	5.84915857
															27.0685552	0.0	23.89732465	11.94866233	5.84915857
															26.98387387	0.0	23.81264332	11.90632166	5.84915857
104.49753151	0.0	97.03687062	48.51843531	13.76077454															
103.43063288	0.0	95.96997199	47.98498599	13.76077454															
102.83298082	0.0	95.37231993	47.68615996	13.76077454															
102.38683559	0.0	94.92617469	47.46308735	13.76077454															
					67.35320978	0.0	61.92080193	30.96040097	10.01977448										
					66.0999747	0.0	60.66756685	30.33378342	10.01977448										
					65.59127051	0.0	60.15886266	30.07943133	10.01977448										
					65.28768919	0.0	59.85528134	29.92764067	10.01977448										
										38.84552732	0.0	34.95731105	17.47865553	7.17159889					
										38.52101802	0.0	34.63280175	17.31640088	7.17159889					
										38.34226501	0.0	34.45404875	17.22702437	7.17159889					
										38.22572748	0.0	34.33751121	17.16875561	7.17159889					
															28.14761707	0.0	24.98177492	12.49088746	5.83921996
															27.90962162	0.0	24.74377947	12.37188974	5.83921996
															27.77968279	0.0	24.61384064	12.30692032	5.83921996
															27.67958446	0.0	24.51374231	12.25687116	5.83921996
