Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
140.56777935	0.18126002	133.23326115	66.52600056	13.71092366															
138.63897776	0.08989665	131.30445955	65.60728145	13.71092366															
138.00772619	0.06394903	130.67320799	65.30462948	13.71092366															
137.52857333	0.03663111	130.19405513	65.07871201	13.71092366															
					87.38710192	0.19179592	82.04178222	40.92499315	9.99237692										
					86.38413283	0.10587042	81.03881312	40.46647135	9.99237692										
					85.82394857	0.06424227	80.47862886	40.2071933	9.99237692										
					85.50818667	0.05083222	80.16286696	40.05601737	9.99237692										
										49.83936423	0.15141128	46.01958423	22.93408647	7.14057971					
										49.58064806	0.07260379	45.76086806	22.84413214	7.14057971					
										49.32073293	0.05702097	45.50095294	22.72196598	7.14057971					
										49.16564778	0.05302889	45.34586779	22.64641945	7.14057971					
															35.97147551	0.1856485	32.85494893	16.33465021	5.82593933
															35.65590938	0.08549892	32.5393828	16.22694194	5.82593933
															35.43659227	0.06785143	32.32006569	16.12610713	5.82593933
															35.33295778	0.04849	32.2164312	16.0839706	5.82593933
146.17478067	0.13765954	138.84988677	69.35611361	13.69293229															
143.91810667	0.09302667	136.59321277	68.25009305	13.69293229															
143.36210406	0.0653145	136.03721016	67.98594783	13.69293229															
142.74624778	0.05368778	135.42135388	67.68383305	13.69293229															
					90.53473589	0.17716471	85.20036966	42.51160248	9.97190084										
					89.39669556	0.10152	84.06232932	41.98040466	9.97190084										
					88.86249915	0.07243805	83.52813291	41.72784743	9.97190084										
					88.54233889	0.04644	83.20797266	41.58076633	9.97190084										
										51.49020552	0.17661373	47.6754366	23.74941144	7.13121218					
										51.1964121	0.09458579	47.38164318	23.64352869	7.13121218					
										50.91673669	0.06999887	47.10196777	23.51598445	7.13121218					
										50.77980778	0.04314667	46.96503885	23.46094609	7.13121218					
															37.03443362	0.19212752	33.92417793	16.86602521	5.81421672
															36.66922889	0.09639556	33.5589732	16.73128882	5.81421672
															36.48407872	0.08068766	33.37382303	16.64656768	5.81421672
															36.35401	0.04768444	33.24375431	16.59803493	5.81421672
146.19115389	0.18802694	138.88591286	69.34894296	13.65619383															
143.78941333	0.09317333	136.4841723	68.19549948	13.65619383															
143.36288454	0.07877964	136.0576435	67.98943193	13.65619383															
142.85027667	0.05405333	135.54503563	67.74549115	13.65619383															
					89.24419992	0.15612415	83.91787881	41.88087733	9.95686154										
					87.94285556	0.07355556	82.61653444	41.27148944	9.95686154										
					87.4240357	0.0637961	82.09771459	41.01695924	9.95686154										
					86.94821333	0.04614778	81.62189222	40.78787222	9.95686154										
										50.50088609	0.1839308	46.6875141	23.25179165	7.1286008					
										50.17301556	0.08863556	46.35964356	23.135504	7.1286008					
										49.97424661	0.06428515	46.16087462	23.04829473	7.1286008					
										49.80157556	0.04827111	45.98820356	22.96996623	7.1286008					
															36.40308641	0.16314801	33.29864056	16.56774628	5.80335598
															36.14246976	0.11246591	33.03802391	16.462779	5.80335598
															35.93711103	0.0512986	32.83266518	16.39068329	5.80335598
															35.81046889	0.05032	32.70602304	16.32785152	5.80335598
147.76236478	0.16373444	140.46608821	70.15117689	13.63943592															
145.66447473	0.10792359	138.36819816	69.13013729	13.63943592															
145.04047226	0.06203848	137.74419569	68.84107861	13.63943592															
144.43215667	0.04380556	137.1358801	68.54603727	13.63943592															
					90.65090778	0.22432351	85.32924293	42.55245971	9.94815727										
					89.06595778	0.09595556	83.74429292	41.82416868	9.94815727										
					88.53311836	0.08303067	83.2114535	41.56421142	9.94815727										
					88.18787778	0.05551778	82.86621292	41.40534757	9.94815727										
										51.36405159	0.19154108	47.55373794	23.68109843	7.12288363					
										51.1051096	0.10235357	47.29479595	23.59622119	7.12288363					
										50.86490231	0.05481385	47.05458866	23.49988741	7.12288363					
										50.70894556	0.04409778	46.8986319	23.42726706	7.12288363					
															36.96652748	0.21934773	33.85964381	16.82014804	5.80791316
															36.71637758	0.0960517	33.60949391	16.7567211	5.80791316
															36.49823752	0.04983441	33.39135385	16.67075972	5.80791316
															36.36616222	0.04336556	33.25927856	16.6079565	5.80791316
