Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
153.04839954	0.19160796	145.61476623	72.71157913	13.71092366															
147.27706081	0.11528153	139.8434275	69.86407298	13.71092366															
147.38561916	0.06035347	139.95198585	69.94581619	13.71092366															
147.14520383	0.04458221	139.71157052	69.83349416	13.71092366															
					102.09736342	0.21979037	96.67980966	48.23000965	9.99237692										
					100.33122072	0.09168694	94.91366697	47.41099002	9.99237692										
					100.26098081	0.07074433	94.84342705	47.38634136	9.99237692										
					99.97242793	0.03360248	94.55487417	47.26063585	9.99237692										
										61.29943766	0.21860166	57.42803902	28.60471868	7.14057971					
										61.27193687	0.1024742	57.40053823	28.64903202	7.14057971					
										61.15451035	0.07262483	57.28311171	28.60524344	7.14057971					
										61.02781644	0.05029505	57.1564178	28.55306138	7.14057971					
															44.26559135	0.22928207	41.10694955	20.43883374	5.82593933
															44.35659694	0.09816583	41.19795514	20.54989465	5.82593933
															44.26866589	0.06173982	41.11002408	20.52414213	5.82593933
															44.1876036	0.04717905	41.0289618	20.49089137	5.82593933
150.35091205	0.22364469	142.92703309	71.3516942	13.69293229															
145.8326464	0.07135811	138.40876744	69.16870467	13.69293229															
146.02609796	0.06737984	138.60221901	69.26741959	13.69293229															
145.74079392	0.04925676	138.31691497	69.1338291	13.69293229															
					100.35659646	0.18359766	94.9501442	47.38327327	9.97190084										
					98.99172748	0.11899099	93.58527521	46.73314211	9.97190084										
					98.90306676	0.06737984	93.49661449	46.71461733	9.97190084										
					98.6474482	0.04985023	93.24099594	46.59557286	9.97190084										
										60.4376611	0.16312838	56.57134124	28.20410643	7.13121218					
										60.45855736	0.08554058	56.59223751	28.25334846	7.13121218					
										60.33573264	0.06777637	56.46941279	28.20081821	7.13121218					
										60.23178941	0.05979167	56.36546956	28.15283895	7.13121218					
															43.96241545	0.19842956	40.81012928	20.30584986	5.81421672
															44.04066358	0.10381112	40.8883774	20.39228314	5.81421672
															43.9446779	0.0845988	40.79239173	20.35389647	5.81421672
															43.85974212	0.04806982	40.70745594	20.32969306	5.81421672
156.70734441	0.23047078	149.3033839	74.53645656	13.65619383															
150.71726453	0.08851202	143.31330402	71.612396	13.65619383															
150.746622	0.06371796	143.34266149	71.63947176	13.65619383															
150.52119369	0.05229842	143.11723318	71.53246738	13.65619383															
					102.8214969	0.21445017	97.42319847	48.60437415	9.95686154										
					101.26221944	0.09578958	95.86392101	47.88406572	9.95686154										
					101.06383578	0.07153588	95.66553736	47.79700074	9.95686154										
					100.80430631	0.0546723	95.40600788	47.67566779	9.95686154										
										61.15111417	0.19842956	57.28621012	28.54389028	7.1286008					
										61.13454033	0.09118587	57.26963629	28.58922521	7.1286008					
										61.0130998	0.07430708	57.14819575	28.53694434	7.1286008					
										60.89196734	0.04450788	57.0270633	28.49127771	7.1286008					
															44.19321043	0.20703422	41.04681261	20.41988919	5.80335598
															44.24252104	0.10470165	41.09612322	20.49571078	5.80335598
															44.16703588	0.06658828	41.02063806	20.47702489	5.80335598
															44.08046734	0.05600788	40.93406952	20.43903082	5.80335598
159.89579298	0.2518271	152.50091808	76.12454549	13.63943592															
154.13496718	0.09534544	146.74009229	73.32237342	13.63943592															
154.22974816	0.05797881	146.83487327	73.38844723	13.63943592															
154.00975113	0.04465653	146.61487623	73.28510985	13.63943592															
					106.17031225	0.2002527	100.77673301	50.28824015	9.94815727										
					104.4374767	0.0974241	99.04389746	49.47323668	9.94815727										
					104.30009129	0.06955624	98.90651204	49.4184779	9.94815727										
					104.03952252	0.04792117	98.64594328	49.29901105	9.94815727										
										62.74661379	0.2248784	58.88480941	29.32996551	7.12288363					
										62.71941283	0.08836323	58.85760845	29.38462261	7.12288363					
										62.55417106	0.06945861	58.69236668	29.31145404	7.12288363					
										62.44321622	0.05608221	58.58141184	29.26266482	7.12288363					
															45.14576596	0.21534171	41.99689738	20.89077784	5.80791316
															45.18839354	0.11465306	42.03952496	20.96243595	5.80791316
															45.0912001	0.07598932	41.94233152	20.9331711	5.80791316
															45.0186464	0.04688288	41.86977782	20.91144747	5.80791316
165.43612868	0.16639284	158.03959623	78.9366017	13.64249319															
159.04384269	0.10306713	151.64731023	75.77212155	13.64249319															
159.24509579	0.07173415	151.84856334	75.8884146	13.64249319															
158.96179955	0.05526689	151.5652671	75.7550001	13.64249319															
					111.58673954	0.20584551	106.19133942	52.99274695	9.95151579										
					109.39695691	0.09638477	104.00155679	51.95258601	9.95151579										
					109.22073615	0.07410881	103.82533602	51.8756136	9.95151579										
					108.91394932	0.04903378	103.5185492	51.73475771	9.95151579										
										65.39741395	0.24292976	61.53680392	30.64693708	7.12068071					
										65.40315105	0.10470165	61.54254103	30.71891969	7.12068071					
										65.28214436	0.07579105	61.42153433	30.67287164	7.12068071					
										65.1286723	0.05200225	61.26806227	30.60803001	7.12068071					
															46.75926406	0.18004052	43.61728339	21.71862143	5.79520878
															46.84411398	0.0873239	43.70213331	21.80740471	5.79520878
															46.75952553	0.05342623	43.61754487	21.78205932	5.79520878
															46.67041892	0.047625	43.52843825	21.74040663	5.79520878
