Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
120.30048968	0.18330768	113.08588106	56.45128669	13.48676835															
118.81723556	0.10591111	111.60262694	55.74835792	13.48676835															
118.61154769	0.06267983	111.39693907	55.66712962	13.48676835															
118.44265778	0.04168222	111.22804917	55.59318347	13.48676835															
					76.62598283	0.22457179	71.37022113	35.57282467	9.82495995										
					76.04970583	0.09854309	70.79394412	35.34770052	9.82495995										
					75.69290526	0.06082711	70.43714355	35.18815822	9.82495995										
					75.58552556	0.05544444	70.32976385	35.1371597	9.82495995										
										46.00065198	0.20994058	42.2336897	21.01187456	7.0418439					
										45.96985556	0.11864889	42.20289328	21.0421222	7.0418439					
										45.84903058	0.07224256	42.0820683	21.00491287	7.0418439					
										45.78502667	0.04812444	42.01806439	20.98496997	7.0418439					
															33.92459376	0.22983974	30.86207852	15.31611939	5.72497218
															33.94656277	0.0879903	30.88404753	15.39802861	5.72497218
															33.79311991	0.0597534	30.73060467	15.33542564	5.72497218
															33.74277667	0.05244333	30.68026143	15.31390905	5.72497218
123.05574177	0.19944459	115.84136542	57.82096042	13.48633415															
121.68408	0.09170889	114.46970366	57.18899738	13.48633415															
121.41723292	0.06115967	114.20285658	57.07084846	13.48633415															
121.06668778	0.04285333	113.85231144	56.90472905	13.48633415															
					77.79659688	0.19476202	72.54198467	36.17361133	9.82281111										
					76.99258444	0.08995333	71.73797224	35.82400945	9.82281111										
					76.78894991	0.06785143	71.53433771	35.73324314	9.82281111										
					76.68492222	0.04739222	71.43031001	35.6914589	9.82281111										
										46.60900885	0.17720016	42.84811579	21.33545781	7.03049828					
										46.50922222	0.09141778	42.74832917	21.32845569	7.03049828					
										46.42084614	0.07297398	42.65995309	21.29348955	7.03049828					
										46.32915556	0.04863667	42.5682625	21.25981292	7.03049828					
															34.29081217	0.22871287	31.22588445	15.49858579	5.729482
