Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
112.07517911	0.16609566	104.61925275	52.22657855	13.75204194															
109.56752928	0.10786261	102.11160292	51.00187016	13.75204194															
109.41453552	0.0574463	101.95860917	50.95058144	13.75204194															
109.27382995	0.04703041	101.8179036	50.8854366	13.75204194															
					77.93355663	0.16669001	72.50350342	36.1684067	10.01543148										
					77.06551126	0.11157207	71.63545805	35.76194299	10.01543148										
					76.88829623	0.0508533	71.45824302	35.70369486	10.01543148										
					76.65775901	0.04569595	71.2277058	35.59100493	10.01543148										
										49.01071393	0.22690915	45.1219406	22.44751573	7.17262635					
										48.82618468	0.11676577	44.93741136	22.4103228	7.17262635					
										48.69449249	0.07777069	44.80571917	22.36397424	7.17262635					
										48.58962275	0.04146622	44.70084942	22.3296916	7.17262635					
															36.72629478	0.20762858	33.55759337	16.6749824	5.8444937
															36.60210271	0.10366232	33.4334013	16.66486949	5.8444937
															36.47274633	0.04610397	33.30404492	16.62897048	5.8444937
															36.36734459	0.04933108	33.19864319	16.57465605	5.8444937
123.59190114	0.19605663	116.11827003	57.9611067	13.78469738															
120.11007715	0.12000075	112.63644604	56.25822265	13.78469738															
120.00864202	0.06856792	112.53501091	56.23322149	13.78469738															
119.79466104	0.0476982	112.32102993	56.13666586	13.78469738															
					84.1885026	0.20495848	78.74897353	39.27200753	10.03290918										
					83.04461712	0.08693919	77.60508804	38.75907443	10.03290918										
					82.88071913	0.07767156	77.44119005	38.68175924	10.03290918										
					82.64080968	0.04205968	77.20128061	38.57961046	10.03290918										
										51.69898889	0.17173304	47.80648495	23.81737595	7.17950728					
										51.53953257	0.10618737	47.64702862	23.77042062	7.17950728					
										51.34843808	0.06371796	47.45593414	23.69610809	7.17950728					
										51.21838063	0.04465653	47.32587669	23.64061008	7.17950728					
															38.30745898	0.18359766	35.13823039	17.47731636	5.84546606
															38.15206413	0.10143487	34.98283554	17.44070034	5.84546606
															38.01133628	0.06164069	34.84210769	17.3902335	5.84546606
															37.92548198	0.05578604	34.75625339	17.35023368	5.84546606
143.55943766	0.18775365	136.0987573	67.95550182	13.76081045															
138.74477555	0.10633617	131.28409519	65.58887951	13.76081045															
138.50158278	0.06896295	131.04090241	65.48596973	13.76081045															
138.14206306	0.04287613	130.6813827	65.31925329	13.76081045															
					97.53407795	0.19813688	92.09784218	45.94985265	10.02683485										
					95.80284469	0.09029534	90.36660893	45.13815679	10.02683485										
					95.50348047	0.07133762	90.06724471	44.99795355	10.02683485										
					95.20133784	0.04332095	89.76510208	44.86089056	10.02683485										
										58.61487292	0.22928207	54.72772686	27.2492224	7.16962496					
										58.30962024	0.12118888	54.42247418	27.15064265	7.16962496					
										58.12526085	0.06065087	54.23811479	27.08873196	7.16962496					
										57.97469595	0.05081532	54.08754989	27.01836728	7.16962496					
															42.15475635	0.22038473	38.9835258	19.38157054	5.84915857
															41.91965531	0.1021766	38.74842476	19.32312408	5.84915857
															41.78270277	0.06500517	38.61147222	19.27323352	5.84915857
															41.65964189	0.04844032	38.48841134	19.21998551	5.84915857
138.19888133	0.20881279	130.73822043	65.26470382	13.76077454															
133.36431538	0.09801703	125.90365449	62.90281873	13.76077454															
133.24976585	0.05748465	125.78910496	62.86581016	13.76077454															
132.96950113	0.04695721	125.50884023	62.73094151	13.76077454															
					93.34561987	0.18626776	87.91321202	43.86347213	10.01977448										
					91.74736623	0.0975729	86.31495838	43.10869274	10.01977448										
					91.35859596	0.06035347	85.92618811	42.93291732	10.01977448										
					91.05947297	0.04985023	85.62706512	42.78860745	10.01977448										
										55.62608765	0.21563888	51.73787139	25.76111625	7.17159889					
										55.42922345	0.10069088	51.54100718	25.72015815	7.17159889					
										55.24875601	0.07301986	51.36053974	25.64375994	7.17159889					
										55.09478491	0.04747635	51.20656865	25.57954615	7.17159889					
															40.52939364	0.22898489	37.36355149	18.5672833	5.83921996
															40.40860897	0.11093988	37.24276682	18.56591347	5.83921996
															40.25598765	0.06282727	37.0901455	18.51365912	5.83921996
															40.15581306	0.04539865	36.98997092	18.47228613	5.83921996
147.29758505	0.20525565	139.84105466	69.8178995	13.75315605															
141.81712124	0.10499925	134.36059085	67.1277958	13.75315605															
141.66791856	0.0585721	134.21138817	67.07640804	13.75315605															
141.38714752	0.05445045	133.93061713	66.93808334	13.75315605															
					98.33830548	0.22335201	92.90987043	46.34325921	10.01244687										
					96.49041809	0.09950276	91.06198304	45.48124014	10.01244687										
					96.21459913	0.06797313	90.78616408	45.35909548	10.01244687										
					95.95226689	0.04836599	90.52383184	45.23773293	10.01244687										
										59.0195082	0.20080248	55.13357242	27.46638497	7.16739267					
										58.80676879	0.1023254	54.920833	27.4092538	7.16739267					
