Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
131.03224474	0.0	118.60570082	59.30285041	13.75204194															
135.5463152	0.0	123.11977127	61.55988564	13.75204194															
136.99245992	0.0	124.56591599	62.282958	13.75204194															
137.61561936	0.0	125.18907544	62.59453772	13.75204194															
					86.18644895	0.0	77.13636026	38.56818013	10.01543148										
					91.22246615	0.0	82.17237746	41.08618873	10.01543148										
					92.72731212	0.0	83.67722344	41.83861172	10.01543148										
					93.48988978	0.0	84.43980109	42.21990055	10.01543148										
										52.7881982	0.0	46.30690932	23.15345466	7.17262635					
										58.17852786	0.0	51.69723899	25.84861949	7.17262635					
										59.74218437	0.0	53.26089549	26.63044775	7.17262635					
										60.47799537	0.0	53.99670649	26.99835325	7.17262635					
110.3002027	0.0	97.84415085	48.92207543	13.78469738															
115.46769057	0.0	103.01163872	51.50581936	13.78469738															
116.9332515	0.0	104.47719965	52.23859983	13.78469738															
117.65214679	0.0	105.19609494	52.59804747	13.78469738															
					74.69394144	0.0	65.62805965	32.81402983	10.03290918										
					79.97227056	0.0	70.90638877	35.45319439	10.03290918										
					81.56683116	0.0	72.50094937	36.25047469	10.03290918										
					82.35189003	0.0	73.28600824	36.64300412	10.03290918										
										47.80737237	0.0	41.3198658	20.6599329	7.17950728					
										53.34469408	0.0	46.85718751	23.42859375	7.17950728					
										55.06778056	0.0	48.58027399	24.29013699	7.17950728					
										55.90978332	0.0	49.42227674	24.71113837	7.17950728					
93.06761261	0.0	80.63314534	40.31657267	13.76081045															
98.59150577	0.0	86.15703849	43.07851925	13.76081045															
100.20345441	0.0	87.76898713	43.88449357	13.76081045															
101.03344689	0.0	88.59897962	44.29948981	13.76081045															
					66.12761261	0.0	57.06721968	28.53360984	10.02683485										
					71.65661735	0.0	62.59622442	31.29811221	10.02683485										
					73.38846192	0.0	64.32806899	32.16403449	10.02683485										
					74.2411999	0.0	65.18080696	32.59040348	10.02683485										
										44.34206456	0.0	37.8634878	18.9317439	7.16962496					
										49.95048897	0.0	43.4719122	21.7359561	7.16962496					
										51.7484233	0.0	45.26984653	22.63492326	7.16962496					
										52.58952092	0.0	46.11094415	23.05547207	7.16962496					
87.09964457	0.0	74.66520975	37.33260487	13.76077454															
92.5784654	0.0	80.14403057	40.07201529	13.76077454															
94.30884275	0.0	81.87440792	40.93720396	13.76077454															
95.07588803	0.0	82.6414532	41.3207266	13.76077454															
					62.62915916	0.0	53.57514607	26.78757304	10.01977448										
					68.1749323	0.0	59.12091921	29.56045961	10.01977448										
					70.03956217	0.0	60.98554908	30.49277454	10.01977448										
					70.84591495	0.0	61.79190187	30.89595093	10.01977448										
										42.70847517	0.0	36.22811473	18.11405737	7.17159889					
										48.33999373	0.0	41.85963329	20.92981665	7.17159889					
										50.17966995	0.0	43.69930951	21.84965476	7.17159889					
										51.06084356	0.0	44.58048312	22.29024156	7.17159889					
