Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
										25.61206924	0.0	18.43944289	9.21972144	7.17262635					
										25.69728652	0.0	18.52466017	9.26233008	7.17262635					
										25.63650864	0.0	18.46388229	9.23194115	7.17262635					
										25.59972157	0.0	18.42709522	9.21354761	7.17262635					
										26.27084541	0.0	19.09133813	9.54566907	7.17950728					
										26.30795195	0.0	19.12844468	9.56422234	7.17950728					
										26.25233485	0.0	19.07282757	9.53641379	7.17950728					
										26.23152656	0.0	19.05201929	9.52600964	7.17950728					
										27.3865036	0.0	20.21687865	10.10843932	7.16962496					
										27.42435601	0.0	20.25473106	10.12736553	7.16962496					
										27.39071752	0.0	20.22109257	10.11054628	7.16962496					
										27.36859331	0.0	20.19896836	10.09948418	7.16962496					
										28.25484771	0.0	21.08324882	10.54162441	7.17159889					
										28.34241253	0.0	21.17081364	10.58540682	7.17159889					
										28.30386712	0.0	21.13226824	10.56613412	7.17159889					
										28.29406234	0.0	21.12246345	10.56123173	7.17159889					
										29.16860346	0.0	22.00121079	11.00060539	7.16739267					
										29.19882199	0.0	22.03142932	11.01571466	7.16739267					
										29.15496342	0.0	21.98757074	10.99378537	7.16739267					
										29.13442903	0.0	21.96703636	10.98351818	7.16739267					
