Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
256.65790541	0.0	244.23136148	122.11568074	13.75204194															
259.02634152	0.0	246.5997976	123.2998988	13.75204194															
259.97969439	0.0	247.55315046	123.77657523	13.75204194															
260.18526039	0.0	247.75871647	123.87935823	13.75204194															
					172.82925676	0.0	163.77916807	81.88958403	10.01543148										
					176.71671515	0.0	167.66662646	83.83331323	10.01543148										
					177.57650301	0.0	168.52641432	84.26320716	10.01543148										
					177.92030859	0.0	168.8702199	84.43510995	10.01543148										
										104.53144144	0.0	98.05015257	49.02507628	7.17262635					
										109.17957247	0.0	102.69828359	51.3491418	7.17262635					
										110.56442848	0.0	104.0831396	52.0415698	7.17262635					
										111.01892464	0.0	104.53763576	52.26881788	7.17262635					
205.20623123	0.0	192.75017938	96.37508969	13.78469738															
209.70212889	0.0	197.24607704	98.62303852	13.78469738															
211.05530164	0.0	198.59924979	99.29962489	13.78469738															
211.44537513	0.0	198.98932328	99.49466164	13.78469738															
					147.49176426	0.0	138.42588247	69.21294124	10.03290918										
					152.50878385	0.0	143.44290206	71.72145103	10.03290918										
					153.91131768	0.0	144.84543589	72.42271795	10.03290918										
					154.40950989	0.0	145.3436281	72.67181405	10.03290918										
										98.5588964	0.0	92.07138982	46.03569491	7.17950728					
										103.7496009	0.0	97.26209433	48.63104716	7.17950728					
										105.17375084	0.0	98.68624426	49.34312213	7.17950728					
										105.79244489	0.0	99.30493832	49.65246916	7.17950728					
183.79897898	0.0	171.3645117	85.68225585	13.76081045															
188.76940697	0.0	176.3349397	88.16746985	13.76081045															
190.29321858	0.0	177.85875131	88.92937565	13.76081045															
190.79641533	0.0	178.36194806	89.18097403	13.76081045															
					135.87458709	0.0	126.81419415	63.40709708	10.02683485										
					141.21244483	0.0	132.1520519	66.07602595	10.02683485										
					142.69990731	0.0	133.63951438	66.81975719	10.02683485										
					143.45206037	0.0	134.39166743	67.19583372	10.02683485										
										95.69355856	0.0	89.21498179	44.6074909	7.16962496					
										101.02792922	0.0	94.54935245	47.27467622	7.16962496					
										102.44684369	0.0	95.96826692	47.98413346	7.16962496					
										103.18376566	0.0	96.70518889	48.35259444	7.16962496					
175.87958709	0.0	163.44515226	81.72257613	13.76077454															
181.16216148	0.0	168.72772666	84.36386333	13.76077454															
182.63686623	0.0	170.20243141	85.1012157	13.76077454															
183.33832477	0.0	170.90388995	85.45194498	13.76077454															
					132.59228228	0.0	123.5382692	61.7691346	10.01977448										
					137.9897016	0.0	128.93568852	64.46784426	10.01977448										
					139.51709168	0.0	130.4630786	65.2315393	10.01977448										
					140.26541708	0.0	131.211404	65.605702	10.01977448										
										94.94123874	0.0	88.4608783	44.23043915	7.17159889					
										100.30881018	0.0	93.82844974	46.91422487	7.17159889					
										101.90716433	0.0	95.42680389	47.71340194	7.17159889					
										102.6751503	0.0	96.19478986	48.09739493	7.17159889					
