Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
107.30174225	0.0	93.66771074	46.83385537	13.6340315															
107.66923838	0.0	94.03520687	47.01760344	13.6340315															
107.45255908	0.0	93.81852758	46.90926379	13.6340315															
107.2445451	0.0	93.61051359	46.8052568	13.6340315															
					65.06857835	0.0	55.13556374	27.56778187	9.93301461										
					65.7709756	0.0	55.83796099	27.9189805	9.93301461										
					65.89526802	0.0	55.96225341	27.98112671	9.93301461										
					65.89977641	0.0	55.96676181	27.9833809	9.93301461										
										41.69059936	0.0	34.57751508	17.28875754	7.11308428					
										42.67715291	0.0	35.56406862	17.78203431	7.11308428					
										42.92168528	0.0	35.808601	17.9043005	7.11308428					
										43.015149	0.0	35.90206472	17.95103236	7.11308428					
															33.05044716	0.0	27.26115997	13.63057998	5.78928719
															34.28151994	0.0	28.49223275	14.24611637	5.78928719
															34.55072527	0.0	28.76143808	14.38071904	5.78928719
															34.69955689	0.0	28.9102697	14.45513485	5.78928719
82.48634511	0.0	68.86649881	34.43324941	13.6198463															
83.53073427	0.0	69.91088797	34.95544399	13.6198463															
83.71448428	0.0	70.09463798	35.04731899	13.6198463															
83.72654702	0.0	70.10670073	35.05335036	13.6198463															
					59.26138531	0.0	49.32888789	24.66444395	9.93249742										
					60.33579379	0.0	50.40329637	25.20164819	9.93249742										
					60.58791115	0.0	50.65541373	25.32770687	9.93249742										
					60.71100253	0.0	50.77850511	25.38925256	9.93249742										
										41.46690633	0.0	34.36887307	17.18443654	7.09803325					
										42.80125787	0.0	35.70322461	17.85161231	7.09803325					
										43.0682512	0.0	35.97021795	17.98510897	7.09803325					
										43.21257844	0.0	36.11454519	18.0572726	7.09803325					
															33.71519131	0.0	27.9230968	13.9615484	5.79209452
															34.92999279	0.0	29.13789827	14.56894913	5.79209452
															35.21345921	0.0	29.42136469	14.71068235	5.79209452
															35.33453111	0.0	29.54243659	14.77121829	5.79209452
81.96379584	0.0	68.36491854	34.18245927	13.5988773															
83.20992014	0.0	69.61104284	34.80552142	13.5988773															
83.30910297	0.0	69.71022567	34.85511283	13.5988773															
83.41742308	0.0	69.81854578	34.90927289	13.5988773															
					59.46620292	0.0	49.54408897	24.77204449	9.92211395										
					60.6459252	0.0	50.72381125	25.36190563	9.92211395										
					60.93725638	0.0	51.01514243	25.50757121	9.92211395										
					61.0619134	0.0	51.13979945	25.56989972	9.92211395										
										41.86696267	0.0	34.76826276	17.38413138	7.09869991					
										43.13878011	0.0	36.0400802	18.0200401	7.09869991					
										43.41978501	0.0	36.3210851	18.16054255	7.09869991					
										43.52348433	0.0	36.42478442	18.21239221	7.09869991					
															34.21667524	0.0	28.43000953	14.21500476	5.78666571
															35.37929474	0.0	29.59262903	14.79631451	5.78666571
															35.73674706	0.0	29.95008135	14.97504068	5.78666571
															35.88029942	0.0	30.09363371	15.04681686	5.78666571
85.6376257	0.0	72.03507306	36.01753653	13.60255264															
86.65995902	0.0	73.05740638	36.52870319	13.60255264															
86.84235978	0.0	73.23980714	36.61990357	13.60255264															
86.98459642	0.0	73.38204378	36.69102189	13.60255264															
					62.28122468	0.0	52.36583801	26.182919	9.91538667										
					63.52748061	0.0	53.61209394	26.80604697	9.91538667										
					63.79955681	0.0	53.88417014	26.94208507	9.91538667										
					63.90575856	0.0	53.99037189	26.99518594	9.91538667										
										43.98763261	0.0	36.89582841	18.4479142	7.0918042					
										45.23433467	0.0	38.14253047	19.07126523	7.0918042					
										45.50089089	0.0	38.40908669	19.20454334	7.0918042					
										45.62856007	0.0	38.53675587	19.26837793	7.0918042					
															35.76107166	0.0	29.97805152	14.98902576	5.78302013
															36.88637265	0.0	31.10335251	15.55167626	5.78302013
															37.24601175	0.0	31.46299161	15.73149581	5.78302013
															37.39432482	0.0	31.61130469	15.80565235	5.78302013
88.11784878	0.0	74.51187577	37.25593788	13.60597301															
89.22454259	0.0	75.61856958	37.80928479	13.60597301															
89.35659766	0.0	75.75062465	37.87531233	13.60597301															
89.45042999	0.0	75.84445699	37.92222849	13.60597301															
					64.09871037	0.0	54.16999816	27.08499908	9.9287122										
					65.28003226	0.0	55.35132006	27.67566003	9.9287122										
					65.48441248	0.0	55.55570028	27.77785014	9.9287122										
					65.61472362	0.0	55.68601142	27.84300571	9.9287122										
										45.11829163	0.0	38.02399873	19.01199937	7.0942929					
										46.30718036	0.0	39.21288746	19.60644373	7.0942929					
										46.60842837	0.0	39.51413547	19.75706774	7.0942929					
										46.71252878	0.0	39.61823588	19.80911794	7.0942929					
															36.51192594	0.0	30.73093317	15.36546658	5.78099277
															37.75072866	0.0	31.96973589	15.98486794	5.78099277
															38.05731736	0.0	32.27632459	16.13816229	5.78099277
															38.20509534	0.0	32.42410257	16.21205129	5.78099277
