Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
44.53782492	0.0	30.77544961	15.3877248	13.76237532															
44.5162615	0.0	30.75388619	15.37694309	13.76237532															
44.50353829	0.0	30.74116298	15.37058149	13.76237532															
44.45972633	0.0	30.69735101	15.34867551	13.76237532															
					34.19328734	0.0	24.17422829	12.08711414	10.01905905										
					34.21509755	0.0	24.19603849	12.09801925	10.01905905										
					34.21059942	0.0	24.19154036	12.09577018	10.01905905										
					34.15521882	0.0	24.13615977	12.06807989	10.01905905										
										26.48205145	0.0	19.31819038	9.65909519	7.16386107					
										26.47059768	0.0	19.30673661	9.65336831	7.16386107					
										26.44938641	0.0	19.28552533	9.64276267	7.16386107					
										26.4173761	0.0	19.25351503	9.62675751	7.16386107					
45.28707648	0.0	31.52470116	15.76235058	13.76237532															
45.20292427	0.0	31.44054896	15.72027448	13.76237532															
45.18656718	0.0	31.42419187	15.71209593	13.76237532															
45.15054958	0.0	31.38817426	15.69408713	13.76237532															
					35.27203809	0.0	25.25297904	12.62648952	10.01905905										
					35.28171923	0.0	25.26266018	12.63133009	10.01905905										
					35.26547819	0.0	25.24641914	12.62320957	10.01905905										
					35.20354588	0.0	25.18448683	12.59224341	10.01905905										
										27.28599244	0.0	20.12213137	10.06106569	7.16386107					
										27.278946	0.0	20.11508493	10.05754246	7.16386107					
										27.29579604	0.0	20.13193497	10.06596748	7.16386107					
										27.25225131	0.0	20.08839024	10.04419512	7.16386107					
45.91874054	0.0	32.15636523	16.07818261	13.76237532															
45.82749927	0.0	32.06512396	16.03256198	13.76237532															
45.81767177	0.0	32.05529645	16.02764823	13.76237532															
45.81823953	0.0	32.05586422	16.02793211	13.76237532															
					35.87635951	0.0	25.85730046	12.92865023	10.01905905										
					35.82931173	0.0	25.81025268	12.90512634	10.01905905										
					35.83050813	0.0	25.81144908	12.90572454	10.01905905										
					35.78711447	0.0	25.76805542	12.88402771	10.01905905										
										27.75358819	0.0	20.58972712	10.29486356	7.16386107					
										27.71851023	0.0	20.55464916	10.27732458	7.16386107					
										27.67628078	0.0	20.5124197	10.25620985	7.16386107					
										27.65181101	0.0	20.48794994	10.24397497	7.16386107					
47.24086241	0.0	33.4784871	16.73924355	13.76237532															
47.19213245	0.0	33.42975714	16.71487857	13.76237532															
47.19835496	0.0	33.43597965	16.71798982	13.76237532															
47.15467052	0.0	33.3922952	16.6961476	13.76237532															
					36.83342678	0.0	26.81436773	13.40718386	10.01905905										
					36.76679673	0.0	26.74773768	13.37386884	10.01905905										
					36.76928012	0.0	26.75022107	13.37511054	10.01905905										
					36.74922121	0.0	26.73016216	13.36508108	10.01905905										
										28.35790546	0.0	21.19404438	10.59702219	7.16386107					
										28.32445927	0.0	21.1605982	10.5802991	7.16386107					
										28.30054946	0.0	21.13668839	10.56834419	7.16386107					
										28.2858537	0.0	21.12199262	10.56099631	7.16386107					
48.08718408	0.0	34.32480877	17.16240438	13.76237532															
48.02034795	0.0	34.25797264	17.12898632	13.76237532															
48.01724646	0.0	34.25487114	17.12743557	13.76237532															
47.95694954	0.0	34.19457422	17.09728711	13.76237532															
					37.38219785	0.0	27.36313879	13.6815694	10.01905905										
					37.32183659	0.0	27.30277754	13.65138877	10.01905905										
					37.26782654	0.0	27.24876749	13.62438374	10.01905905										
					37.25603557	0.0	27.23697651	13.61848826	10.01905905										
										28.7873233	0.0	21.62346223	10.81173111	7.16386107					
										28.72180291	0.0	21.55794184	10.77897092	7.16386107					
										28.66737692	0.0	21.50351585	10.75175792	7.16386107					
										28.67490262	0.0	21.51104155	10.75552077	7.16386107					
