Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
35.58551931	0.0	21.87459564	10.93729782	13.71092366															
41.69027688	0.0	27.97935321	13.98967661	13.71092366															
43.58677171	0.0	29.87584805	14.93792403	13.71092366															
44.57326496	0.0	30.86234129	15.43117065	13.71092366															
					24.66583804	0.0	14.67346111	7.33673056	9.99237692										
					30.75581617	0.0	20.76343924	10.38171962	9.99237692										
					32.70628843	0.0	22.7139115	11.35695575	9.99237692										
					33.66752305	0.0	23.67514613	11.83757306	9.99237692										
										15.87364206	0.0	8.73306234	4.36653117	7.14057971					
										21.93972067	0.0	14.79914096	7.39957048	7.14057971					
										23.88802015	0.0	16.74744043	8.37372022	7.14057971					
										24.89506694	0.0	17.75448723	8.87724361	7.14057971					
36.53082753	0.0	22.83789524	11.41894762	13.69293229															
42.68897292	0.0	28.99604063	14.49802032	13.69293229															
44.6087542	0.0	30.91582191	15.45791096	13.69293229															
45.58113451	0.0	31.88820222	15.94410111	13.69293229															
					25.83379152	0.0	15.86189068	7.93094534	9.97190084										
					32.06679244	0.0	22.0948916	11.0474458	9.97190084										
					33.92453352	0.0	23.95263268	11.97631634	9.97190084										
					34.92471964	0.0	24.9528188	12.4764094	9.97190084										
										16.60942427	0.0	9.47821209	4.73910605	7.13121218					
										22.89133769	0.0	15.76012551	7.88006276	7.13121218					
										24.83375781	0.0	17.70254563	8.85127281	7.13121218					
										25.83190763	0.0	18.70069546	9.35034773	7.13121218					
38.85086685	0.0	25.19467302	12.59733651	13.65619383															
45.02436777	0.0	31.36817394	15.68408697	13.65619383															
46.92759646	0.0	33.27140263	16.63570132	13.65619383															
47.93524245	0.0	34.27904862	17.13952431	13.65619383															
					27.03238425	0.0	17.07552272	8.53776136	9.95686154										
					33.26993103	0.0	23.31306949	11.65653475	9.95686154										
					35.19603926	0.0	25.23917772	12.61958886	9.95686154										
					36.09474437	0.0	26.13788283	13.06894142	9.95686154										
										17.43273179	0.0	10.304131	5.1520655	7.1286008					
										23.73047267	0.0	16.60187188	8.30093594	7.1286008					
										25.70854403	0.0	18.57994323	9.28997162	7.1286008					
										26.68664354	0.0	19.55804275	9.77902137	7.1286008					
41.74312955	0.0	28.10369363	14.05184682	13.63943592															
47.8015029	0.0	34.16206698	17.08103349	13.63943592															
49.77467088	0.0	36.13523496	18.06761748	13.63943592															
50.64793904	0.0	37.00850312	18.50425156	13.63943592															
					29.61555582	0.0	19.66739855	9.83369928	9.94815727										
					35.67593819	0.0	25.72778092	12.86389046	9.94815727										
					37.53585577	0.0	27.5876985	13.79384925	9.94815727										
					38.56958307	0.0	28.62142579	14.3107129	9.94815727										
										19.46010394	0.0	12.33722031	6.16861016	7.12288363					
										25.49002282	0.0	18.36713919	9.1835696	7.12288363					
										27.39573636	0.0	20.27285273	10.13642636	7.12288363					
										28.44605563	0.0	21.323172	10.661586	7.12288363					
42.62935134	0.0	28.98685815	14.49342908	13.64249319															
48.82318804	0.0	35.18069485	17.59034743	13.64249319															
50.68301978	0.0	37.04052659	18.5202633	13.64249319															
51.68990668	0.0	38.04741349	19.02370675	13.64249319															
					30.77201751	0.0	20.82050172	10.41025086	9.95151579										
					36.68941471	0.0	26.73789892	13.36894946	9.95151579										
					38.7271051	0.0	28.77558931	14.38779466	9.95151579										
					39.64902526	0.0	29.69750947	14.84875474	9.95151579										
										20.20573389	0.0	13.08505318	6.54252659	7.12068071					
										26.26566156	0.0	19.14498085	9.57249042	7.12068071					
										28.24918289	0.0	21.12850218	10.56425109	7.12068071					
										29.19788789	0.0	22.07720718	11.03860359	7.12068071					
