Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
42.85116182	0.0	29.09911988	14.54955994	13.75204194															
42.750561	0.0	28.99851906	14.49925953	13.75204194															
42.72676421	0.0	28.97472226	14.48736113	13.75204194															
42.73244449	0.0	28.98040255	14.49020127	13.75204194															
					32.22664203	0.0	22.21121055	11.10560528	10.01543148										
					32.14269695	0.0	22.12726547	11.06363274	10.01543148										
					32.13328054	0.0	22.11784906	11.05892453	10.01543148										
					32.12691351	0.0	22.11148203	11.05574101	10.01543148										
										24.43788211	0.0	17.26525576	8.63262788	7.17262635					
										24.37336123	0.0	17.20073487	8.60036744	7.17262635					
										24.36487825	0.0	17.1922519	8.59612595	7.17262635					
										24.40049411	0.0	17.22786775	8.61393388	7.17262635					
42.62916141	0.0	28.87711947	14.43855973	13.75204194															
42.59907468	0.0	28.84703274	14.42351637	13.75204194															
42.51163858	0.0	28.75959664	14.37979832	13.75204194															
42.57354873	0.0	28.82150678	14.41075339	13.75204194															
					32.96705942	0.0	22.95162794	11.47581397	10.01543148										
					32.87778268	0.0	22.8623512	11.4311756	10.01543148										
					32.86174733	0.0	22.84631585	11.42315793	10.01543148										
					32.85985666	0.0	22.84442518	11.42221259	10.01543148										
										25.20704178	0.0	18.03441543	9.01720771	7.17262635					
										25.17426218	0.0	18.00163583	9.00081791	7.17262635					
										25.19059691	0.0	18.01797056	9.00898528	7.17262635					
										25.12195312	0.0	17.94932676	8.97466338	7.17262635					
43.47661839	0.0	29.72457644	14.86228822	13.75204194															
43.40990545	0.0	29.65786351	14.82893176	13.75204194															
43.32774992	0.0	29.57570797	14.78785399	13.75204194															
43.36697565	0.0	29.61493371	14.80746686	13.75204194															
					33.59033679	0.0	23.57490531	11.78745265	10.01543148										
					33.53961336	0.0	23.52418188	11.76209094	10.01543148										
					33.56012932	0.0	23.54469783	11.77234892	10.01543148										
					33.54384572	0.0	23.52841424	11.76420712	10.01543148										
										25.72163763	0.0	18.54901127	9.27450564	7.17262635					
										25.66845927	0.0	18.49583292	9.24791646	7.17262635					
										25.599856	0.0	18.42722965	9.21361482	7.17262635					
										25.64114268	0.0	18.46851633	9.23425816	7.17262635					
44.06476231	0.0	30.31272037	15.15636018	13.75204194															
43.98357127	0.0	30.23152933	15.11576466	13.75204194															
43.97654017	0.0	30.22449822	15.11224911	13.75204194															
43.99812748	0.0	30.24608554	15.12304277	13.75204194															
					34.09753106	0.0	24.08209958	12.04104979	10.01543148										
					34.06485245	0.0	24.04942097	12.02471049	10.01543148										
					34.05681059	0.0	24.04137911	12.02068956	10.01543148										
					34.04262904	0.0	24.02719756	12.01359878	10.01543148										
										26.05284339	0.0	18.88021703	9.44010852	7.17262635					
										26.00496014	0.0	18.83233378	9.41616689	7.17262635					
										25.95270629	0.0	18.78007994	9.39003997	7.17262635					
										25.94736224	0.0	18.77473589	9.38736794	7.17262635					
44.86323228	0.0	31.11119034	15.55559517	13.75204194															
44.78943714	0.0	31.03739519	15.5186976	13.75204194															
44.72207729	0.0	30.97003535	15.48501767	13.75204194															
44.76336753	0.0	31.01132558	15.50566279	13.75204194															
					34.57928452	0.0	24.56385304	12.28192652	10.01543148										
					34.54290605	0.0	24.52747456	12.26373728	10.01543148										
					34.53184887	0.0	24.51641739	12.2582087	10.01543148										
					34.55299272	0.0	24.53756124	12.26878062	10.01543148										
										26.34396321	0.0	19.17133686	9.58566843	7.17262635					
										26.34270223	0.0	19.17007587	9.58503794	7.17262635					
										26.29673978	0.0	19.12411343	9.56205671	7.17262635					
										26.28594026	0.0	19.11331391	9.55665695	7.17262635					
