Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
30.35954172	0.0	16.61496316	8.30748158	13.74457855															
36.52601937	0.0	22.78144082	11.39072041	13.74457855															
38.44019033	0.0	24.69561177	12.34780589	13.74457855															
39.40296493	0.0	25.65838638	12.82919319	13.74457855															
					20.17619068	0.0	10.16180857	5.08090429	10.01438211										
					26.39100901	0.0	16.3766269	8.18831345	10.01438211										
					28.24298142	0.0	18.22859932	9.11429966	10.01438211										
					29.24729212	0.0	19.23291002	9.61645501	10.01438211										
										12.25106903	0.0	5.09549958	2.54774979	7.15556945					
										18.38421752	0.0	11.22864807	5.61432404	7.15556945					
										20.40675153	0.0	13.25118209	6.62559104	7.15556945					
										21.34078437	0.0	14.18521492	7.09260746	7.15556945					
30.49685374	0.0	16.7633796	8.3816898	13.73347414															
36.68421371	0.0	22.95073957	11.47536979	13.73347414															
38.54780794	0.0	24.8143338	12.4071669	13.73347414															
39.53262804	0.0	25.7991539	12.89957695	13.73347414															
					20.96285564	0.0	10.96541679	5.4827084	9.99743885										
					27.19210025	0.0	17.1946614	8.5973307	9.99743885										
					29.0681559	0.0	19.07071705	9.53535853	9.99743885										
					30.06890908	0.0	20.07147023	10.03573511	9.99743885										
										13.14276271	0.0	5.99477149	2.99738575	7.14799122					
										19.13330706	0.0	11.98531584	5.99265792	7.14799122					
										20.96908622	0.0	13.82109501	6.9105475	7.14799122					
										21.9959446	0.0	14.84795338	7.42397669	7.14799122					
31.91754372	0.0	18.20427444	9.10213722	13.71326928															
38.18375951	0.0	24.47049023	12.23524512	13.71326928															
40.16878853	0.0	26.45551925	13.22775962	13.71326928															
41.12736614	0.0	27.41409686	13.70704843	13.71326928															
					22.27905662	0.0	12.28676322	6.14338161	9.9922934										
					28.30930185	0.0	18.31700845	9.15850423	9.9922934										
					30.19647695	0.0	20.20418355	10.10209177	9.9922934										
					31.19198337	0.0	21.19968997	10.59984498	9.9922934										
										13.76530422	0.0	6.6183218	3.3091609	7.14698242					
										19.9228996	0.0	12.77591718	6.38795859	7.14698242					
										21.84679046	0.0	14.69980804	7.34990402	7.14698242					
										22.79608702	0.0	15.6491046	7.8245523	7.14698242					
32.65387395	0.0	18.95605466	9.47802733	13.69781929															
38.64875891	0.0	24.95093962	12.47546981	13.69781929															
40.60727658	0.0	26.9094573	13.45472865	13.69781929															
41.62151524	0.0	27.92369595	13.96184798	13.69781929															
					22.77413385	0.0	12.78598578	6.39299289	9.98814808										
					28.66291176	0.0	18.67476369	9.33738184	9.98814808										
					30.65593926	0.0	20.66779118	10.33389559	9.98814808										
					31.65986812	0.0	21.67172004	10.83586002	9.98814808										
										14.12417377	0.0	6.97442307	3.48721153	7.1497507					
										20.20233709	0.0	13.05258638	6.52629319	7.1497507					
										22.16142912	0.0	15.01167842	7.50583921	7.1497507					
										23.12949327	0.0	15.97974256	7.98987128	7.1497507					
33.59972189	0.0	19.88343574	9.94171787	13.71628615															
39.83520611	0.0	26.11891995	13.05945998	13.71628615															
41.70897008	0.0	27.99268393	13.99634196	13.71628615															
42.70177187	0.0	28.98548572	14.49274286	13.71628615															
					23.14011104	0.0	13.1515763	6.57578815	9.98853474										
					29.32277838	0.0	19.33424364	9.66712182	9.98853474										
					31.34832759	0.0	21.35979284	10.67989642	9.98853474										
					32.24926593	0.0	22.26073119	11.13036559	9.98853474										
										14.47592737	0.0	7.32935346	3.66467673	7.14657391					
										20.60657783	0.0	13.46000392	6.73000196	7.14657391					
										22.61998059	0.0	15.47340668	7.73670334	7.14657391					
										23.64758691	0.0	16.501013	8.2505065	7.14657391					
