Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
75.55307493	0.0	61.95927157	30.97963578	13.59380336															
81.77550075	0.0	68.18169739	34.0908487	13.59380336															
83.61766064	0.0	70.02385728	35.01192864	13.59380336															
84.54806003	0.0	70.95425667	35.47712834	13.59380336															
					61.32481903	0.0	51.40013976	25.70006988	9.92467926										
					67.41797548	0.0	57.49329621	28.74664811	9.92467926										
					69.36001034	0.0	59.43533108	29.71766554	9.92467926										
					70.33961223	0.0	60.41493297	30.20746648	9.92467926										
										49.85260984	0.0	42.77390286	21.38695143	7.07870699					
										56.04614464	0.0	48.96743766	24.48371883	7.07870699					
										58.01803266	0.0	50.93932567	25.46966284	7.07870699					
										58.9855963	0.0	51.90688931	25.95344466	7.07870699					
79.83102081	0.0	66.26904719	33.13452359	13.56197362															
85.94900911	0.0	72.38703549	36.19351774	13.56197362															
87.8234434	0.0	74.26146978	37.13073489	13.56197362															
88.7387919	0.0	75.17681828	37.58840914	13.56197362															
					65.45122929	0.0	55.55348377	27.77674189	9.89774552										
					71.55589935	0.0	61.65815383	30.82907692	9.89774552										
					73.48224493	0.0	63.58449941	31.79224971	9.89774552										
					74.34035133	0.0	64.44260581	32.2213029	9.89774552										
										52.02987355	0.0	44.93908095	22.46954047	7.0907926					
										58.21951917	0.0	51.12872657	25.56436328	7.0907926					
										60.0786004	0.0	52.9878078	26.4939039	7.0907926					
										61.07910625	0.0	53.98831365	26.99415682	7.0907926					
83.14669478	0.0	69.57604831	34.78802416	13.57064647															
89.25409985	0.0	75.68345338	37.84172669	13.57064647															
91.15698696	0.0	77.58634049	38.79317025	13.57064647															
92.05647296	0.0	78.4858265	39.24291325	13.57064647															
					67.67772339	0.0	57.77893134	28.88946567	9.89879205										
					73.85900395	0.0	63.9602119	31.98010595	9.89879205										
					75.69694406	0.0	65.79815201	32.899076	9.89879205										
					76.66679897	0.0	66.76800692	33.38400346	9.89879205										
										53.6010031	0.0	46.52840657	23.26420329	7.07259653					
										59.84386822	0.0	52.77127169	26.38563585	7.07259653					
										61.72603412	0.0	54.6534376	27.3267188	7.07259653					
										62.70675535	0.0	55.63415883	27.81707941	7.07259653					
84.8447406	0.0	71.26070431	35.63035215	13.58403629															
90.91677097	0.0	77.33273468	38.66636734	13.58403629															
92.80515434	0.0	79.22111805	39.61055902	13.58403629															
93.66183579	0.0	80.0777995	40.03889975	13.58403629															
					69.082006	0.0	59.18183317	29.59091658	9.90017283										
					75.11770435	0.0	65.21753152	32.60876576	9.90017283										
					76.97866838	0.0	67.07849555	33.53924777	9.90017283										
					77.86496978	0.0	67.96479695	33.98239848	9.90017283										
										54.37836004	0.0	47.29539654	23.64769827	7.08296351					
										60.52973569	0.0	53.44677218	26.72338609	7.08296351					
										62.50761838	0.0	55.42465487	27.71232744	7.08296351					
										63.41949409	0.0	56.33653059	28.16826529	7.08296351					
86.43994978	0.0	72.84856291	36.42428145	13.59138687															
92.73790646	0.0	79.14651959	39.57325979	13.59138687															
94.62040143	0.0	81.02901456	40.51450728	13.59138687															
95.53752803	0.0	81.94614116	40.97307058	13.59138687															
					70.23792797	0.0	60.33802769	30.16901385	9.89990028										
					76.42266126	0.0	66.52276098	33.26138049	9.89990028										
					78.21697965	0.0	68.31707937	34.15853969	9.89990028										
					79.18495568	0.0	69.2850554	34.6425277	9.89990028										
										55.44620868	0.0	48.36860545	24.18430273	7.07760323					
										61.52158984	0.0	54.44398661	27.2219933	7.07760323					
										63.43347812	0.0	56.35587489	28.17793744	7.07760323					
										64.41449917	0.0	57.33689594	28.66844797	7.07760323					
