Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
										34.8708297	0.0	27.69820334	13.84910167	7.17262635					
										34.91110571	0.0	27.73847936	13.86923968	7.17262635					
										34.80462049	0.0	27.63199414	13.81599707	7.17262635					
										34.80703918	0.0	27.63441283	13.81720641	7.17262635					
										37.7346619	0.0	30.55515462	15.27757731	7.17950728					
										37.73019489	0.0	30.55068761	15.27534381	7.17950728					
										37.64610721	0.0	30.46659993	15.23329997	7.17950728					
										37.58645861	0.0	30.40695133	15.20347567	7.17950728					
										39.51293316	0.0	32.3433082	16.1716541	7.16962496					
										39.46493647	0.0	32.29531152	16.14765576	7.16962496					
										39.37877931	0.0	32.20915435	16.10457717	7.16962496					
										39.31645611	0.0	32.14683115	16.07341557	7.16962496					
										40.72489594	0.0	33.55329705	16.77664853	7.17159889					
										40.73887004	0.0	33.56727115	16.78363558	7.17159889					
										40.63871986	0.0	33.46712097	16.73356049	7.17159889					
										40.5950009	0.0	33.42340202	16.71170101	7.17159889					
										42.02768201	0.0	34.86028934	17.43014467	7.16739267					
										42.03636463	0.0	34.86897196	17.43448598	7.16739267					
										41.97395661	0.0	34.80656394	17.40328197	7.16739267					
										41.88271599	0.0	34.71532332	17.35766166	7.16739267					
