Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
204.88837035	0.15096789	190.92539758	95.38721484	15.45235653															
207.15960586	0.07973348	193.19663308	96.5584498	15.45235653															
208.1341486	0.06533356	194.17117583	97.05292114	15.45235653															
208.6919238	0.04332958	194.72895103	97.34281072	15.45235653															
					161.65519958	0.083741	151.5891069	75.75268295	11.13980924										
					163.12948949	0.10322823	153.06339681	76.48008429	11.13980924										
					163.57002418	0.05874166	153.5039315	76.72259492	11.13980924										
					163.76858483	0.04827515	153.70249215	76.8271085	11.13980924										
241.34572994	0.19104213	227.4137706	113.61136424	15.418035															
242.52600976	0.07973348	228.59405042	114.25715847	15.418035															
243.48577019	0.04080441	229.55381086	114.75650323	15.418035															
243.68381194	0.05099474	229.7518526	114.85042893	15.418035															
					163.97506002	0.19743397	153.92351019	76.86303811	11.12371515										
					164.93512012	0.0970458	154.88357029	77.39326225	11.12371515										
					165.23422615	0.03896348	155.18267632	77.57185642	11.12371515										
					165.31543168	0.03294107	155.26388185	77.61547039	11.12371515										
246.56042876	0.17571793	232.62032535	116.22230371	15.42704777															
247.02812312	0.10619369	233.08801972	116.49091301	15.42704777															
248.18772447	0.07313001	234.24762106	117.08724553	15.42704777															
248.50491929	0.05223161	234.56481589	117.25629214	15.42704777															
					161.34095457	0.13072844	151.2893267	75.57929913	11.12380151										
					162.92941441	0.09284159	152.87778654	76.39247248	11.12380151										
					163.43478805	0.07428405	153.38316018	76.65443807	11.12380151										
					163.5207714	0.04815128	153.46914353	76.71049612	11.12380151										
233.87496748	0.11885631	219.95357882	109.91736125	15.40633679															
234.99531688	0.05728332	221.07392822	110.50832245	15.40633679															
235.9937984	0.0474007	222.07240973	111.01250452	15.40633679															
236.33493431	0.03244745	222.41354564	111.1905491	15.40633679															
					159.89674305	0.17176306	149.85768407	74.84296051	11.10989193										
					161.61226202	0.07981338	151.57320305	75.74669484	11.10989193										
					162.05662049	0.05960447	152.01756152	75.97897852	11.10989193										
					162.14877815	0.04703829	152.10971918	76.03134045	11.10989193										
245.75105313	0.17720382	231.80165121	115.81222369	15.43733812															
247.37194765	0.07312876	233.42254573	116.67470848	15.43733812															
248.1283478	0.0523473	234.17894588	117.06329929	15.43733812															
248.3335229	0.04407095	234.38412098	117.17002502	15.43733812															
					161.72759406	0.12578297	151.6575824	75.76589971	11.14414624										
					163.43133517	0.11521293	153.36132351	76.62305529	11.14414624										
					163.85585698	0.06438835	153.78584531	76.86072848	11.14414624										
					163.93539977	0.03652778	153.86538811	76.91443017	11.14414624										
