Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
234.83839554	0.18585651	220.99370465	110.40392407	15.32145792															
236.48603206	0.10073146	222.64134117	111.27030486	15.32145792															
237.38313084	0.05556409	223.53843995	111.74143793	15.32145792															
237.66573011	0.04883071	223.82103922	111.88610425	15.32145792															
229.24002151	0.1883255	215.39120903	107.60144177	15.32601915															
230.35763026	0.09528682	216.50881777	108.20676548	15.32601915															
231.30036298	0.0582026	217.4515505	108.69667395	15.32601915															
231.70398649	0.04734797	217.855174	108.90391301	15.32601915															
226.88754753	0.20414499	213.0617513	106.42880316	15.30054782															
229.55701653	0.07993737	215.73122031	107.82564147	15.30054782															
230.83690003	0.04731809	217.01110381	108.48189286	15.30054782															
231.46927553	0.04277215	217.6434793	108.80035358	15.30054782															
235.57112768	0.20019011	221.6270869	110.71344839	15.43140513															
236.20158066	0.07498497	222.25753988	111.09127746	15.43140513															
237.28351051	0.06100634	223.33946973	111.6392317	15.43140513															
237.77813814	0.02496622	223.83409736	111.90456557	15.43140513															
249.42788423	0.19524465	235.50795089	117.65635312	15.40472623															
248.79879259	0.06954033	234.87885925	117.40465946	15.40472623															
249.94601886	0.06051318	236.02608552	117.98278617	15.40472623															
250.41940878	0.0287988	236.49947544	118.23533832	15.40472623															
