Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
478.39804711	0.18034357	465.97150318	232.89557981	13.75204194															
469.87331456	0.07317943	457.44677064	228.6867956	13.75204194															
473.75313042	0.04827468	461.32658649	230.63915591	13.75204194															
405.00012944	0.04571661	392.57358551	196.26393445	13.75204194															
					326.83907031	0.16255001	317.78898163	158.81321581	10.01543148										
					328.62964339	0.12832958	319.57955471	159.72561256	10.01543148										
					332.62478986	0.0668996	323.57470117	161.75390079	10.01543148										
					334.64634005	0.04448037	325.59625136	162.7758855	10.01543148										
										206.06112723	0.26139728	199.57983835	99.65922054	7.17262635					
										212.08931306	0.10533033	205.60802419	102.75134693	7.17262635					
										214.88732822	0.07662358	208.40603934	104.16470788	7.17262635					
										216.40832979	0.04843672	209.92704092	104.9393021	7.17262635					
															143.82866573	0.29846219	138.54749673	69.12451727	5.8444937
															150.56897523	0.10533033	145.28780622	72.59123794	5.8444937
															152.98702385	0.06294446	147.70585484	73.82145519	5.8444937
															154.12463044	0.05029015	148.84346143	74.39658564	5.8444937
459.93695989	0.11757852	447.48090804	223.68166476	13.78469738															
447.18632132	0.06674925	434.73026947	217.33176011	13.78469738															
451.29473065	0.06887842	438.8386788	219.38490019	13.78469738															
405.00012944	0.04534705	392.54407759	196.24936527	13.78469738															
					311.48488896	0.17296669	302.41900717	151.12302024	10.03290918										
					314.27286787	0.10409159	305.20698608	152.55144724	10.03290918										
					318.43998332	0.07761174	309.37410153	154.6482449	10.03290918										
					320.56689095	0.04423462	311.50100916	155.72838727	10.03290918										
										196.5519883	0.13984094	190.06448172	94.96232039	7.17950728					
										202.88726727	0.06477102	196.39976069	98.16749484	7.17950728					
										205.59377502	0.06656938	199.10626844	99.51984953	7.17950728					
										207.03581166	0.04040208	200.54830508	100.2539515	7.17950728					
															139.95326381	0.24068878	134.67121616	67.21526369	5.84546606
															146.65303303	0.07713589	141.37098539	70.64692475	5.84546606
															149.05356654	0.07728402	143.7715189	71.84711744	5.84546606
															150.41312312	0.05402402	145.13107548	72.53852573	5.84546606
453.45931873	0.21053421	441.02485145	220.40715862	13.76081045															
438.37149024	0.0759009	425.93702296	212.93056103	13.76081045															
443.22682955	0.07200801	430.79236228	215.36017714	13.76081045															
405.20283221	0.04821321	392.76836493	196.36007586	13.76081045															
					302.50444178	0.19471038	293.44404884	146.62466923	10.02683485										
					305.94397147	0.09296547	296.88357853	148.39530653	10.02683485										
					310.23287442	0.05074883	301.17248148	150.56086632	10.02683485										
					312.47936562	0.05723911	303.41897268	151.68086678	10.02683485										
										186.42079082	0.15615996	179.94221405	89.89302704	7.16962496					
										193.36446697	0.11621246	186.8858902	93.38483887	7.16962496					
										196.13179203	0.06541611	189.65321526	94.79389957	7.16962496					
										197.63785661	0.05921922	191.15927984	95.55003031	7.16962496					
															131.67085834	0.27627551	126.38547409	63.05459929	5.84915857
															138.46898273	0.07763138	133.18359848	66.55298355	5.84915857
															140.67736491	0.07151518	135.39198066	67.66023274	5.84915857
															141.87576201	0.05563251	136.59037776	68.26737263	5.84915857
427.52867647	0.23376351	415.09424165	207.43023907	13.76077454															
423.21608108	0.07985736	410.78164626	205.35089445	13.76077454															
427.83286941	0.06129586	415.39843459	207.66856936	13.76077454															
405.20283221	0.03807432	392.76839738	196.36516153	13.76077454															
					285.10559724	0.17197629	276.05158415	137.93980393	10.01977448										
					289.38019144	0.10013514	280.32617836	140.11302161	10.01977448										
					293.53851484	0.05931704	284.48450176	142.21259236	10.01977448										
					295.88052553	0.05192192	286.82651244	143.38729526	10.01977448										
										176.7127401	0.23277311	170.23237966	84.99980327	7.17159889					
										183.63343468	0.12709084	177.15307425	88.5129917	7.17159889					
										186.48934873	0.06739493	180.00898829	89.97079668	7.17159889					
										188.04344219	0.04994369	181.56308175	90.75656903	7.17159889					
															126.39741146	0.20360894	121.12100789	60.45869947	5.83921996
															133.46116366	0.10582583	128.18476008	64.03946713	5.83921996
															135.79092478	0.07563542	130.5145212	65.21944289	5.83921996
															137.11270948	0.05140258	131.8363059	65.89245166	5.83921996
415.33206032	0.08942077	402.90450967	201.40754445	13.75315605															
416.05710586	0.10310435	403.62955521	201.76322543	13.75315605															
420.41746331	0.0685482	407.98991266	203.96068223	13.75315605															
405.20283221	0.05093281	392.77528156	196.36217437	13.75315605															
					279.67590786	0.2357443	270.62851611	135.19638591	10.01244687										
					284.15638138	0.12214715	275.10898963	137.49342124	10.01244687										
					287.72029853	0.07827218	278.67290678	139.2973173	10.01244687										
					290.03485923	0.04178303	280.98746749	140.47284223	10.01244687										
										170.6577506	0.18087485	164.18119096	82.00015805	7.16739267					
										177.5943018	0.08628754	171.11774216	85.51572731	7.16739267					
										180.22445714	0.07876751	173.74789749	86.83456499	7.16739267					
										181.70365616	0.05934122	175.22709651	87.58387765	7.16739267					
															120.69340486	0.16901261	115.41226878	57.62162809	5.84445726
															127.48734985	0.1214039	122.20621377	61.04240493	5.84445726
															129.64360907	0.07068963	124.36247299	62.14589168	5.84445726
															130.86024012	0.07006441	125.57910404	62.75451982	5.84445726
