Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
24.77340714	0.0	11.02882859	5.5144143	13.74457855															
24.76752435	0.0	11.0229458	5.5114729	13.74457855															
24.73297705	0.0	10.9883985	5.49419925	13.74457855															
24.6898725	0.0	10.94529394	5.47264697	13.74457855															
					16.15563358	0.0	6.14125147	3.07062574	10.01438211										
					16.16889068	0.0	6.15450858	3.07725429	10.01438211										
					16.13123838	0.0	6.11685628	3.05842814	10.01438211										
					16.11544077	0.0	6.10105866	3.05052933	10.01438211										
										10.65668011	0.0	3.50111066	1.75055533	7.15556945					
										10.63810917	0.0	3.48253972	1.74126986	7.15556945					
										10.6218502	0.0	3.46628075	1.73314038	7.15556945					
										10.60374019	0.0	3.44817074	1.72408537	7.15556945					
															8.39252582	0.0	2.56091876	1.28045938	5.83160706
															8.29900616	0.0	2.4673991	1.23369955	5.83160706
															8.26550901	0.0	2.43390195	1.21695098	5.83160706
															8.2608201	0.0	2.42921304	1.21460652	5.83160706
24.70172684	0.0	10.9682527	5.48412635	13.73347414															
24.70670481	0.0	10.97323067	5.48661533	13.73347414															
24.66499586	0.0	10.93152172	5.46576086	13.73347414															
24.63828206	0.0	10.90480792	5.45240396	13.73347414															
					16.29625355	0.0	6.2988147	3.14940735	9.99743885										
					16.32943497	0.0	6.33199612	3.16599806	9.99743885										
					16.30036556	0.0	6.30292671	3.15146336	9.99743885										
					16.27596144	0.0	6.27852259	3.13926129	9.99743885										
										10.80714979	0.0	3.65915857	1.82957929	7.14799122					
										10.72906403	0.0	3.58107281	1.79053641	7.14799122					
										10.72903353	0.0	3.58104232	1.79052116	7.14799122					
										10.70281677	0.0	3.55482555	1.77741278	7.14799122					
															8.35039464	0.0	2.52512712	1.26256356	5.82526752
															8.33845611	0.0	2.5131886	1.2565943	5.82526752
															8.34700838	0.0	2.52174087	1.26087043	5.82526752
															8.32095366	0.0	2.49568614	1.24784307	5.82526752
24.67218601	0.0	10.95891673	5.47945837	13.71326928															
24.74094855	0.0	11.02767927	5.51383963	13.71326928															
24.68695281	0.0	10.97368353	5.48684176	13.71326928															
24.65103117	0.0	10.93776189	5.46888095	13.71326928															
					16.25029378	0.0	6.25800037	3.12900019	9.9922934										
					16.24379514	0.0	6.25150173	3.12575087	9.9922934										
					16.1934773	0.0	6.2011839	3.10059195	9.9922934										
					16.17184136	0.0	6.17954796	3.08977398	9.9922934										
										10.71357755	0.0	3.56659512	1.78329756	7.14698242					
										10.66962086	0.0	3.52263844	1.76131922	7.14698242					
										10.64812378	0.0	3.50114136	1.75057068	7.14698242					
										10.63369442	0.0	3.48671199	1.743356	7.14698242					
															8.32140194	0.0	2.49252689	1.24626345	5.82887505
															8.32186555	0.0	2.4929905	1.24649525	5.82887505
															8.27773738	0.0	2.44886233	1.22443117	5.82887505
															8.27631985	0.0	2.4474448	1.2237224	5.82887505
25.15970512	0.0	11.46188584	5.73094292	13.69781929															
25.18041429	0.0	11.48259501	5.7412975	13.69781929															
25.11345073	0.0	11.41563145	5.70781572	13.69781929															
25.10859517	0.0	11.41077588	5.70538794	13.69781929															
					16.43961417	0.0	6.45146609	3.22573305	9.98814808										
					16.48704674	0.0	6.49889866	3.24944933	9.98814808										
					16.43805581	0.0	6.44990773	3.22495387	9.98814808										
					16.43608435	0.0	6.44793627	3.22396814	9.98814808										
										10.81097839	0.0	3.66122768	1.83061384	7.1497507					
										10.81469188	0.0	3.66494117	1.83247059	7.1497507					
										10.77042186	0.0	3.62067116	1.81033558	7.1497507					
										10.75979249	0.0	3.61004178	1.80502089	7.1497507					
															8.39088973	0.0	2.56849182	1.28424591	5.82239791
															8.40358766	0.0	2.58118975	1.29059488	5.82239791
															8.35531025	0.0	2.53291233	1.26645617	5.82239791
															8.36339712	0.0	2.54099921	1.2704996	5.82239791
25.32658545	0.0	11.6102993	5.80514965	13.71628615															
25.31161513	0.0	11.59532898	5.79766449	13.71628615															
25.26841085	0.0	11.55212469	5.77606235	13.71628615															
25.24824672	0.0	11.53196057	5.76598028	13.71628615															
					16.47409618	0.0	6.48556143	3.24278072	9.98853474										
					16.4910729	0.0	6.50253815	3.25126908	9.98853474										
					16.4433472	0.0	6.45481245	3.22740623	9.98853474										
					16.43813753	0.0	6.44960279	3.22480139	9.98853474										
										10.81097839	0.0	3.66440448	1.83220224	7.14657391					
										10.8264842	0.0	3.67991029	1.83995515	7.14657391					
										10.80117756	0.0	3.65460365	1.82730182	7.14657391					
										10.78429972	0.0	3.63772582	1.81886291	7.14657391					
															8.42919232	0.0	2.60604571	1.30302285	5.82314661
															8.4077002	0.0	2.58455359	1.2922768	5.82314661
															8.36224446	0.0	2.53909785	1.26954892	5.82314661
															8.35983731	0.0	2.5366907	1.26834535	5.82314661
