Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
23.21387277	0.18380176	10.89396479	5.35508151	13.6340315															
23.19182057	0.06872748	10.87191259	5.40159255	13.6340315															
23.1267053	0.05387842	10.80679732	5.37645945	13.6340315															
23.12234617	0.05721048	10.80243819	5.37261385	13.6340315															
					15.42489998	0.14475645	6.44928437	3.15226396	9.93301461										
					15.44557808	0.10978228	6.46996247	3.18009009	9.93301461										
					15.38897682	0.05602235	6.41336121	3.17866943	9.93301461										
					15.36452101	0.04856053	6.3889054	3.17017243	9.93301461										
										10.14269208	0.12501501	3.71520628	1.79509564	7.11308428					
										10.12940315	0.06402778	3.70191735	1.81894479	7.11308428					
										10.09944092	0.07040888	3.67195512	1.80077312	7.11308428					
										10.07077976	0.04435843	3.64329397	1.79946777	7.11308428					
															8.0259979	0.19273709	2.79471429	1.3009886	5.78928719
															7.94170045	0.09716967	2.71041685	1.30662359	5.78928719
															7.94133172	0.0736566	2.71004812	1.31819576	5.78928719
															7.90975363	0.04015633	2.67847002	1.31915685	5.78928719
22.78894808	0.16505102	10.48185805	5.15840352	13.6198463															
22.76174925	0.09593093	10.45465922	5.17936415	13.6198463															
22.72174533	0.07992078	10.4146553	5.16736726	13.6198463															
22.68396011	0.04757191	10.37687008	5.16464908	13.6198463															
					15.16204232	0.19471038	6.18689405	2.99609183	9.93249742										
					15.18417042	0.08035285	6.20902215	3.06433465	9.93249742										
					15.12971648	0.08469897	6.15456821	3.03493462	9.93249742										
					15.10559467	0.0558523	6.1304464	3.03729705	9.93249742										
										10.15702281	0.14923469	3.74313734	1.79695132	7.09803325					
										10.12891141	0.09197447	3.71502594	1.81152573	7.09803325					
										10.07259506	0.0736566	3.65870959	1.79252649	7.09803325					
										10.07891141	0.04301989	3.66502594	1.81100302	7.09803325					
															7.97211885	0.22881903	2.7382985	1.25473974	5.79209452
															7.96494745	0.05784535	2.7311271	1.33664088	5.79209452
															7.94347315	0.07662358	2.7096528	1.31651461	5.79209452
															7.94114557	0.04818909	2.70732523	1.32956807	5.79209452
22.97481993	0.17692077	10.68667779	5.25487851	13.5988773															
23.01029655	0.09963964	10.72215441	5.31125738	13.5988773															
22.96599883	0.06463618	10.67785669	5.30661026	13.5988773															
22.92840278	0.04413288	10.64026064	5.29806388	13.5988773															
					15.28512905	0.23376351	6.31936344	3.04279997	9.92211395										
					15.26919589	0.11880135	6.30343028	3.09231446	9.92211395										
					15.19465477	0.08568963	6.22888915	3.07159976	9.92211395										
					15.21170796	0.04351351	6.24594234	3.10121441	9.92211395										
										10.22573529	0.19273709	3.81124742	1.80925516	7.09869991					
										10.17297595	0.12548597	3.75848808	1.81650105	7.09869991					
										10.14313959	0.07398682	3.72865172	1.82733245	7.09869991					
										10.13418544	0.04660473	3.71969756	1.83654642	7.09869991					
