Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
22.88558673	0.2359919	10.63102056	5.19751433	13.5617199															
22.84137024	0.12412575	10.58680407	5.23133916	13.5617199															
22.73006838	0.07950801	10.47550221	5.1979971	13.5617199															
22.71194444	0.05235548	10.45737827	5.2025114	13.5617199															
					15.11928271	0.21819478	6.19155552	2.98668037	9.8800181										
					15.06681989	0.09516283	6.13909269	3.02196493	9.8800181										
					15.01475484	0.08099149	6.08702764	3.00301807	9.8800181										
					14.99042605	0.06533971	6.06269886	2.99867957	9.8800181										
										10.05346639	0.22412965	3.66630368	1.72108701	7.06846006					
										9.97406062	0.10754008	3.58689791	1.73967892	7.06846006					
										9.94461474	0.07143262	3.55745204	1.74300971	7.06846006					
										9.90894707	0.07560248	3.52178436	1.72309094	7.06846006					
															7.94221188	0.1910039	2.73645003	1.27272307	5.76104312
															7.86907816	0.11669714	2.6633163	1.27330958	5.76104312
															7.8384006	0.08099149	2.63263875	1.27582363	5.76104312
															7.82783408	0.06113551	2.62207223	1.28046836	5.76104312
22.7195003	0.24340486	10.45852745	5.10756129	13.56880995															
22.66220721	0.10495871	10.40123436	5.14813782	13.56880995															
22.57547031	0.08824383	10.31449746	5.11312682	13.56880995															
22.54562875	0.04444257	10.28465591	5.12010667	13.56880995															
					15.15685024	0.23846038	6.22344752	2.99249357	9.886299										
					15.1014452	0.1240015	6.16804248	3.02202049	9.886299										
					15.0325567	0.08659523	6.09915399	3.00627938	9.886299										
					15.01800113	0.06929617	6.08459841	3.00765112	9.886299										
										10.08460384	0.24834934	3.69405149	1.72285107	7.07221127					
										10.04766892	0.1146021	3.65711657	1.77125723	7.07221127					
										9.99752001	0.07093729	3.60696766	1.76801518	7.07221127					
										9.96261261	0.04332958	3.57206026	1.76436534	7.07221127					
															7.95456933	0.19940726	2.75481344	1.27770309	5.75439652
															7.91041667	0.13908784	2.71066077	1.28578647	5.75439652
															7.86609156	0.06533356	2.66633567	1.30050106	5.75439652
															7.87271959	0.0459253	2.6729637	1.3135192	5.75439652
23.23260804	0.26515606	10.97385269	5.35434832	13.56635592															
23.21816066	0.09284159	10.95940531	5.43328186	13.56635592															
23.15299283	0.09549616	10.89423748	5.39937066	13.56635592															
23.12297485	0.03714527	10.8642195	5.41353712	13.56635592															
					15.29971489	0.22511255	6.35738961	3.06613853	9.89617331										
					15.2387012	0.10471096	6.29637592	3.09583248	9.89617331										
					15.18574766	0.0838493	6.24342239	3.07978654	9.89617331										
					15.16082207	0.06249437	6.2184968	3.07800121	9.89617331										
										10.17012305	0.2340111	3.78310709	1.77454799	7.06829767					
										10.09910661	0.13463589	3.71209064	1.78872738	7.06829767					
										10.06608572	0.08923199	3.67906976	1.79491889	7.06829767					
										10.03791854	0.05458146	3.65090258	1.79816056	7.06829767					
															8.03316327	0.23104742	2.83148456	1.30021857	5.75652444
															7.96927553	0.10941066	2.76759682	1.32909308	5.75652444
															7.93483979	0.06669643	2.73316108	1.33323233	5.75652444
															7.91426802	0.06570946	2.71258931	1.32343993	5.75652444
23.3294943	0.2345063	11.08954353	5.42751862	13.54554551															
23.26267643	0.10050676	11.02272566	5.46110945	13.54554551															
23.20539302	0.0821996	10.96544226	5.44162133	13.54554551															
