Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
33.36256242	0.0	19.87579407	9.93789704	13.48676835															
33.30010316	0.0	19.81333481	9.9066674	13.48676835															
33.21699339	0.0	19.73022504	9.86511252	13.48676835															
33.16754775	0.0	19.6807794	9.8403897	13.48676835															
					20.89035104	0.0	11.06539109	5.53269555	9.82495995										
					20.87254975	0.0	11.0475898	5.5237949	9.82495995										
					20.78038808	0.0	10.95542814	5.47771407	9.82495995										
					20.75980796	0.0	10.93484801	5.46742401	9.82495995										
										13.14684794	0.0	6.10500404	3.05250202	7.0418439					
										13.11745556	0.0	6.07561167	3.03780583	7.0418439					
										13.06742747	0.0	6.02558357	3.01279179	7.0418439					
										13.03149227	0.0	5.98964837	2.99482419	7.0418439					
															10.03194828	0.0	4.3069761	2.15348805	5.72497218
															9.99727931	0.0	4.27230713	2.13615356	5.72497218
															9.93738001	0.0	4.21240783	2.10620391	5.72497218
															9.92155538	0.0	4.1965832	2.0982916	5.72497218
33.61912675	0.0	20.1327926	10.0663963	13.48633415															
33.53379639	0.0	20.04746224	10.02373112	13.48633415															
33.4155756	0.0	19.92924145	9.96462072	13.48633415															
33.37308906	0.0	19.88675491	9.94337745	13.48633415															
					20.99484004	0.0	11.17202893	5.58601446	9.82281111										
					20.88378136	0.0	11.06097025	5.53048513	9.82281111										
					20.8588724	0.0	11.03606129	5.51803064	9.82281111										
					20.81441016	0.0	10.99159905	5.49579953	9.82281111										
										13.22890966	0.0	6.19841138	3.09920569	7.03049828					
										13.19033006	0.0	6.15983178	3.07991589	7.03049828					
										13.12802356	0.0	6.09752529	3.04876264	7.03049828					
										13.10962983	0.0	6.07913155	3.03956578	7.03049828					
															10.12712925	0.0	4.39764725	2.19882362	5.729482
															10.06138808	0.0	4.33190607	2.16595304	5.729482
															9.98903338	0.0	4.25955138	2.12977569	5.729482
															9.98860966	0.0	4.25912766	2.12956383	5.729482
34.22306883	0.0	20.73528194	10.36764097	13.48778689															
34.21843412	0.0	20.73064723	10.36532361	13.48778689															
34.1418256	0.0	20.65403871	10.32701936	13.48778689															
34.10493679	0.0	20.6171499	10.30857495	13.48778689															
					21.34932543	0.0	11.52407544	5.76203772	9.82524999										
					21.26678312	0.0	11.44153312	5.72076656	9.82524999										
					21.19434366	0.0	11.36909367	5.68454683	9.82524999										
					21.1559751	0.0	11.33072511	5.66536255	9.82524999										
										13.39740066	0.0	6.37474787	3.18737394	7.02265279					
										13.32758362	0.0	6.30493083	3.15246542	7.02265279					
										13.29101495	0.0	6.26836217	3.13418108	7.02265279					
										13.27138013	0.0	6.24872734	3.12436367	7.02265279					
															10.2245106	0.0	4.49456485	2.24728242	5.72994576
															10.13097335	0.0	4.40102759	2.20051379	5.72994576
															10.10255998	0.0	4.37261422	2.18630711	5.72994576
															10.0656526	0.0	4.33570684	2.16785342	5.72994576
34.38609624	0.0	20.91075442	10.45537721	13.47534182															
34.4184242	0.0	20.94308238	10.47154119	13.47534182															
34.33621071	0.0	20.8608689	10.43043445	13.47534182															
34.28434017	0.0	20.80899835	10.40449917	13.47534182															
					21.55501531	0.0	11.72853055	5.86426527	9.82648476										
					21.48212154	0.0	11.65563679	5.82781839	9.82648476										
					21.43235087	0.0	11.60586611	5.80293306	9.82648476										
					21.38368506	0.0	11.5572003	5.77860015	9.82648476										
										13.49532173	0.0	6.47593593	3.23796797	7.0193858					
										13.43388267	0.0	6.41449687	3.20724844	7.0193858					
										13.37625063	0.0	6.35686484	3.17843242	7.0193858					
										13.35581331	0.0	6.33642752	3.16821376	7.0193858					
															10.22067447	0.0	4.4918613	2.24593065	5.72881317
															10.17179554	0.0	4.44298238	2.22149119	5.72881317
															10.14673061	0.0	4.41791744	2.20895872	5.72881317
															10.1257279	0.0	4.39691474	2.19845737	5.72881317
35.63610314	0.0	22.13367075	11.06683537	13.5024324															
35.55537866	0.0	22.05294626	11.02647313	13.5024324															
35.46765918	0.0	21.96522678	10.98261339	13.5024324															
