Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
31.31009856	0.30797729	19.02654131	9.35928201	13.59380336															
31.22314629	0.13291458	18.93958904	9.40333723	13.59380336															
31.1400776	0.0963009	18.85652035	9.38010972	13.59380336															
31.0862256	0.05043919	18.80266835	9.37611458	13.59380336															
					19.52654343	0.22293626	10.55845975	5.16776175	9.92467926										
					19.45771293	0.15148046	10.48962925	5.1690744	9.92467926										
					19.3922213	0.07931325	10.42413762	5.17241219	9.92467926										
					19.33984985	0.04771772	10.37176618	5.16202423	9.92467926										
										12.22887983	0.22639584	5.83245785	2.80303101	7.07870699					
										12.12010145	0.13093437	5.72367948	2.79637255	7.07870699					
										12.04746579	0.08525117	5.65104381	2.78289632	7.07870699					
										12.02837462	0.03819632	5.63195265	2.79687816	7.07870699					
															9.44627026	0.21502652	4.22016519	2.00256934	5.78355628
															9.29373622	0.1341508	4.06763115	1.96674017	5.78355628
															9.23494326	0.0905282	4.00883819	1.95915499	5.78355628
															9.20397147	0.05563251	3.9778664	1.96111695	5.78355628
31.62702121	0.19871173	19.37222577	9.58675702	13.56197362															
31.58037325	0.11706914	19.32557781	9.60425433	13.56197362															
31.4590504	0.07321262	19.20425496	9.56552117	13.56197362															
31.39412725	0.05241742	19.13933181	9.5434572	13.56197362															
					19.72728137	0.2471608	10.78353542	5.26818731	9.89774552										
					19.631498	0.13217059	10.68775205	5.27779073	9.89774552										
					19.54511015	0.07782877	10.6013642	5.26176771	9.89774552										
					19.50010698	0.05526089	10.55636103	5.25055007	9.89774552										
										12.32924505	0.21600961	5.92190233	2.85294636	7.0907926					
										12.22382766	0.10246368	5.81648494	2.85701063	7.0907926					
										12.20711866	0.0664486	5.79977594	2.86666367	7.0907926					
										12.17206269	0.06292793	5.76471997	2.85089602	7.0907926					
															9.50263658	0.22095507	4.28263046	2.0308377	5.77680677
															9.37444013	0.12400175	4.15443401	2.01521613	5.77680677
															9.30256592	0.10553822	4.0825598	1.98851079	5.77680677
															9.29906156	0.06874062	4.07905544	2.00515741	5.77680677
32.04876676	0.2021713	19.78613441	9.79198155	13.57064647															
31.934876	0.13811122	19.67224365	9.76706622	13.57064647															
31.84762099	0.07848965	19.58498865	9.7532495	13.57064647															
31.7992211	0.045122	19.53658875	9.74573338	13.57064647															
					19.94729838	0.17992045	11.00260676	5.41134316	9.89879205										
					19.85529183	0.12969439	10.91060022	5.39045291	9.89879205										
					19.79365905	0.09102387	10.84896743	5.37897178	9.89879205										
					19.73839152	0.05451952	10.7936999	5.36959019	9.89879205										
										12.46076146	0.25062037	6.06986098	2.9096203	7.07259653					
										12.39835671	0.12920215	6.00745624	2.93912704	7.07259653					
										12.35835781	0.09036549	5.96745733	2.93854592	7.07259653					
										12.29819069	0.07925113	5.90729021	2.91401954	7.07259653					
															9.55207625	0.27781669	4.33626262	2.02922297	5.77216708
