Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
23.44268407	0.0	9.95591572	4.97795786	13.48676835															
23.48304945	0.0	9.9962811	4.99814055	13.48676835															
23.43472033	0.0	9.94795198	4.97397599	13.48676835															
23.38635916	0.0	9.89959081	4.9497954	13.48676835															
					15.86056433	0.0	6.03560438	3.01780219	9.82495995										
					15.77315616	0.0	5.94819621	2.97409811	9.82495995										
					15.72139126	0.0	5.89643131	2.94821565	9.82495995										
					15.71975758	0.0	5.89479764	2.94739882	9.82495995										
										10.67507373	0.0	3.63322983	1.81661492	7.0418439					
										10.65880095	0.0	3.61695706	1.80847853	7.0418439					
										10.63125557	0.0	3.58941168	1.79470584	7.0418439					
										10.6091489	0.0	3.567305	1.7836525	7.0418439					
															8.53172909	0.0	2.80675691	1.40337846	5.72497218
															8.46517249	0.0	2.74020031	1.37010016	5.72497218
															8.44483999	0.0	2.71986781	1.3599339	5.72497218
															8.43386346	0.0	2.70889128	1.35444564	5.72497218
23.40658123	0.0	9.92024708	4.96012354	13.48633415															
23.37976518	0.0	9.89343103	4.94671551	13.48633415															
23.3158968	0.0	9.82956264	4.91478132	13.48633415															
23.29412655	0.0	9.8077924	4.9038962	13.48633415															
					15.72380032	0.0	5.90098921	2.95049461	9.82281111										
					15.71973427	0.0	5.89692316	2.94846158	9.82281111										
					15.69583745	0.0	5.87302634	2.93651317	9.82281111										
					15.66912467	0.0	5.84631356	2.92315678	9.82281111										
										10.68108533	0.0	3.65058705	1.82529353	7.03049828					
										10.62866147	0.0	3.59816319	1.7990816	7.03049828					
										10.60843889	0.0	3.57794061	1.7889703	7.03049828					
										10.60627422	0.0	3.57577595	1.78788797	7.03049828					
															8.52570918	0.0	2.79622718	1.39811359	5.729482
															8.47749775	0.0	2.74801574	1.37400787	5.729482
															8.43534873	0.0	2.70586673	1.35293336	5.729482
															8.42469525	0.0	2.69521324	1.34760662	5.729482
23.58765176	0.0	10.09986487	5.04993244	13.48778689															
23.57455321	0.0	10.08676632	5.04338316	13.48778689															
23.51411609	0.0	10.0263292	5.0131646	13.48778689															
23.49501314	0.0	10.00722625	5.00361312	13.48778689															
					15.8337612	0.0	6.00851121	3.00425561	9.82524999										
					15.81698898	0.0	5.99173899	2.99586949	9.82524999										
					15.78071021	0.0	5.95546022	2.97773011	9.82524999										
					15.75615836	0.0	5.93090837	2.96545418	9.82524999										
										10.71390836	0.0	3.69125558	1.84562779	7.02265279					
										10.68482786	0.0	3.66217507	1.83108753	7.02265279					
										10.67852623	0.0	3.65587345	1.82793672	7.02265279					
										10.63405513	0.0	3.61140234	1.80570117	7.02265279					
															8.51422569	0.0	2.78427993	1.39213997	5.72994576
															8.49941623	0.0	2.76947047	1.38473524	5.72994576
															8.46327397	0.0	2.73332821	1.3666641	5.72994576
															8.45356869	0.0	2.72362294	1.36181147	5.72994576
23.69816066	0.0	10.22281885	5.11140942	13.47534182															
23.70742806	0.0	10.23208624	5.11604312	13.47534182															
23.62745985	0.0	10.15211803	5.07605901	13.47534182															
23.6181755	0.0	10.14283368	5.07141684	13.47534182															
					15.89721519	0.0	6.07073043	3.03536521	9.82648476										
					15.94876603	0.0	6.12228127	3.06114064	9.82648476										
					15.90373084	0.0	6.07724608	3.03862304	9.82648476										
					15.88082452	0.0	6.05433977	3.02716988	9.82648476										
										10.76479112	0.0	3.74540532	1.87270266	7.0193858					
										10.72838622	0.0	3.70900043	1.85450021	7.0193858					
										10.7166741	0.0	3.6972883	1.84864415	7.0193858					
										10.69440253	0.0	3.67501673	1.83750837	7.0193858					
															8.55688816	0.0	2.82807499	1.41403749	5.72881317
															8.52955155	0.0	2.80073839	1.40036919	5.72881317
															8.50434179	0.0	2.77552862	1.38776431	5.72881317
															8.47628569	0.0	2.74747252	1.37373626	5.72881317
23.69596859	0.0	10.19353619	5.0967681	13.5024324															
23.71893412	0.0	10.21650172	5.10825086	13.5024324															
23.66195638	0.0	10.15952398	5.07976199	13.5024324															
23.64437666	0.0	10.14194427	5.07097213	13.5024324															
					15.94808964	0.0	6.10666638	3.05333319	9.84142326										
					15.96575276	0.0	6.1243295	3.06216475	9.84142326										
					15.90591943	0.0	6.06449617	3.03224809	9.84142326										
					15.88670888	0.0	6.04528563	3.02264281	9.84142326										
										10.77572659	0.0	3.74186029	1.87093015	7.0338663					
										10.74071563	0.0	3.70684933	1.85342467	7.0338663					
										10.73017961	0.0	3.69631331	1.84815665	7.0338663					
										10.7012465	0.0	3.6673802	1.8336901	7.0338663					
															8.53828872	0.0	2.81595607	1.40797804	5.72233264
															8.52187946	0.0	2.79954682	1.39977341	5.72233264
															8.48736779	0.0	2.76503515	1.38251757	5.72233264
															8.4854539	0.0	2.76312126	1.38156063	5.72233264
