Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
23.41672754	0.18981139	11.22988867	5.52003864	13.48676835															
23.40877004	0.12127756	11.22193117	5.55032681	13.48676835															
23.35729055	0.1004239	11.17045168	5.53501389	13.48676835															
23.31303116	0.05996059	11.12619229	5.53311585	13.48676835															
					15.7254978	0.25902542	6.84752194	3.29424826	9.82495995										
					15.72804484	0.13786323	6.85006898	3.35610288	9.82495995										
					15.66882176	0.08574683	6.79084591	3.35254954	9.82495995										
					15.64913476	0.05723911	6.7711589	3.35695989	9.82495995										
										10.60180608	0.2471608	4.23869413	1.99576667	7.0418439					
										10.55860736	0.15602853	4.1954954	2.01973344	7.0418439					
										10.54763351	0.07766355	4.18452156	2.053429	7.0418439					
										10.53884384	0.06762763	4.17573189	2.05405213	7.0418439					
															8.42141035	0.2466655	3.24824271	1.50078861	5.72497218
															8.42484469	0.14603582	3.25167706	1.55282062	5.72497218
															8.40208027	0.08723131	3.22891264	1.57084067	5.72497218
															8.37884009	0.06008446	3.20567246	1.572794	5.72497218
23.7020037	0.21205473	11.51555718	5.65175122	13.48633415															
23.61375	0.1064241	11.42730348	5.66043969	13.48633415															
23.54877336	0.07914803	11.36232684	5.6415894	13.48633415															
23.49715278	0.07034722	11.31070625	5.62017952	13.48633415															
					15.90893036	0.2174955	7.03289622	3.40770036	9.82281111										
					15.8411761	0.10023547	6.96514197	3.43245325	9.82281111										
					15.79796145	0.09283879	6.92192731	3.41454426	9.82281111										
					15.77241929	0.08060998	6.89638516	3.40788759	9.82281111										
										10.66707274	0.19030668	4.31421285	2.06195308	7.03049828					
										10.63701779	0.13835922	4.28415789	2.07289934	7.03049828					
										10.62481893	0.0921779	4.27195903	2.08989057	7.03049828					
										10.59411787	0.0725732	4.24125798	2.08434239	7.03049828					
															8.47776916	0.28523114	3.30052639	1.50764762	5.729482
															8.46049223	0.14157941	3.28324946	1.57083503	5.729482
															8.43094126	0.08393191	3.25369848	1.58488329	5.729482
															8.43077515	0.07244932	3.25353238	1.59054153	5.729482
24.06194217	0.25309686	11.87418293	5.81054303	13.48778689															
24.06628632	0.13984719	11.87852708	5.86933995	13.48778689															
23.98368825	0.0954773	11.79592901	5.85022585	13.48778689															
23.94800113	0.05192192	11.76024189	5.85415998	13.48778689															
					16.20459276	0.24963728	7.32635481	3.53835876	9.82524999										
					16.17983717	0.10271167	7.30159923	3.59944378	9.82524999										
					16.12254172	0.07799399	7.24430378	3.58315489	9.82524999										
					16.086875	0.07022335	7.20863706	3.56920685	9.82524999										
										10.7763383	0.23726986	4.43056771	2.09664893	7.02265279					
										10.77169088	0.1393512	4.42592029	2.14328454	7.02265279					
										10.75940087	0.07040888	4.41363028	2.1716107	7.02265279					
										10.7385473	0.0741798	4.39277671	2.15929845	7.02265279					
															8.57863718	0.25754703	3.40097535	1.57171416	5.72994576
															8.5255987	0.14405561	3.34793687	1.60194063	5.72994576
															8.52115905	0.09300401	3.34349722	1.62524661	5.72994576
															8.51869369	0.07529279	3.34103186	1.63286954	5.72994576
24.21027617	0.23331499	12.03376248	5.90022374	13.47534182															
24.18238978	0.13860721	12.00587609	5.93363444	13.47534182															
24.1116739	0.10933077	11.93516021	5.91291472	13.47534182															
24.08575263	0.06601914	11.90923894	5.9216099	13.47534182															
					16.15663898	0.22540524	7.27728529	3.52594002	9.82648476										
					16.13676102	0.11533692	7.25740733	3.5710352	9.82648476										
					16.08988568	0.08492073	7.21053198	3.56280563	9.82648476										
					16.06387387	0.0677515	7.18452018	3.55838434	9.82648476										
										10.80798479	0.28226686	4.4651663	2.09144972	7.0193858					
										10.76054985	0.12276553	4.41773136	2.14748291	7.0193858					
										10.73680574	0.08393191	4.39398725	2.15502767	7.0193858					
										10.72049362	0.07801426	4.37767513	2.14983043	7.0193858					
															8.56429608	0.28177156	3.38765767	1.55294306	5.72881317
															8.53822395	0.11781313	3.36158555	1.62188621	5.72881317
															8.52594042	0.08442757	3.34930202	1.63243722	5.72881317
															8.51485923	0.06972973	3.33822083	1.63424555	5.72881317
24.08172403	0.22343156	11.88073091	5.82864967	13.5024324															
24.05786573	0.12474574	11.8568726	5.86606343	13.5024324															
24.00496412	0.08822013	11.80397099	5.85787543	13.5024324															
23.97100038	0.05934122	11.77000725	5.85533302	13.5024324															
