Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
94.66518304	0.08940288	82.23863911	41.07461812	13.75204194															
94.77994369	0.0575976	82.35339977	41.14790109	13.75204194															
94.64949716	0.02964977	82.22295324	41.09665174	13.75204194															
94.58180965	0.02977301	82.15526573	41.06274636	13.75204194															
					56.09737447	0.11114973	47.04728579	23.46806803	10.01543148										
					56.31966592	0.05734985	47.26957723	23.60611369	10.01543148										
					56.31550234	0.04171061	47.26541365	23.61185152	10.01543148										
					56.24041583	0.01247124	47.19032714	23.58892795	10.01543148										
										32.29356121	0.03553461	25.81227234	12.88836887	7.17262635					
										32.45274399	0.0618018	25.97145512	12.95482666	7.17262635					
										32.46097065	0.04761674	25.97968177	12.96603251	7.17262635					
										32.44889632	0.02952726	25.96760745	12.96904009	7.17262635					
															23.93475195	0.13684987	18.65358294	9.25836654	5.8444937
															24.11740616	0.06155405	18.83623715	9.38734155	5.8444937
															24.10862742	0.03327718	18.82745841	9.39709061	5.8444937
															24.11017759	0.02482991	18.82900858	9.40208933	5.8444937
92.70534214	0.08052221	80.24929029	40.08438404	13.78469738															
92.91472222	0.04943694	80.45867037	40.20461672	13.78469738															
92.81307789	0.02256254	80.35702604	40.16723175	13.78469738															
92.7163957	0.02693097	80.26034385	40.11670644	13.78469738															
					55.01255251	0.12844819	45.94667072	22.90911127	10.03290918										
					55.29184309	0.04473724	46.2259613	23.09061203	10.03290918										
					55.24171531	0.04036441	46.17583352	23.06773456	10.03290918										
					55.2122405	0.01568472	46.14635871	23.06533699	10.03290918										
										31.88730996	0.1264753	25.39980339	12.63666405	7.17950728					
										32.12703453	0.02371622	25.63952796	12.80790587	7.17950728					
										32.13693712	0.0301451	25.64943055	12.80964273	7.17950728					
										32.10926151	0.0296492	25.62175493	12.79605287	7.17950728					
															23.59005102	0.16060924	18.30800338	9.07369707	5.84546606
															23.80554805	0.06204955	18.5235004	9.23072543	5.84546606
															23.83898516	0.03574883	18.55693751	9.26059434	5.84546606
															23.83950788	0.02532516	18.55746023	9.26606754	5.84546606
94.82944928	0.07459484	82.394982	41.16019358	13.76081045															
95.01191817	0.0618018	82.57745089	41.25782455	13.76081045															
94.93447215	0.03097065	82.50000487	41.23451711	13.76081045															
94.82751626	0.02112119	82.39304898	41.1859639	13.76081045															
					55.63158013	0.09881453	46.5711872	23.23618633	10.02683485										
					55.88613363	0.03558934	46.8257407	23.39507568	10.02683485										
					55.84791945	0.02569463	46.78752651	23.38091594	10.02683485										
					55.82724237	0.02112119	46.76684943	23.37286412	10.02683485										
										31.93327165	0.0394879	25.45469489	12.70760349	7.16962496					
										32.14014264	0.06081456	25.66156587	12.80037566	7.16962496					
										32.1537717	0.00047814	25.67519493	12.8373584	7.16962496					
										32.14845721	0.02063814	25.66988044	12.82462115	7.16962496					
															23.61823229	0.0617422	18.33284804	9.13555292	5.84915857
															23.8508033	0.05809309	18.56541905	9.25366298	5.84915857
															23.90454272	0.04236899	18.61915847	9.28839474	5.84915857
															23.87876689	0.03152027	18.59338264	9.28093118	5.84915857
92.98926535	0.0365248	80.55483053	40.25915286	13.76077454															
93.28272147	0.01407282	80.84828665	40.41710691	13.76077454															
93.24325717	0.03344229	80.80882235	40.38769003	13.76077454															
93.17975238	0.02433467	80.74531755	40.36049144	13.76077454															
					55.94942977	0.05828331	46.89541669	23.41856669	10.01977448										
					56.24028153	0.05339339	47.18626845	23.56643753	10.01977448										
					56.23551068	0.04187583	47.1814976	23.56981088	10.01977448										
					56.18195598	0.02087544	47.12794289	23.55353373	10.01977448										
										32.00392407	0.11661164	25.52356363	12.70347599	7.17159889					
										32.21062688	0.06353228	25.73026644	12.83336708	7.17159889					
										32.17138259	0.02388342	25.69102215	12.83356936	7.17159889					
										32.16401451	0.02977301	25.68365407	12.82694053	7.17159889					
															23.50898109	0.15072029	18.23257751	9.04092861	5.83921996
															23.7224512	0.07540541	18.44604762	9.18532111	5.83921996
															23.75313835	0.02093041	18.47673477	9.22790218	5.83921996
															23.73123999	0.03953727	18.45483642	9.20764957	5.83921996
89.91291267	0.05828331	77.48536201	38.71353935	13.75315605															
90.28580706	0.06501877	77.85825641	38.89661882	13.75315605															
90.28960113	0.02191923	77.86205048	38.92006563	13.75315605															
90.16997686	0.0273024	77.74242621	38.85756191	13.75315605															
					54.46646158	0.09337485	45.41906984	22.66284749	10.01244687										
					54.7856006	0.0343506	45.73820885	22.85192913	10.01244687										
					54.7360532	0.03624416	45.68866145	22.82620865	10.01244687										
					54.72824662	0.03249312	45.68085487	22.82418088	10.01244687										
										31.41715936	0.15171068	24.94059972	12.39444452	7.16739267					
										31.63637387	0.04869369	25.15981423	12.55556027	7.16739267					
										31.64051485	0.04880257	25.16395521	12.55757632	7.16739267					
										31.61538332	0.03595235	25.13882367	12.55143566	7.16739267					
															23.17086585	0.10129052	17.88972976	8.89421962	5.84445726
															23.40515015	0.07713589	18.12401407	9.02343909	5.84445726
															23.4308931	0.03344229	18.14975701	9.05815736	5.84445726
															23.422999	0.02841483	18.14186292	9.05672404	5.84445726
