Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
37.31678421	0.0	24.89024029	12.44512014	13.75204194															
37.33680931	0.0	24.91026538	12.45513269	13.75204194															
37.25962225	0.0	24.83307832	12.41653916	13.75204194															
37.22187875	0.0	24.79533483	12.39766741	13.75204194															
					23.94139406	0.0	14.89130537	7.44565268	10.01543148										
					23.97835586	0.0	14.92826717	7.46413358	10.01543148										
					23.93486908	0.0	14.88478039	7.4423902	10.01543148										
					23.89889264	0.0	14.84880395	7.42440198	10.01543148										
										14.80877851	0.0	8.32748964	4.16374482	7.17262635					
										14.86547673	0.0	8.38418785	4.19209393	7.17262635					
										14.86375917	0.0	8.3824703	4.19123515	7.17262635					
										14.84053027	0.0	8.35924139	4.1796207	7.17262635					
															11.3930072	0.0	6.1118382	3.0559191	5.8444937
															11.48400901	0.0	6.20284	3.10142	5.8444937
															11.4640502	0.0	6.18288119	3.0914406	5.8444937
															11.45642634	0.0	6.17525733	3.08762867	5.8444937
37.233741	0.0	24.77768915	12.38884457	13.78469738															
37.24629505	0.0	24.79024319	12.3951216	13.78469738															
37.13617245	0.0	24.6801206	12.3400603	13.78469738															
37.11380443	0.0	24.65775258	12.32887629	13.78469738															
					23.87218637	0.0	14.80630458	7.40315229	10.03290918										
					23.85247372	0.0	14.78659193	7.39329597	10.03290918										
					23.81075884	0.0	14.74487705	7.37243852	10.03290918										
					23.77165165	0.0	14.70576986	7.35288493	10.03290918										
										14.88094988	0.0	8.39344331	4.19672165	7.17950728					
										14.96118619	0.0	8.47367961	4.23683981	7.17950728					
										14.95061708	0.0	8.4631105	4.23155525	7.17950728					
										14.91308029	0.0	8.42557372	4.21278686	7.17950728					
															11.54476291	0.0	6.26271526	3.13135763	5.84546606
															11.61137387	0.0	6.32932623	3.16466311	5.84546606
															11.61551868	0.0	6.33347103	3.16673552	5.84546606
															11.59176026	0.0	6.30971261	3.1548563	5.84546606
38.4295093	0.0	25.99504203	12.99752101	13.76081045															
38.43016892	0.0	25.99570164	12.99785082	13.76081045															
38.32451468	0.0	25.8900474	12.9450237	13.76081045															
38.27790458	0.0	25.8434373	12.92171865	13.76081045															
					24.53704982	0.0	15.47665688	7.73832844	10.02683485										
					24.54197447	0.0	15.48158154	7.74079077	10.02683485										
					24.49541528	0.0	15.43502234	7.71751117	10.02683485										
					24.45175775	0.0	15.39136482	7.69568241	10.02683485										
										15.3554997	0.0	8.87692293	4.43846147	7.16962496					
										15.29727853	0.0	8.81870176	4.40935088	7.16962496					
										15.29393346	0.0	8.81535669	4.40767834	7.16962496					
										15.26618622	0.0	8.78760945	4.39380473	7.16962496					
															11.83245798	0.0	6.54707373	3.27353687	5.84915857
															11.84483483	0.0	6.55945058	3.27972529	5.84915857
															11.8493971	0.0	6.56401285	3.28200642	5.84915857
															11.823251	0.0	6.53786675	3.26893337	5.84915857
39.7152386	0.0	27.28080377	13.64040189	13.76077454															
39.71296547	0.0	27.27853064	13.63926532	13.76077454															
39.6295497	0.0	27.19511488	13.59755744	13.76077454															
39.56228802	0.0	27.1278532	13.5639266	13.76077454															
					25.18906813	0.0	16.13505504	8.06752752	10.01977448										
					25.2564527	0.0	16.20243962	8.10121981	10.01977448										
					25.21896765	0.0	16.16495456	8.08247728	10.01977448										
					25.17848674	0.0	16.12447366	8.06223683	10.01977448										
										15.75342887	0.0	9.27306843	4.63653422	7.17159889					
										15.78819069	0.0	9.30783025	4.65391513	7.17159889					
										15.74619496	0.0	9.26583452	4.63291726	7.17159889					
										15.73831103	0.0	9.25795059	4.6289753	7.17159889					
															12.14734394	0.0	6.87094036	3.43547018	5.83921996
															12.17796171	0.0	6.90155813	3.45077907	5.83921996
															12.1229945	0.0	6.84659092	3.42329546	5.83921996
															12.13384067	0.0	6.85743709	3.42871855	5.83921996
40.55114046	0.0	28.12358981	14.0617949	13.75315605															
40.57113363	0.0	28.14358298	14.07179149	13.75315605															
40.49237492	0.0	28.06482427	14.03241213	13.75315605															
40.40630815	0.0	27.9787575	13.98937875	13.75315605															
					25.76940276	0.0	16.72201101	8.36100551	10.01244687										
					25.83367492	0.0	16.78628318	8.39314159	10.01244687										
					25.79121915	0.0	16.7438274	8.3719137	10.01244687										
					25.7468922	0.0	16.69950045	8.34975022	10.01244687										
										16.02629802	0.0	9.54973837	4.77486919	7.16739267					
										16.06641517	0.0	9.58985552	4.79492776	7.16739267					
										16.03891261	0.0	9.56235296	4.78117648	7.16739267					
										16.01355428	0.0	9.53699463	4.76849732	7.16739267					
															12.25955882	0.0	6.97842274	3.48921137	5.84445726
															12.32313063	0.0	7.04199455	3.52099727	5.84445726
															12.30231654	0.0	7.02118046	3.51059023	5.84445726
															12.27399387	0.0	6.99285779	3.49642889	5.84445726
