Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
54.27371494	0.0	40.521673	20.2608365	13.75204194															
54.48734815	0.0	40.7353062	20.3676531	13.75204194															
54.39275157	0.0	40.64070962	20.32035481	13.75204194															
54.34303344	0.0	40.5909915	20.29549575	13.75204194															
					33.13613916	0.0	23.12070767	11.56035384	10.01543148										
					33.23231517	0.0	23.21688368	11.60844184	10.01543148										
					33.20689083	0.0	23.19145935	11.59572967	10.01543148										
					33.17367376	0.0	23.15824228	11.57912114	10.01543148										
										20.4379944	0.0	13.26536804	6.63268402	7.17262635					
										20.54624705	0.0	13.37362069	6.68681035	7.17262635					
										20.54292081	0.0	13.37029446	6.68514723	7.17262635					
										20.53811748	0.0	13.36549113	6.68274556	7.17262635					
															15.30633567	0.0	9.46184197	4.73092098	5.8444937
															15.44576411	0.0	9.60127041	4.80063521	5.8444937
															15.43921538	0.0	9.59472168	4.79736084	5.8444937
															15.44606541	0.0	9.60157171	4.80078585	5.8444937
54.06301651	0.0	40.27831913	20.13915956	13.78469738															
54.14523694	0.0	40.36053956	20.18026978	13.78469738															
54.01171845	0.0	40.22702106	20.11351053	13.78469738															
53.95062074	0.0	40.16592335	20.08296168	13.78469738															
					32.61917437	0.0	22.58626519	11.29313259	10.03290918										
					32.75773629	0.0	22.72482711	11.36241355	10.03290918										
					32.71568753	0.0	22.68277834	11.34138917	10.03290918										
					32.69194575	0.0	22.65903657	11.32951828	10.03290918										
										20.19783743	0.0	13.01833016	6.50916508	7.17950728					
										20.30430495	0.0	13.12479768	6.56239884	7.17950728					
										20.28008379	0.0	13.10057651	6.55028826	7.17950728					
										20.28890988	0.0	13.1094026	6.5547013	7.17950728					
															15.12503952	0.0	9.27957345	4.63978673	5.84546606
															15.28702558	0.0	9.44155951	4.72077976	5.84546606
															15.30697738	0.0	9.46151132	4.73075566	5.84546606
															15.29383369	0.0	9.44836763	4.72418382	5.84546606
55.50669008	0.0	41.74587962	20.87293981	13.76081045															
55.56295005	0.0	41.8021396	20.9010698	13.76081045															
55.43261034	0.0	41.67179989	20.83589994	13.76081045															
55.34396818	0.0	41.58315773	20.79157887	13.76081045															
					33.34291677	0.0	23.31608192	11.65804096	10.02683485										
					33.46194019	0.0	23.43510534	11.71755267	10.02683485										
					33.4233968	0.0	23.39656195	11.69828097	10.02683485										
					33.37377891	0.0	23.34694406	11.67347203	10.02683485										
										20.53427971	0.0	13.36465476	6.68232738	7.16962496					
										20.69458358	0.0	13.52495863	6.76247931	7.16962496					
										20.65983786	0.0	13.4902129	6.74510645	7.16962496					
										20.64452896	0.0	13.47490401	6.737452	7.16962496					
															15.44889396	0.0	9.59973539	4.79986769	5.84915857
															15.55469434	0.0	9.70553577	4.85276789	5.84915857
															15.57346054	0.0	9.72430197	4.86215098	5.84915857
															15.54755253	0.0	9.69839395	4.84919698	5.84915857
57.22059524	0.0	43.4598207	21.72991035	13.76077454															
57.24012332	0.0	43.47934878	21.73967439	13.76077454															
57.12855947	0.0	43.36778493	21.68389247	13.76077454															
57.05012474	0.0	43.2893502	21.6446751	13.76077454															
					34.30135254	0.0	24.28157806	12.14078903	10.01977448										
					34.38646381	0.0	24.36668933	12.18334467	10.01977448										
					34.36147675	0.0	24.34170227	12.17085114	10.01977448										
					34.32328189	0.0	24.30350741	12.15175371	10.01977448										
										21.03045298	0.0	13.8588541	6.92942705	7.17159889					
										21.13030035	0.0	13.95870146	6.97935073	7.17159889					
										21.13425844	0.0	13.96265955	6.98132978	7.17159889					
										21.13897479	0.0	13.9673759	6.98368795	7.17159889					
															15.71530602	0.0	9.87608606	4.93804303	5.83921996
															15.82783413	0.0	9.98861417	4.99430709	5.83921996
															15.82426007	0.0	9.98504011	4.99252006	5.83921996
															15.83738197	0.0	9.99816201	4.999081	5.83921996
58.14073609	0.0	44.38758004	22.19379002	13.75315605															
58.20132397	0.0	44.44816792	22.22408396	13.75315605															
58.09837765	0.0	44.3452216	22.1726108	13.75315605															
57.98116551	0.0	44.22800945	22.11400473	13.75315605															
					34.76142297	0.0	24.7489761	12.37448805	10.01244687										
					34.87089219	0.0	24.85844532	12.42922266	10.01244687										
					34.83389016	0.0	24.82144329	12.41072165	10.01244687										
					34.80541888	0.0	24.79297202	12.39648601	10.01244687										
										21.29413325	0.0	14.12674058	7.06337029	7.16739267					
										21.40672608	0.0	14.2393334	7.1196667	7.16739267					
										21.38378169	0.0	14.21638901	7.10819451	7.16739267					
										21.38448912	0.0	14.21709645	7.10854822	7.16739267					
															15.99922979	0.0	10.15477253	5.07738626	5.84445726
															16.04952472	0.0	10.20506746	5.10253373	5.84445726
															16.05663516	0.0	10.21217789	5.10608895	5.84445726
															16.05827656	0.0	10.2138193	5.10690965	5.84445726
