Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
44.4489923	0.0	32.05960345	16.02980172	13.71092366															
44.52493619	0.0	32.13554733	16.06777367	13.71092366															
44.4324016	0.0	32.04301275	16.02150637	13.71092366															
44.35836356	0.0	31.9689747	15.98448735	13.71092366															
					27.21144958	0.0	18.18219332	9.09109666	9.99237692										
					27.36457958	0.0	18.33532332	9.16766166	9.99237692										
					27.33955887	0.0	18.31030262	9.15515131	9.99237692										
					27.28899387	0.0	18.25973762	9.12986881	9.99237692										
										16.53160264	0.0	10.07927157	5.03963579	7.14057971					
										16.71070946	0.0	10.25837839	5.1291892	7.14057971					
										16.71091311	0.0	10.25858204	5.12929102	7.14057971					
										16.70187156	0.0	10.24954049	5.12477025	7.14057971					
															12.60173319	0.0	7.33733018	3.66866509	5.82593933
															12.77576201	0.0	7.511359	3.7556795	5.82593933
															12.77587725	0.0	7.51147424	3.75573712	5.82593933
															12.79061374	0.0	7.52621073	3.76310537	5.82593933
44.42378726	0.0	32.05065567	16.02532783	13.69293229															
44.52864489	0.0	32.15551331	16.07775665	13.69293229															
44.45333306	0.0	32.08020147	16.04010073	13.69293229															
44.39951976	0.0	32.02638817	16.01319409	13.69293229															
					27.77547269	0.0	18.76471892	9.38235946	9.97190084										
					27.89085586	0.0	18.88010208	9.44005104	9.97190084										
					27.85906771	0.0	18.84831394	9.42415697	9.97190084										
					27.83391633	0.0	18.82316256	9.41158128	9.97190084										
										16.72834634	0.0	10.28447991	5.14223996	7.13121218					
										16.87195571	0.0	10.42808928	5.21404464	7.13121218					
										16.89287442	0.0	10.44900799	5.224504	7.13121218					
										16.89868056	0.0	10.45481413	5.22740707	7.13121218					
															12.71196729	0.0	7.458157	3.7290785	5.81421672
															12.89546171	0.0	7.64165142	3.82082571	5.81421672
															12.92585974	0.0	7.67204945	3.83602473	5.81421672
															12.92428491	0.0	7.67047462	3.83523731	5.81421672
46.40107293	0.0	34.06113875	17.03056937	13.65619383															
46.47918168	0.0	34.1392475	17.06962375	13.65619383															
46.39802952	0.0	34.05809534	17.02904767	13.65619383															
46.34507883	0.0	34.00514465	17.00257232	13.65619383															
					28.37112845	0.0	19.37396441	9.68698221	9.95686154										
					28.47426051	0.0	19.47709647	9.73854823	9.95686154										
					28.46081888	0.0	19.46365484	9.73182742	9.95686154										
					28.43408704	0.0	19.436923	9.7184615	9.95686154										
										17.06448079	0.0	10.62297405	5.31148702	7.1286008					
										17.23377252	0.0	10.79226578	5.39613289	7.1286008					
										17.24706805	0.0	10.8055613	5.40278065	7.1286008					
										17.23183904	0.0	10.7903323	5.39516615	7.1286008					
															13.02043067	0.0	7.7764343	3.88821715	5.80335598
															13.13164039	0.0	7.88764402	3.94382201	5.80335598
															13.14918863	0.0	7.90519226	3.95259613	5.80335598
															13.1603089	0.0	7.91631254	3.95815627	5.80335598
48.04568577	0.0	35.72089428	17.86044714	13.63943592															
48.05825826	0.0	35.73346676	17.86673338	13.63943592															
47.94353486	0.0	35.61874336	17.80937168	13.63943592															
47.88176901	0.0	35.55697751	17.77848876	13.63943592															
					29.89759904	0.0	20.9083003	10.45415015	9.94815727										
					30.00708709	0.0	21.01778835	10.50889417	9.94815727										
					29.95819713	0.0	20.96889839	10.4844492	9.94815727										
					29.91868934	0.0	20.92939061	10.4646953	9.94815727										
										17.68584934	0.0	11.24950871	5.62475436	7.12288363					
										17.82236862	0.0	11.38602799	5.693014	7.12288363					
										17.84881921	0.0	11.41247858	5.70623929	7.12288363					
										17.8388044	0.0	11.40246377	5.70123189	7.12288363					
															13.39512305	0.0	8.14700875	4.07350437	5.80791316
															13.51423048	0.0	8.26611618	4.13305809	5.80791316
															13.52365577	0.0	8.27554147	4.13777073	5.80791316
															13.54072849	0.0	8.29261419	4.14630709	5.80791316
47.99278962	0.0	35.66523553	17.83261777	13.64249319															
48.04465465	0.0	35.71710057	17.85855028	13.64249319															
47.94946881	0.0	35.62191473	17.81095736	13.64249319															
