Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
117.20571364	0.0	104.76983233	52.38491617	13.76237532															
116.70848724	0.0	104.27260593	52.13630296	13.76237532															
116.2456496	0.0	103.80976829	51.90488415	13.76237532															
116.04438063	0.0	103.60849932	51.80424966	13.76237532															
					68.86212242	0.0	59.80875581	29.90437791	10.01905905										
					68.60156156	0.0	59.54819495	29.77409747	10.01905905										
					68.29073716	0.0	59.23737055	29.61868527	10.01905905										
					68.12209667	0.0	59.06873006	29.53436503	10.01905905										
										38.67243199	0.0	32.19906355	16.09953177	7.16386107					
										38.5298536	0.0	32.05648517	16.02824258	7.16386107					
										38.37281938	0.0	31.89945094	15.94972547	7.16386107					
										38.27939002	0.0	31.80602158	15.90301079	7.16386107					
															28.16424035	0.0	22.88712937	11.44356469	5.84000281
															27.96130255	0.0	22.68419158	11.34209579	5.84000281
															27.81817045	0.0	22.54105947	11.27052974	5.84000281
															27.75311186	0.0	22.47600089	11.23800044	5.84000281
120.3127551	0.0	107.8976754	53.9488377	13.73935487															
119.92625751	0.0	107.51117781	53.7555889	13.73935487															
119.53084473	0.0	107.11576503	53.55788252	13.73935487															
119.31375188	0.0	106.89867218	53.44933609	13.73935487															
					70.09175335	0.0	61.04875478	30.52437739	10.00758508										
					69.79458709	0.0	60.75158852	30.37579426	10.00758508										
					69.55984323	0.0	60.51684466	30.25842233	10.00758508										
					69.42601351	0.0	60.38301495	30.19150747	10.00758508										
										39.6094988	0.0	33.13801625	16.56900812	7.16177402					
										39.4453979	0.0	32.97391535	16.48695767	7.16177402					
										39.30157355	0.0	32.830091	16.4150455	7.16177402					
										39.21348161	0.0	32.74199906	16.37099953	7.16177402					
															28.60735294	0.0	23.33507966	11.66753983	5.8346491
															28.42154655	0.0	23.14927326	11.57463663	5.8346491
															28.286255	0.0	23.01398172	11.50699086	5.8346491
															28.2051952	0.0	22.93292191	11.46646096	5.8346491
119.72253151	0.0	107.28538765	53.64269382	13.76377255															
119.29487237	0.0	106.8577285	53.42886425	13.76377255															
118.8531029	0.0	106.41595903	53.20797952	13.76377255															
118.59616929	0.0	106.15902543	53.07951271	13.76377255															
					69.65446429	0.0	60.60738928	30.30369464	10.01209634										
					69.34522147	0.0	60.29814646	30.14907323	10.01209634										
					69.11186708	0.0	60.06479207	30.03239604	10.01209634										
					68.92731116	0.0	59.88023615	29.94011807	10.01209634										
										39.27582533	0.0	32.8044339	16.40221695	7.16167318					
										39.06256006	0.0	32.59116863	16.29558431	7.16167318					
										38.91474316	0.0	32.44335173	16.22167587	7.16167318					
										38.83175863	0.0	32.3603672	16.1801836	7.16167318					
															28.43581933	0.0	23.15484543	11.57742272	5.84427778
															28.27291667	0.0	22.99194277	11.49597139	5.84427778
															28.13132422	0.0	22.85035032	11.42517516	5.84427778
															28.05037913	0.0	22.76940523	11.38470262	5.84427778
132.84732893	0.0	120.41455937	60.20727969	13.75893164															
132.16447072	0.0	119.73170116	59.86585058	13.75893164															
131.62437208	0.0	119.19160252	59.59580126	13.75893164															
131.23380878	0.0	118.80103922	59.40051961	13.75893164															
					77.84095138	0.0	68.79282774	34.39641387	10.01325683										
					77.64892643	0.0	68.60080279	34.30040139	10.01325683										
					77.39452385	0.0	68.34640021	34.17320011	10.01325683										
					77.21318659	0.0	68.16506295	34.08253148	10.01325683										
										43.91060174	0.0	37.44525361	18.72262681	7.15498526					
										43.66277778	0.0	37.19742965	18.59871483	7.15498526					
										43.47906604	0.0	37.01371792	18.50685896	7.15498526					
										43.37540583	0.0	36.9100577	18.45502885	7.15498526					
															31.56093187	0.0	26.2836408	13.1418204	5.84020212
															31.34821697	0.0	26.0709259	13.03546295	5.84020212
															31.18475233	0.0	25.90746126	12.95373063	5.84020212
															31.08428277	0.0	25.8069917	12.90349585	5.84020212
133.45831333	0.0	121.02244507	60.51122254	13.76236086															
132.97194444	0.0	120.53607619	60.2680381	13.76236086															
132.44254003	0.0	120.00667178	60.00333589	13.76236086															
132.07747249	0.0	119.64160424	59.82080212	13.76236086															
					78.45441176	0.0	69.41595009	34.70797505	10.00256425										
					78.0792455	0.0	69.04078382	34.52039191	10.00256425										
					77.79355237	0.0	68.7550907	34.37754535	10.00256425										
					77.60448474	0.0	68.56602307	34.28301154	10.00256425										
										44.38416116	0.0	37.91945678	18.95972839	7.15427285					
										44.15863363	0.0	37.69392925	18.84696463	7.15427285					
										43.96841478	0.0	37.5037104	18.7518552	7.15427285					
										43.84432091	0.0	37.37961653	18.68980826	7.15427285					
															31.92129352	0.0	26.64961619	13.3248081	5.83398957
															31.66922297	0.0	26.39754565	13.19877282	5.83398957
															31.49592979	0.0	26.22425246	13.11212623	5.83398957
															31.39091796	0.0	26.11924063	13.05962032	5.83398957
