Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
55.71258	0.0	43.52574113	21.76287056	13.48676835															
55.72548	0.0	43.53864113	21.76932056	13.48676835															
55.61947465	0.0	43.43263578	21.71631789	13.48676835															
55.52097111	0.0	43.33413224	21.66706612	13.48676835															
					34.95585	0.0	26.07787414	13.03893707	9.82495995										
					34.87657875	0.0	25.99860289	12.99930145	9.82495995										
					34.78852985	0.0	25.910554	12.955277	9.82495995										
					34.72140383	0.0	25.84342797	12.92171399	9.82495995										
										21.1070025	0.0	14.74389055	7.37194527	7.0418439					
										21.05811	0.0	14.69499805	7.34749902	7.0418439					
										21.0301426	0.0	14.66703064	7.33351532	7.0418439					
										20.97411581	0.0	14.61100385	7.30550193	7.0418439					
															15.9839175	0.0	10.81074987	5.40537493	5.72497218
															15.92612625	0.0	10.75295862	5.37647931	5.72497218
															15.9098941	0.0	10.73672646	5.36836323	5.72497218
															15.87478364	0.0	10.70161601	5.350808	5.72497218
53.161905	0.0	40.97545848	20.48772924	13.48633415															
53.14885875	0.0	40.96241223	20.48120611	13.48633415															
53.05505754	0.0	40.86861101	20.43430551	13.48633415															
52.96665833	0.0	40.7802118	20.3901059	13.48633415															
					33.92313	0.0	25.04709586	12.52354793	9.82281111										
					33.83668875	0.0	24.96065461	12.48032731	9.82281111										
					33.79005921	0.0	24.91402507	12.45701254	9.82281111										
					33.72054402	0.0	24.84450989	12.42225494	9.82281111										
										20.8100325	0.0	14.45717261	7.2285863	7.03049828					
										20.8248825	0.0	14.47202261	7.2360113	7.03049828					
										20.77450717	0.0	14.42164728	7.21082364	7.03049828					
										20.74546898	0.0	14.39260909	7.19630455	7.03049828					
															15.96536807	0.0	10.7881253	5.39406265	5.729482
															15.9075975	0.0	10.73035473	5.36517736	5.729482
															15.848253	0.0	10.67101023	5.33550511	5.729482
															15.83300838	0.0	10.65576561	5.3278828	5.729482
54.49557161	0.0	42.30781238	21.15390619	13.48778689															
54.37602	0.0	42.18826076	21.09413038	13.48778689															
54.28872498	0.0	42.10096575	21.05048287	13.48778689															
54.18974175	0.0	42.00198251	21.00099125	13.48778689															
					34.13995799	0.0	25.26172005	12.63086002	9.82524999										
					34.10995871	0.0	25.23172076	12.61586038	9.82524999										
					34.0067962	0.0	25.12855825	12.56427913	9.82524999										
					33.93955228	0.0	25.06131433	12.53065717	9.82524999										
										20.76428036	0.0	14.41850977	7.20925488	7.02265279					
										20.78637387	0.0	14.44060328	7.22030164	7.02265279					
										20.71434957	0.0	14.36857898	7.18428949	7.02265279					
										20.6816946	0.0	14.33592401	7.167962	7.02265279					
															15.80919434	0.0	10.63153251	5.31576625	5.72994576
															15.83597222	0.0	10.65831039	5.3291552	5.72994576
															15.77721564	0.0	10.59955381	5.29977691	5.72994576
															15.76317846	0.0	10.58551663	5.29275832	5.72994576
55.3570064	0.0	43.18049271	21.59024636	13.47534182															
55.2856494	0.0	43.10913571	21.55456785	13.47534182															
55.12963059	0.0	42.9531169	21.47655845	13.47534182															
55.04612431	0.0	42.86961062	21.43480531	13.47534182															
					34.34259602	0.0	25.46324232	12.73162116	9.82648476										
					34.27095721	0.0	25.39160351	12.69580176	9.82648476										
					34.15776935	0.0	25.27841565	12.63920782	9.82648476										
					34.07538144	0.0	25.19602774	12.59801387	9.82648476										
										20.80876425	0.0	14.46594576	7.23297288	7.0193858					
										20.77945195	0.0	14.43663346	7.21831673	7.0193858					
										20.72720564	0.0	14.38438715	7.19219357	7.0193858					
										20.68354802	0.0	14.34072953	7.17036477	7.0193858					
															15.90705141	0.0	10.73041301	5.3652065	5.72881317
															15.83374625	0.0	10.65710784	5.32855392	5.72881317
															15.77128169	0.0	10.59464328	5.29732164	5.72881317
															15.73215608	0.0	10.55551768	5.27775884	5.72881317
54.33742498	0.0	42.13643186	21.06821593	13.5024324															
54.21578453	0.0	42.01479141	21.0073957	13.5024324															
54.07627335	0.0	41.87528022	20.93764011	13.5024324															
53.98420648	0.0	41.78321335	20.89160667	13.5024324															
					33.96105471	0.0	25.06820237	12.53410119	9.84142326										
					33.93016141	0.0	25.03730907	12.51865454	9.84142326										
					33.81906604	0.0	24.92621371	12.46310685	9.84142326										
					33.75997061	0.0	24.86711827	12.43355914	9.84142326										
										20.67432987	0.0	14.31842658	7.15921329	7.0338663					
										20.64540916	0.0	14.28950588	7.14475294	7.0338663					
										20.59156021	0.0	14.23565693	7.11782846	7.0338663					
										20.54784267	0.0	14.19193939	7.09596969	7.0338663					
															15.74543909	0.0	10.57465658	5.28732829	5.72233264
															15.70192943	0.0	10.53114692	5.26557346	5.72233264
															15.61932038	0.0	10.44853787	5.22426894	5.72233264
															15.60090045	0.0	10.43011794	5.21505897	5.72233264
