Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
33.87380702	0.0	21.45400713	10.72700356	13.74457855															
33.92936186	0.0	21.50956196	10.75478098	13.74457855															
33.84341978	0.0	21.42361988	10.71180994	13.74457855															
33.80097299	0.0	21.38117309	10.69058654	13.74457855															
					22.07580282	0.0	13.02666236	6.51333118	10.01438211										
					22.12648649	0.0	13.07734603	6.53867301	10.01438211										
					22.08197382	0.0	13.03283336	6.51641668	10.01438211										
					22.06603177	0.0	13.01689131	6.50844565	10.01438211										
										14.25561224	0.0	7.78973624	3.89486812	7.15556945					
										14.33078453	0.0	7.86490853	3.93245426	7.15556945					
										14.32166528	0.0	7.85578927	3.92789464	7.15556945					
										14.30512069	0.0	7.83924468	3.91962234	7.15556945					
															11.25754802	0.0	5.98802357	2.99401178	5.83160706
															11.31706456	0.0	6.04754011	3.02377006	5.83160706
															11.3356521	0.0	6.06612765	3.03306383	5.83160706
															11.32714232	0.0	6.05761787	3.02880894	5.83160706
34.58266807	0.0	22.17290228	11.08645114	13.73347414															
34.62529279	0.0	22.215527	11.1077635	13.73347414															
34.57356654	0.0	22.16380075	11.08190038	13.73347414															
34.52523137	0.0	22.11546558	11.05773279	13.73347414															
					22.61065426	0.0	13.57682397	6.78841199	9.99743885										
					22.70222598	0.0	13.66839569	6.83419784	9.99743885										
					22.66641845	0.0	13.63258816	6.81629408	9.99743885										
					22.65693159	0.0	13.6231013	6.81155065	9.99743885										
										14.5492422	0.0	8.09021399	4.045107	7.14799122					
										14.63324324	0.0	8.17421504	4.08710752	7.14799122					
										14.62080971	0.0	8.1617815	4.08089075	7.14799122					
										14.60952914	0.0	8.15050093	4.07525047	7.14799122					
															11.46169718	0.0	6.19790123	3.09895062	5.82526752
															11.56388138	0.0	6.30008543	3.15004272	5.82526752
															11.56623082	0.0	6.30243487	3.15121744	5.82526752
															11.54837356	0.0	6.28457761	3.14228881	5.82526752
34.67955432	0.0	22.28804594	11.14402297	13.71326928															
34.73584084	0.0	22.34433246	11.17216623	13.71326928															
34.6713042	0.0	22.27979582	11.13989791	13.71326928															
34.61075725	0.0	22.21924887	11.10962443	13.71326928															
					22.88648709	0.0	13.85730631	6.92865316	9.9922934										
					22.97253378	0.0	13.943353	6.9716765	9.9922934										
					22.93622582	0.0	13.90704503	6.95352252	9.9922934										
					22.90411831	0.0	13.87493752	6.93746876	9.9922934										
										14.61152461	0.0	8.15340796	4.07670398	7.14698242					
										14.62310435	0.0	8.16498771	4.08249385	7.14698242					
										14.63152185	0.0	8.1734052	4.0867026	7.14698242					
										14.6205518	0.0	8.16243515	4.08121758	7.14698242					
															11.44044118	0.0	6.17338541	3.0866927	5.82887505
															11.53643018	0.0	6.26937441	3.13468721	5.82887505
															11.53211558	0.0	6.26505981	3.1325299	5.82887505
															11.52414957	0.0	6.25709381	3.1285469	5.82887505
35.35430672	0.0	22.97675918	11.48837959	13.69781929															
35.37068318	0.0	22.99313564	11.49656782	13.69781929															
35.29975817	0.0	22.92221062	11.46110531	13.69781929															
35.27232357	0.0	22.89477603	11.44738801	13.69781929															
					23.06346038	0.0	14.03802538	7.01901269	9.98814808										
					23.07393393	0.0	14.04849892	7.02424946	9.98814808										
					23.05835724	0.0	14.03292223	7.01646111	9.98814808										
					23.05836356	0.0	14.03292855	7.01646427	9.98814808										
										14.70989646	0.0	8.24927835	4.12463918	7.1497507					
										14.82268393	0.0	8.36206583	4.18103291	7.1497507					
										14.79617662	0.0	8.33555851	4.16777926	7.1497507					
										14.79689782	0.0	8.33627972	4.16813986	7.1497507					
															11.61493848	0.0	6.35373554	3.17686777	5.82239791
															11.6768994	0.0	6.41569647	3.20784823	5.82239791
															11.66034356	0.0	6.39914063	3.19957031	5.82239791
															11.65973112	0.0	6.39852818	3.19926409	5.82239791
36.00334634	0.0	23.60911186	11.80455593	13.71628615															
36.12596847	0.0	23.73173399	11.865867	13.71628615															
36.02743079	0.0	23.63319631	11.81659816	13.71628615															
35.97547586	0.0	23.58124139	11.79062069	13.71628615															
					23.52466236	0.0	14.49887796	7.24943898	9.98853474										
					23.60218844	0.0	14.57640403	7.28820202	9.98853474										
					23.5683047	0.0	14.5425203	7.27126015	9.98853474										
					23.52455665	0.0	14.49877225	7.24938612	9.98853474										
										14.98523409	0.0	8.52748659	4.26374329	7.14657391					
										15.03017643	0.0	8.57242892	4.28621446	7.14657391					
										15.04225067	0.0	8.58450316	4.29225158	7.14657391					
										15.0142984	0.0	8.55655089	4.27827545	7.14657391					
															11.73160264	0.0	6.46972317	3.23486159	5.82314661
															11.80698574	0.0	6.54510627	3.27255313	5.82314661
															11.8160974	0.0	6.55421793	3.27710897	5.82314661
															11.79976238	0.0	6.53788291	3.26894146	5.82314661
