Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
264.99941665	0.0	257.54753671	128.77376836	13.74457855															
235.24808784	0.0	227.7962079	113.89810395	13.74457855															
235.83482243	0.0	228.38294249	114.19147125	13.74457855															
235.5428277	0.0	228.09094776	114.04547388	13.74457855															
					198.79148939	0.0	193.36200512	96.68100256	10.01438211										
					178.8191509	0.0	173.38966663	86.69483331	10.01438211										
					179.201247	0.0	173.77176272	86.88588136	10.01438211										
					179.09961937	0.0	173.6701351	86.83506755	10.01438211										
										134.56467881	0.0	130.6851532	65.3425766	7.15556945					
										128.07202004	0.0	124.19249444	62.09624722	7.15556945					
										128.32202253	0.0	124.44249693	62.22124846	7.15556945					
										128.2408705	0.0	124.36134489	62.18067245	7.15556945					
															106.47979788	0.0	103.31808321	51.6590416	5.83160706
															103.29968011	0.0	100.13796544	50.06898272	5.83160706
															103.68377904	0.0	100.52206437	50.26103218	5.83160706
															103.7337027	0.0	100.57198803	50.28599402	5.83160706
220.95974385	0.0	213.51388437	106.75694219	13.73347414															
208.42645721	0.0	200.98059773	100.49029887	13.73347414															
208.94951535	0.0	201.50365588	100.75182794	13.73347414															
208.6879223	0.0	201.24206282	100.62103141	13.73347414															
					169.47061687	0.0	164.0503187	82.02515935	9.99743885										
					161.65782189	0.0	156.23752372	78.11876186	9.99743885										
					161.63850401	0.0	156.21820583	78.10910292	9.99743885										
					161.50469257	0.0	156.0843944	78.0421972	9.99743885										
										120.55812938	0.0	116.68271245	58.34135623	7.14799122					
										118.27943612	0.0	114.4040192	57.2020096	7.14799122					
										118.43396345	0.0	114.55854653	57.27927326	7.14799122					
										118.47173423	0.0	114.59631731	57.29815866	7.14799122					
															98.63803682	0.0	95.47975925	47.73987963	5.82526752
															96.52821268	0.0	93.36993511	46.68496755	5.82526752
															96.82077737	0.0	93.6624998	46.8312499	5.82526752
															96.91470495	0.0	93.75642739	46.87821369	5.82526752
199.19702071	0.0	191.76211568	95.88105784	13.71326928															
190.99848021	0.0	183.56357518	91.78178759	13.71326928															
190.95670394	0.0	183.52179891	91.76089945	13.71326928															
190.59643243	0.0	183.1615274	91.5807637	13.71326928															
					157.06211227	0.0	151.6446038	75.8223019	9.9922934										
					151.61978507	0.0	146.2022766	73.1011383	9.9922934										
					151.63234696	0.0	146.21483849	73.10741925	9.9922934										
					151.38719369	0.0	145.96968522	72.98484261	9.9922934										
										113.51406694	0.0	109.63919695	54.81959848	7.14698242					
										111.22736348	0.0	107.35249349	53.67624674	7.14698242					
										111.48760364	0.0	107.61273365	53.80636683	7.14698242					
										111.51608446	0.0	107.64121447	53.82060724	7.14698242					
															92.35163948	0.0	89.19140602	44.59570301	5.82887505
															91.54289579	0.0	88.38266233	44.19133117	5.82887505
															91.75299933	0.0	88.59276587	44.29638294	5.82887505
															91.877375	0.0	88.71714154	44.35857077	5.82887505
194.63741395	0.0	187.21088542	93.60544271	13.69781929															
188.88031488	0.0	181.45378635	90.72689318	13.69781929															
188.87334062	0.0	181.44681209	90.72340605	13.69781929															
188.51014752	0.0	181.08361899	90.5418095	13.69781929															
					152.26044927	0.0	146.84518826	73.42259413	9.98814808										
					150.38409995	0.0	144.96883894	72.48441947	9.98814808										
					150.36396429	0.0	144.94870328	72.47435164	9.98814808										
					150.15135698	0.0	144.73609598	72.36804799	9.98814808										
										108.89130078	0.0	105.01492992	52.50746496	7.1497507					
										108.6741726	0.0	104.79780173	52.39890087	7.1497507					
										108.9036769	0.0	105.02730604	52.51365302	7.1497507					
										108.95158221	0.0	105.07521134	52.53760567	7.1497507					
															87.9368306	0.0	84.78010884	42.39005442	5.82239791
															88.1691989	0.0	85.01247714	42.50623857	5.82239791
															88.52951986	0.0	85.3727981	42.68639905	5.82239791
															88.63081585	0.0	85.47409409	42.73704704	5.82239791
197.50667501	0.0	190.07013432	95.03506716	13.71628615															
192.66553407	0.0	185.22899338	92.61449669	13.71628615															
192.69993425	0.0	185.26339356	92.63169678	13.71628615															
192.27588063	0.0	184.83933995	92.41966997	13.71628615															
					151.21385031	0.0	145.79837967	72.89918983	9.98853474										
					148.44301052	0.0	143.02753988	71.51376994	9.98853474										
					148.48756943	0.0	143.07209878	71.53604939	9.98853474										
					148.26651351	0.0	142.85104287	71.42552143	9.98853474										
										107.94467531	0.0	104.0700268	52.0350134	7.14657391					
										107.35026628	0.0	103.47561778	51.73780889	7.14657391					
										107.66094693	0.0	103.78629842	51.89314921	7.14657391					
										107.69455968	0.0	103.81991118	51.90995559	7.14657391					
															86.73152491	0.0	83.57439723	41.78719862	5.82314661
															86.55996192	0.0	83.40283424	41.70141712	5.82314661
															86.85375501	0.0	83.69662733	41.84831366	5.82314661
															86.95275901	0.0	83.79563133	41.89781566	5.82314661
