Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
429.0905038	0.0	415.37958014	207.68979007	13.71092366															
392.2614978	0.0	378.55057413	189.27528707	13.71092366															
401.32412211	0.0	387.61319845	193.80659923	13.71092366															
405.33368001	0.0	391.62275634	195.81137817	13.71092366															
					249.38467627	0.0	239.39229935	119.69614967	9.99237692										
					249.41354605	0.0	239.42116912	119.71058456	9.99237692										
					255.45997195	0.0	245.46759503	122.73379751	9.99237692										
					257.64878062	0.0	247.65640369	123.82820185	9.99237692										
										130.27969288	0.0	123.13911316	61.56955658	7.14057971					
										141.84886937	0.0	134.70828965	67.35414483	7.14057971					
										145.88461501	0.0	138.7440353	69.37201765	7.14057971					
										147.76691168	0.0	140.62633197	70.31316598	7.14057971					
															83.05980882	0.0	77.23386949	38.61693475	5.82593933
															95.93523013	0.0	90.1092908	45.0546454	5.82593933
															99.96297135	0.0	94.13703202	47.06851601	5.82593933
															101.95309362	0.0	96.12715429	48.06357714	5.82593933
441.18870868	0.0	427.49577639	213.7478882	13.69293229															
390.9720982	0.0	377.27916591	188.63958295	13.69293229															
400.49231981	0.0	386.79938752	193.39969376	13.69293229															
405.02024442	0.0	391.32731213	195.66365607	13.69293229															
					263.42263665	0.0	253.45073581	126.72536791	9.97190084										
					264.45143453	0.0	254.47953369	127.23976685	9.97190084										
					270.09036921	0.0	260.11846837	130.05923419	9.97190084										
					271.92787391	0.0	261.95597307	130.97798654	9.97190084										
										137.69333824	0.0	130.56212606	65.28106303	7.13121218					
										149.19749745	0.0	142.06628527	71.03314264	7.13121218					
										153.49021674	0.0	146.35900457	73.17950228	7.13121218					
										155.30716688	0.0	148.17595471	74.08797735	7.13121218					
															87.793989	0.0	81.97977228	40.98988614	5.81421672
															100.55814319	0.0	94.74392647	47.37196324	5.81421672
															104.71778886	0.0	98.90357214	49.45178607	5.81421672
															106.62285463	0.0	100.80863791	50.40431895	5.81421672
447.27145618	0.0	433.61526235	216.80763118	13.65619383															
388.28026031	0.0	374.62406648	187.31203324	13.65619383															
397.6003512	0.0	383.94415737	191.97207869	13.65619383															
401.9712474	0.0	388.31505357	194.15752678	13.65619383															
					270.78435304	0.0	260.8274915	130.41374575	9.95686154										
					272.82705676	0.0	262.87019522	131.43509761	9.95686154										
					278.11842932	0.0	268.16156778	134.08078389	9.95686154										
					280.05459124	0.0	270.0977297	135.04886485	9.95686154										
										143.02710124	0.0	135.89850045	67.94925022	7.1286008					
										154.30924229	0.0	147.1806415	73.59032075	7.1286008					
										158.34867352	0.0	151.22007272	75.61003636	7.1286008					
										160.21209527	0.0	153.08349448	76.54174724	7.1286008					
															91.74753241	0.0	85.94417643	42.97208822	5.80335598
															104.3520491	0.0	98.54869312	49.27434656	5.80335598
															108.36653032	0.0	102.56317434	51.28158717	5.80335598
															110.23913847	0.0	104.43578249	52.21789124	5.80335598
442.14004512	0.0	428.5006092	214.2503046	13.63943592															
383.97743313	0.0	370.33799721	185.16899861	13.63943592															
393.48239119	0.0	379.84295527	189.92147764	13.63943592															
398.1939955	0.0	384.55455957	192.27727979	13.63943592															
					260.26504132	0.0	250.31688404	125.15844202	9.94815727										
					258.8650485	0.0	248.91689123	124.45844561	9.94815727										
					264.73657298	0.0	254.78841571	127.39420786	9.94815727										
					267.07320223	0.0	257.12504496	128.56252248	9.94815727										
										138.66818968	0.0	131.54530605	65.77265302	7.12288363					
										150.32182342	0.0	143.1989398	71.5994699	7.12288363					
										154.42065007	0.0	147.29776644	73.64888322	7.12288363					
										156.35433238	0.0	149.23144875	74.61572438	7.12288363					
															88.5439948	0.0	82.73608164	41.36804082	5.80791316
															101.35157417	0.0	95.54366101	47.77183051	5.80791316
															105.47438452	0.0	99.66647136	49.83323568	5.80791316
															107.40889797	0.0	101.60098481	50.80049241	5.80791316
450.7217602	0.0	437.07926702	218.53963351	13.64249319															
390.31877853	0.0	376.67628534	188.33814267	13.64249319															
400.74751574	0.0	387.10502256	193.55251128	13.64249319															
405.57004099	0.0	391.9275478	195.9637739	13.64249319															
					263.58183623	0.0	253.63032044	126.81516022	9.95151579										
					264.64876932	0.0	254.69725353	127.34862676	9.95151579										
					270.34446051	0.0	260.39294472	130.19647236	9.95151579										
					272.71575525	0.0	262.76423946	131.38211973	9.95151579										
										137.44442957	0.0	130.32374886	65.16187443	7.12068071					
										148.59893368	0.0	141.47825297	70.73912649	7.12068071					
										152.82609216	0.0	145.70541145	72.85270572	7.12068071					
										154.67209855	0.0	147.55141784	73.77570892	7.12068071					
															86.9772411	0.0	81.18203232	40.59101616	5.79520878
															99.70395355	0.0	93.90874477	46.95437239	5.79520878
															103.84007632	0.0	98.04486754	49.02243377	5.79520878
															105.68127381	0.0	99.88606503	49.94303252	5.79520878
