Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
193.40562998	0.0	179.65358803	89.82679402	13.75204194															
189.84493943	0.0	176.09289748	88.04644874	13.75204194															
189.25629526	0.0	175.50425332	87.75212666	13.75204194															
188.38528278	0.0	174.63324084	87.31662042	13.75204194															
					102.06738553	0.0	92.05195405	46.02597702	10.01543148										
					101.72600591	0.0	91.71057443	45.85528722	10.01543148										
					101.34821659	0.0	91.33278511	45.66639255	10.01543148										
					100.96651732	0.0	90.95108584	45.47554292	10.01543148										
										54.32924705	0.0	47.15662069	23.57831035	7.17262635					
										54.46435882	0.0	47.29173246	23.64586623	7.17262635					
										54.39580641	0.0	47.22318005	23.61159003	7.17262635					
										54.28946709	0.0	47.11684074	23.55842037	7.17262635					
															36.11811357	0.0	30.27361987	15.13680993	5.8444937
															36.66380706	0.0	30.81931336	15.40965668	5.8444937
															36.75678548	0.0	30.91229178	15.45614589	5.8444937
															36.76259222	0.0	30.91809852	15.45904926	5.8444937
172.95763238	0.0	159.172935	79.5864675	13.78469738															
171.05384339	0.0	157.26914601	78.634573	13.78469738															
170.27853364	0.0	156.49383626	78.24691813	13.78469738															
169.43430571	0.0	155.64960832	77.82480416	13.78469738															
					92.0543416	0.0	82.02143242	41.01071621	10.03290918										
					91.95230266	0.0	81.91939347	40.95969674	10.03290918										
					91.67053571	0.0	81.63762653	40.81881327	10.03290918										
					91.35798991	0.0	81.32508073	40.66254037	10.03290918										
										49.65057176	0.0	42.47106448	21.23553224	7.17950728					
										50.01106784	0.0	42.83156056	21.41578028	7.17950728					
										49.98518198	0.0	42.8056747	21.40283735	7.17950728					
										49.96333793	0.0	42.78383066	21.39191533	7.17950728					
															33.45684978	0.0	27.61138372	13.80569186	5.84546606
															34.16744484	0.0	28.32197878	14.16098939	5.84546606
															34.28873782	0.0	28.44327176	14.22163588	5.84546606
															34.32422191	0.0	28.47875585	14.23937792	5.84546606
166.7029997	0.0	152.94218925	76.47109462	13.76081045															
164.79179694	0.0	151.03098649	75.51549325	13.76081045															
164.08331502	0.0	150.32250457	75.16125228	13.76081045															
163.3583713	0.0	149.59756084	74.79878042	13.76081045															
					88.22217194	0.0	78.19533709	39.09766854	10.02683485										
					88.34774905	0.0	78.3209142	39.1604571	10.02683485										
					88.11756502	0.0	78.09073017	39.04536509	10.02683485										
					87.8859271	0.0	77.85909225	38.92954613	10.02683485										
										47.64841975	0.0	40.4787948	20.2393974	7.16962496					
										48.00729564	0.0	40.83767068	20.41883534	7.16962496					
										48.06013051	0.0	40.89050555	20.44525278	7.16962496					
										48.05256738	0.0	40.88294242	20.44147121	7.16962496					
															32.01260659	0.0	26.16344801	13.08172401	5.84915857
															32.78666748	0.0	26.93750891	13.46875446	5.84915857
															32.89409403	0.0	27.04493545	13.52246773	5.84915857
															32.9619309	0.0	27.11277232	13.55638616	5.84915857
162.02656605	0.0	148.26579151	74.13289576	13.76077454															
160.39025205	0.0	146.62947752	73.31473876	13.76077454															
159.75038812	0.0	145.98961358	72.99480679	13.76077454															
159.15508726	0.0	145.39431272	72.69715636	13.76077454															
					86.44572938	0.0	76.4259549	38.21297745	10.01977448										
					86.48533467	0.0	76.46556019	38.23278009	10.01977448										
					86.28833201	0.0	76.26855753	38.13427876	10.01977448										
					86.13334352	0.0	76.11356903	38.05678452	10.01977448										
										46.66466503	0.0	39.49306615	19.74653307	7.17159889					
										47.09910266	0.0	39.92750377	19.96375188	7.17159889					
										47.14916949	0.0	39.97757061	19.9887853	7.17159889					
										47.11356874	0.0	39.94196986	19.97098493	7.17159889					
															31.50583477	0.0	25.66661481	12.8333074	5.83921996
															32.23956192	0.0	26.40034196	13.20017098	5.83921996
															32.38431445	0.0	26.54509449	13.27254725	5.83921996
															32.45357148	0.0	26.61435152	13.30717576	5.83921996
161.23357216	0.0	147.4804161	73.74020805	13.75315605															
159.75163858	0.0	145.99848252	72.99924126	13.75315605															
159.11411111	0.0	145.36095506	72.68047753	13.75315605															
158.42450023	0.0	144.67134417	72.33567209	13.75315605															
					85.72333367	0.0	75.7108868	37.8554434	10.01244687										
					85.79549073	0.0	75.78304386	37.89152193	10.01244687										
					85.62796949	0.0	75.61552262	37.80776131	10.01244687										
					85.46588345	0.0	75.45343658	37.72671829	10.01244687										
										46.15351561	0.0	38.98612294	19.49306147	7.16739267					
										46.66952776	0.0	39.50213508	19.75106754	7.16739267					
										46.68538344	0.0	39.51799077	19.75899539	7.16739267					
										46.66444237	0.0	39.49704969	19.74852485	7.16739267					
