Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
117.0100015	0.0	104.62061265	52.31030632	13.71092366															
115.848003	0.0	103.45861415	51.72930708	13.71092366															
115.38193379	0.0	102.99254494	51.49627247	13.71092366															
115.03917584	0.0	102.64978699	51.32489349	13.71092366															
					72.54131479	0.0	63.51205853	31.75602927	9.99237692										
					71.84692943	0.0	62.81767317	31.40883659	9.99237692										
					71.55080053	0.0	62.52154428	31.26077214	9.99237692										
					71.31152139	0.0	62.28226513	31.14113257	9.99237692										
										43.36545928	0.0	36.91312821	18.4565641	7.14057971					
										42.91507132	0.0	36.46274025	18.23137013	7.14057971					
										42.69859073	0.0	36.24625966	18.12312983	7.14057971					
										42.57608179	0.0	36.12375072	18.06187536	7.14057971					
															32.14751651	0.0	26.8831135	13.44155675	5.82593933
															31.79452327	0.0	26.53012026	13.26506013	5.82593933
															31.59261925	0.0	26.32821624	13.16410812	5.82593933
															31.49122999	0.0	26.22682698	13.11341349	5.82593933
121.20977641	0.0	108.83664482	54.41832241	13.69293229															
120.02336336	0.0	107.65023178	53.82511589	13.69293229															
119.53111491	0.0	107.15798332	53.57899166	13.69293229															
119.16948287	0.0	106.79635128	53.39817564	13.69293229															
					75.67613295	0.0	66.66537918	33.33268959	9.97190084										
					74.97540916	0.0	65.96465539	32.98232769	9.97190084										
					74.61792028	0.0	65.60716651	32.80358325	9.97190084										
					74.41286893	0.0	65.40211516	32.70105758	9.97190084										
										45.33753752	0.0	38.89367109	19.44683555	7.13121218					
										44.89503754	0.0	38.45117111	19.22558556	7.13121218					
										44.63290277	0.0	38.18903634	19.09451817	7.13121218					
										44.49524325	0.0	38.05137682	19.02568841	7.13121218					
															33.33933073	0.0	28.08552044	14.04276022	5.81421672
															32.92472973	0.0	27.67091944	13.83545972	5.81421672
															32.73810791	0.0	27.48429762	13.74214881	5.81421672
															32.60715608	0.0	27.35334579	13.67667289	5.81421672
156.19459034	0.0	143.85465615	71.92732808	13.65619383															
153.22150901	0.0	140.88157483	70.44078741	13.65619383															
152.8390552	0.0	140.49912102	70.24956051	13.65619383															
152.40453602	0.0	140.06460183	70.03230092	13.65619383															
					97.15696279	0.0	88.15979874	44.07989937	9.95686154										
					96.20333333	0.0	87.20616929	43.60308465	9.95686154										
					95.73079303	0.0	86.73362899	43.36681449	9.95686154										
					95.43046898	0.0	86.43330494	43.21665247	9.95686154										
										57.03866297	0.0	50.59715622	25.29857811	7.1286008					
										56.47558934	0.0	50.0340826	25.0170413	7.1286008					
										56.11566544	0.0	49.6741587	24.83707935	7.1286008					
										55.91233304	0.0	49.4708263	24.73541315	7.1286008					
															40.29543818	0.0	35.05144181	17.5257209	5.80335598
															39.79549925	0.0	34.55150288	17.27575144	5.80335598
															39.54577635	0.0	34.30177998	17.15088999	5.80335598
															39.40368309	0.0	34.15968672	17.07984336	5.80335598
139.79714829	0.0	127.47235679	63.7361784	13.63943592															
138.08255255	0.0	125.75776106	62.87888053	13.63943592															
137.59081721	0.0	125.26602572	62.63301286	13.63943592															
137.14671086	0.0	124.82191936	62.41095968	13.63943592															
					86.79248199	0.0	77.80318325	38.90159163	9.94815727										
					85.96317943	0.0	76.97388069	38.48694034	9.94815727										
					85.53209139	0.0	76.54279265	38.27139633	9.94815727										
					85.27853614	0.0	76.2892374	38.1446187	9.94815727										
										50.78893307	0.0	44.35259245	22.17629622	7.12288363					
										50.23718844	0.0	43.80084781	21.90042391	7.12288363					
										49.9553961	0.0	43.51905547	21.75952773	7.12288363					
										49.79444347	0.0	43.35810284	21.67905142	7.12288363					
															36.72296669	0.0	31.47485238	15.73742619	5.80791316
															36.25945946	0.0	31.01134516	15.50567258	5.80791316
															36.02936958	0.0	30.78125528	15.39062764	5.80791316
															35.88624437	0.0	30.63813007	15.31906503	5.80791316
158.08686224	0.0	145.75930816	72.87965408	13.64249319															
155.61153153	0.0	143.28397745	71.64198872	13.64249319															
155.18612483	0.0	142.85857075	71.42928537	13.64249319															
154.57303589	0.0	142.24548181	71.1227409	13.64249319															
					96.85394658	0.0	87.86161303	43.93080652	9.95151579										
					95.77944444	0.0	86.7871109	43.39355545	9.95151579										
					95.33206943	0.0	86.33973588	43.16986794	9.95151579										
					94.97185811	0.0	85.97952456	42.98976228	9.95151579										
										55.23091987	0.0	48.79656983	24.39828491	7.12068071					
										54.65192192	0.0	48.21757188	24.10878594	7.12068071					
										54.36430037	0.0	47.92995033	23.96497516	7.12068071					
										54.16298712	0.0	47.72863708	23.86431854	7.12068071					
															39.35227341	0.0	34.11563897	17.05781948	5.79520878
															38.84805556	0.0	33.61142112	16.80571056	5.79520878
															38.65467707	0.0	33.41804263	16.70902131	5.79520878
															38.49623686	0.0	33.25960242	16.62980121	5.79520878
