Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
105.32064076	0.0	93.00073277	46.50036639	13.6340315															
104.86561186	0.0	92.54570388	46.27285194	13.6340315															
104.50906521	0.0	92.18915723	46.09457861	13.6340315															
104.23497186	0.0	91.91506388	45.95753194	13.6340315															
					64.31402311	0.0	55.3384075	27.66920375	9.93301461										
					64.17358108	0.0	55.19796547	27.59898274	9.93301461										
					63.99217145	0.0	55.01655584	27.50827792	9.93301461										
					63.87435405	0.0	54.89873844	27.44936922	9.93301461										
										38.30521459	0.0	31.87772879	15.93886439	7.11308428					
										38.3751539	0.0	31.94766811	15.97383405	7.11308428					
										38.3660247	0.0	31.9385389	15.96926945	7.11308428					
										38.28749062	0.0	31.86000482	15.93000241	7.11308428					
															28.20421669	0.0	22.97293308	11.48646654	5.78928719
															28.35909535	0.0	23.12781174	11.56390587	5.78928719
															28.36313876	0.0	23.13185515	11.56592758	5.78928719
															28.34032016	0.0	23.10903655	11.55451828	5.78928719
110.95	0.0	98.64290997	49.32145499	13.6198463															
110.35518018	0.0	98.04809015	49.02404508	13.6198463															
109.9639443	0.0	97.65685427	48.82842713	13.6198463															
109.70924212	0.0	97.40215209	48.70107605	13.6198463															
					67.87216387	0.0	58.8970156	29.4485078	9.93249742										
					67.68811186	0.0	58.71296359	29.3564818	9.93249742										
					67.53264927	0.0	58.557501	29.2787505	9.93249742										
					67.41519822	0.0	58.44004996	29.22002498	9.93249742										
										40.12283914	0.0	33.70895367	16.85447683	7.09803325					
										40.17804805	0.0	33.76416258	16.88208129	7.09803325					
										40.09344146	0.0	33.67955599	16.839778	7.09803325					
										40.04474175	0.0	33.63085628	16.81542814	7.09803325					
															29.38268307	0.0	24.14886273	12.07443136	5.79209452
															29.50092718	0.0	24.26710683	12.13355342	5.79209452
															29.4815969	0.0	24.24777655	12.12388828	5.79209452
															29.46625625	0.0	24.23243591	12.11621795	5.79209452
116.17846639	0.0	103.89032425	51.94516212	13.5988773															
115.57468468	0.0	103.28654254	51.64327127	13.5988773															
