Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
15.90755543	0.0	2.19663177	1.09831588	13.71092366															
15.92002375	0.0	2.20910008	1.10455004	13.71092366															
15.84114009	0.0	2.13021642	1.06510821	13.71092366															
15.84210781	0.0	2.13118414	1.06559207	13.71092366															
					11.49088243	0.0	1.49850551	0.74925275	9.99237692										
					11.2848272	0.0	1.29245028	0.64622514	9.99237692										
					11.25439553	0.0	1.2620186	0.6310093	9.99237692										
					11.2944784	0.0	1.30210148	0.65105074	9.99237692										
										7.88892826	0.0	0.74834854	0.37417427	7.14057971					
										7.82000967	0.0	0.67942995	0.33971498	7.14057971					
										7.82410194	0.0	0.68352222	0.34176111	7.14057971					
										7.84174695	0.0	0.70116723	0.35058362	7.14057971					
															6.39517741	0.0	0.56923808	0.28461904	5.82593933
															6.35485175	0.0	0.52891242	0.26445621	5.82593933
															6.3212257	0.0	0.49528637	0.24764319	5.82593933
															6.33234957	0.0	0.50641025	0.25320512	5.82593933
15.58965729	0.0	1.896725	0.9483625	13.69293229															
15.42469755	0.0	1.73176525	0.86588263	13.69293229															
