Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
22.17465207	0.0	10.13241409	5.06620705	13.74457855															
22.25092826	0.0	10.20869028	5.10434514	13.74457855															
22.19291339	0.0	10.15067541	5.07533771	13.74457855															
22.1529087	0.0	10.11067072	5.05533536	13.74457855															
					14.72587276	0.0	5.95182618	2.97591309	10.01438211										
					14.72784388	0.0	5.9537973	2.97689865	10.01438211										
					14.69483817	0.0	5.92079159	2.96039579	10.01438211										
					14.6837476	0.0	5.90970102	2.95485051	10.01438211										
										9.81786215	0.0	3.54854877	1.77427439	7.15556945					
										9.77622396	0.0	3.50691058	1.75345529	7.15556945					
										9.75811621	0.0	3.48880284	1.74440142	7.15556945					
										9.75410867	0.0	3.48479529	1.74239765	7.15556945					
															7.70039604	0.0	2.59106513	1.29553256	5.83160706
															7.7145901	0.0	2.60525919	1.30262959	5.83160706
															7.67779022	0.0	2.56845931	1.28422966	5.83160706
															7.68434569	0.0	2.57501479	1.28750739	5.83160706
22.14877004	0.0	10.11626113	5.05813056	13.73347414															
22.15323354	0.0	10.12072463	5.06036231	13.73347414															
22.10544065	0.0	10.07293174	5.03646587	13.73347414															
22.07761366	0.0	10.04510475	5.02255237	13.73347414															
					14.78579364	0.0	6.02659179	3.0132959	9.99743885										
					14.80489575	0.0	6.04569391	3.02284695	9.99743885										
					14.74761115	0.0	5.9884093	2.99420465	9.99743885										
					14.72739052	0.0	5.96818868	2.98409434	9.99743885										
										9.8787435	0.0	3.61606975	1.80803488	7.14799122					
										9.87679688	0.0	3.61412313	1.80706157	7.14799122					
										9.83679508	0.0	3.57412133	1.78706066	7.14799122					
										9.82436645	0.0	3.5616927	1.78084635	7.14799122					
															7.79530895	0.0	2.6915324	1.3457662	5.82526752
															7.76115494	0.0	2.65737839	1.32868919	5.82526752
															7.75390835	0.0	2.6501318	1.3250659	5.82526752
															7.75352614	0.0	2.64974959	1.3248748	5.82526752
22.42825525	0.0	10.41344872	5.20672436	13.71326928															
22.47751883	0.0	10.4627123	5.23135615	13.71326928															
22.41247633	0.0	10.3976698	5.1988349	13.71326928															
22.38766364	0.0	10.37285711	5.18642855	13.71326928															
					14.91054752	0.0	6.15585383	3.07792691	9.9922934										
