Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
28.78286892	0.03494347	18.81582177	9.39043915	13.5617199															
28.8210239	0.07105461	18.85397674	9.39146107	13.5617199															
28.76295781	-0.00283011	18.79591066	9.39937038	13.5617199															
28.71334114	0.02131184	18.74629399	9.36249108	13.5617199															
					19.03765199	0.13346878	11.77643387	5.82148255	9.8800181										
					19.06998747	0.03964389	11.80876936	5.88456273	9.8800181										
					19.0200993	0.02185087	11.75888118	5.86851516	9.8800181										
					19.00373026	0.02634022	11.74251214	5.85808596	9.8800181										
										12.49893417	0.1229886	7.30404184	3.59052662	7.06846006					
										12.57090812	0.03743126	7.37601578	3.66929226	7.06846006					
										12.53528214	0.01662026	7.34038981	3.66188477	7.06846006					
										12.52322062	0.01014835	7.32832829	3.65908997	7.06846006					
															9.80963115	0.07715316	5.57561151	2.74922918	5.76104312
															9.84426924	0.03501388	5.6102496	2.78761786	5.76104312
															9.84896105	0.01688902	5.61494141	2.7990262	5.76104312
															9.83289927	0.03227382	5.59887963	2.78330291	5.76104312
28.61196638	0.11296048	18.63970846	9.26337399	13.56880995															
28.69578747	0.04165787	18.72352956	9.34093585	13.56880995															
28.61862033	0.02185087	18.64636241	9.31225577	13.56880995															
28.57515385	0.02613871	18.60289594	9.28837861	13.56880995															
					19.2998409	0.0723406	12.0340067	5.98083305	9.886299										
					19.30878597	0.06441062	12.04295176	5.98927057	9.886299										
					19.27845547	0.01970487	12.01262127	5.9964582	9.886299										
					19.24259044	0.01396924	11.97675623	5.98139349	9.886299										
										12.58669141	0.09284891	7.38904217	3.64809663	7.07221127					
										12.59527144	0.07729825	7.3976222	3.66016197	7.07221127					
										12.56130691	0.03566749	7.36365766	3.66399509	7.07221127					
										12.55610811	0.0284514	7.35845886	3.66500373	7.07221127					
															9.89362748	0.08641565	5.66449268	2.78903852	5.75439652
															9.90648557	0.04185957	5.67735078	2.8177456	5.75439652
															9.88813054	0.03191302	5.65899575	2.81354137	5.75439652
															9.88781301	0.0328768	5.65867822	2.81290071	5.75439652
30.23334931	0.08802702	20.26289496	10.08743397	13.56635592															
30.23729965	0.05575266	20.2668453	10.10554632	13.56635592															
30.17909439	0.02936389	20.20864004	10.08963808	13.56635592															
30.12256937	0.03237457	20.15211502	10.05987022	13.56635592															
					19.96820598	0.06509474	12.69511476	6.31501001	9.89617331										
					20.00141713	0.01649078	12.72832591	6.35591756	9.89617331										
					19.94379933	0.06196101	12.67070811	6.30437355	9.89617331										
					19.92487758	0.01668493	12.65178635	6.31755071	9.89617331										
										12.81308845	0.11054343	7.61831547	3.75388602	7.06829767					
										12.84051222	0.0666263	7.64573924	3.78955647	7.06829767					
										12.84045521	0.02413124	7.64568222	3.81077549	7.06829767					
										12.81055718	0.02211632	7.6157842	3.79683394	7.06829767					
															10.09147769	0.10974385	5.860779	2.87551758	5.75652444
															10.07742921	0.0519264	5.84673053	2.89740206	5.75652444
															10.07512323	0.03499763	5.84442455	2.90471346	5.75652444
															10.0615012	0.03348131	5.83080252	2.89866061	5.75652444
31.89977727	0.0634964	21.94461731	10.94056046	13.54554551															
31.8780774	0.03964389	21.92291745	10.94163678	13.54554551															
31.77551692	0.04090013	21.82035697	10.88972842	13.54554551															
31.74571739	0.01929987	21.79055744	10.88562878	13.54554551															
					20.74147709	0.05304082	13.48372417	6.71534167	9.87530314										
					20.79210671	0.01508191	13.5343538	6.75963594	9.87530314										
					20.7435529	0.02748665	13.48579999	6.72915667	9.87530314										
					20.71678764	0.02372528	13.45903473	6.71765473	9.87530314										
										13.29202451	0.06228787	8.1014691	4.01959061	7.06255901					
										13.31528843	0.02937535	8.12473301	4.04767883	7.06255901					
										13.25629359	0.02694913	8.06573817	4.01939452	7.06255901					
										13.24613779	0.02382603	8.05558237	4.01587817	7.06255901					
															10.35446618	0.06872113	6.12979233	3.0305356	5.74832671
															10.34703026	0.04951207	6.12235641	3.03642217	5.74832671
