Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
160.93253282	-0.00104373	150.96548567	75.4832647	13.5617199															
151.9000485	0.03088813	141.93300134	70.95105661	13.5617199															
152.79788808	-0.00330043	142.83084093	71.41707068	13.5617199															
153.24526094	0.00788451	143.27821378	71.63516464	13.5617199															
					105.46777927	0.08420612	98.20656115	49.06117751	9.8800181										
					104.13023031	0.02605336	96.86901219	48.42147942	9.8800181										
					104.38661242	0.01614993	97.1253943	48.55462218	9.8800181										
					104.31742655	-0.00337973	97.05620843	48.52979408	9.8800181										
										63.64057855	0.08139234	58.44568621	29.18214694	7.06846006					
										63.89828848	0.04316759	58.70339614	29.33011428	7.06846006					
										63.8576016	0.01266218	58.66270927	29.32502354	7.06846006					
										63.79538759	0.00929349	58.60049525	29.29560088	7.06846006					
															45.49178131	0.04398639	41.25776167	20.60688764	5.76104312
															46.0623255	0.03128848	41.82830586	20.89850869	5.76104312
															46.12291035	0.01467583	41.88889071	20.93710744	5.76104312
															46.12302202	0.01381812	41.88900238	20.93759213	5.76104312
190.43655553	0.03554773	180.46429762	90.21437494	13.56880995															
181.56693397	0.02404243	171.59467605	85.78531681	13.56880995															
182.15226085	0.03318758	172.18000293	86.07340767	13.56880995															
182.29891369	0.01321514	172.32665577	86.15672032	13.56880995															
					123.77455322	0.07976501	116.50871901	58.214477	9.886299										
					121.11880977	0.04135531	113.85297556	56.90581013	9.886299										
					121.16516736	0.01521132	113.89933315	56.94206092	9.886299										
					121.10802765	0.01492485	113.84219344	56.9136343	9.886299										
										68.73959015	0.02106984	63.54194091	31.76043553	7.07221127					
										68.976077	0.01739539	63.77842776	31.88051618	7.07221127					
										68.94764032	0.02513909	63.74999107	31.86242599	7.07221127					
										68.82326832	0.01341664	63.62561907	31.80610121	7.07221127					
															46.12139456	0.04559134	41.89225977	20.92333421	5.75439652
															46.6484481	0.01719369	42.4193133	21.20105981	5.75439652
															46.71353735	0.02406609	42.48440256	21.23016823	5.75439652
															46.7032288	0.01090245	42.47409401	21.23159578	5.75439652
196.87388663	0.00337533	186.90343228	93.45002848	13.56635592															
189.5128227	0.04276723	179.54236835	89.74980056	13.56635592															
190.39621132	0.02688194	180.42575696	90.19943751	13.56635592															
190.44856101	0.00516882	180.47810666	90.23646892	13.56635592															
					126.19924024	0.08621423	118.92614902	59.4199674	9.89617331										
					124.50408667	0.0514252	117.23099545	58.58978512	9.89617331										
					124.53633969	0.01145481	117.26324846	58.62589683	9.89617331										
					124.48796346	0.00939424	117.21487224	58.602739	9.89617331										
										71.64498219	0.0898337	66.45020921	33.18018775	7.06829767					
										71.81870451	0.04095496	66.62393153	33.29148828	7.06829767					
										71.83975701	0.02165134	66.64498403	33.31166635	7.06829767					
										71.74865796	0.01049945	66.55388497	33.27169276	7.06829767					
															47.21818627	0.0480079	42.98748759	21.46973984	5.75652444
															47.72283657	0.03370586	43.49213789	21.72921601	5.75652444
															47.81578455	0.00394383	43.58508586	21.79057102	5.75652444
															47.77896136	0.0061748	43.54826268	21.77104394	5.75652444
199.48211577	0.06128687	189.52695581	94.73283447	13.54554551															
191.14114374	0.00451082	181.18598378	90.59073648	13.54554551															
191.52813798	0.01373518	181.57297803	90.77962142	13.54554551															
191.68617865	0.00969497	181.7310187	90.86066186	13.54554551															
					131.09478627	0.10592295	123.83703336	61.8655552	9.87530314										
					129.37089038	0.00310195	122.11313747	61.05501776	9.87530314										
					129.35318351	0.02191806	122.0954306	61.03675627	9.87530314										
					129.18474059	0.01049945	121.92698768	60.95824411	9.87530314										
										72.45246008	0.05445077	67.26190466	33.60372694	7.06255901					
										72.57919359	0.02565301	67.38863817	33.68149258	7.06255901					
										72.60423605	0.00421258	67.41368063	33.70473402	7.06255901					
										72.55163991	0.0103987	67.3610845	33.6753429	7.06255901					
															46.97590224	0.10994527	42.75122839	21.32064156	5.74832671
															47.47960977	0.05867124	43.25493592	21.59813234	5.74832671
															47.51208558	0.01977206	43.28741173	21.63381984	5.74832671
															47.51143606	0.0067793	43.28676221	21.63999146	5.74832671
196.74600881	0.04077857	186.79281767	93.37601955	13.54286662															
189.33543372	0.05202725	179.38224258	89.66510767	13.54286662															
190.11262647	0.02205244	180.15943534	90.06869145	13.54286662															
190.1954049	0.01391887	180.24221377	90.11414745	13.54286662															
					124.99727046	0.10069212	117.74177525	58.82054157	9.87223119										
					123.96688938	0.02847074	116.71139417	58.34146171	9.87223119										
					123.93684977	0.0201752	116.68135456	58.33058968	9.87223119										
					123.90563176	0.02287042	116.65013655	58.31363306	9.87223119										
										71.40490684	0.09023654	66.22365787	33.06671067	7.04989614					
										71.71984233	0.03571984	66.53859337	33.25143676	7.04989614					
										71.73203989	0.02433281	66.55079092	33.26322905	7.04989614					
										71.62927748	0.01351739	66.44802851	33.21725556	7.04989614					
															47.03702431	0.0645035	42.81021615	21.37285632	5.75123078
															47.49752776	0.05222896	43.27071959	21.60924532	5.75123078
															47.53341522	0.0195033	43.30660706	21.64355188	5.75123078
															47.49564567	0.02709432	43.26883751	21.62087159	5.75123078
