Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
43.486496	0.0	29.88052299	14.9402615	13.60597301															
43.10600015	0.0	29.50002714	14.75001357	13.60597301															
42.85620837	0.0	29.25023536	14.62511768	13.60597301															
42.76407464	0.0	29.15810163	14.57905081	13.60597301															
					27.16466803	0.0	17.23595583	8.61797792	9.9287122										
					26.9473541	0.0	17.0186419	8.50932095	9.9287122										
					26.87621671	0.0	16.94750451	8.47375225	9.9287122										
					26.79826896	0.0	16.86955676	8.43477838	9.9287122										
										16.27561262	0.0	9.18131972	4.59065986	7.0942929					
										16.27208353	0.0	9.17779063	4.58889532	7.0942929					
										16.24855397	0.0	9.15426107	4.57713054	7.0942929					
										16.14679675	0.0	9.05250385	4.52625192	7.0942929					
															12.3299829	0.0	6.54899013	3.27449506	5.78099277
															12.2852504	0.0	6.50425763	3.25212881	5.78099277
															12.28976681	0.0	6.50877404	3.25438702	5.78099277
															12.22705843	0.0	6.44606566	3.22303283	5.78099277
44.7160134	0.0	31.12221004	15.56110502	13.59380336															
44.45228258	0.0	30.85847922	15.42923961	13.59380336															
44.24426571	0.0	30.65046235	15.32523118	13.59380336															
44.11597606	0.0	30.5221727	15.26108635	13.59380336															
					27.91124465	0.0	17.98656539	8.99328269	9.92467926										
					27.85819394	0.0	17.93351468	8.96675734	9.92467926										
					27.67731344	0.0	17.75263418	8.87631709	9.92467926										
					27.58514342	0.0	17.66046416	8.83023208	9.92467926										
										16.51462573	0.0	9.43591874	4.71795937	7.07870699					
										16.58108198	0.0	9.502375	4.7511875	7.07870699					
										16.50956654	0.0	9.43085956	4.71542978	7.07870699					
										16.43156481	0.0	9.35285782	4.67642891	7.07870699					
															12.52852541	0.0	6.74496913	3.37248456	5.78355628
															12.4579469	0.0	6.67439062	3.33719531	5.78355628
															12.43404506	0.0	6.65048878	3.32524439	5.78355628
															12.43399997	0.0	6.6504437	3.32522185	5.78355628
