Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
58.24571074	0.0	44.64683344	22.32341672	13.5988773															
58.5246044	0.0	44.9257271	22.46286355	13.5988773															
58.44935027	0.0	44.85047297	22.42523648	13.5988773															
58.3819488	0.0	44.7830715	22.39153575	13.5988773															
					33.78375615	0.0	23.8616422	11.9308211	9.92211395										
					33.68586987	0.0	23.76375592	11.88187796	9.92211395										
					33.71946704	0.0	23.7973531	11.89867655	9.92211395										
					33.69960685	0.0	23.77749291	11.88874645	9.92211395										
										18.62144599	0.0	11.52274608	5.76137304	7.09869991					
										18.62691151	0.0	11.5282116	5.7641058	7.09869991					
										18.60861384	0.0	11.50991393	5.75495696	7.09869991					
										18.64666001	0.0	11.54796009	5.77398005	7.09869991					
															13.60982496	0.0	7.82315925	3.91157963	5.78666571
															13.54558754	0.0	7.75892183	3.87946091	5.78666571
															13.54996041	0.0	7.76329469	3.88164735	5.78666571
															13.56418469	0.0	7.77751898	3.88875949	5.78666571
57.2934854	0.0	43.69093276	21.84546638	13.60255264															
57.57298323	0.0	43.9704306	21.9852153	13.60255264															
57.48427455	0.0	43.88172191	21.94086096	13.60255264															
57.42683429	0.0	43.82428165	21.91214083	13.60255264															
					33.74437307	0.0	23.8289864	11.9144932	9.91538667										
					33.78713569	0.0	23.87174901	11.93587451	9.91538667										
					33.80519403	0.0	23.88980736	11.94490368	9.91538667										
					33.80109397	0.0	23.8857073	11.94285365	9.91538667										
										18.63566673	0.0	11.54386253	5.77193127	7.0918042					
										18.78346081	0.0	11.69165661	5.84582831	7.0918042					
										18.71166895	0.0	11.61986475	5.80993237	7.0918042					
										18.69589947	0.0	11.60409527	5.80204764	7.0918042					
															13.71866803	0.0	7.9356479	3.96782395	5.78302013
															13.65287688	0.0	7.86985674	3.93492837	5.78302013
															13.68585007	0.0	7.90282993	3.95141497	5.78302013
															13.62997434	0.0	7.8469542	3.9234771	5.78302013
