Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
246.4749836	0.0	232.89094731	116.44547365	13.58403629															
240.75082608	0.0	227.16678979	113.58339489	13.58403629															
242.26813799	0.0	228.6841017	114.34205085	13.58403629															
242.41688759	0.0	228.8328513	114.41642565	13.58403629															
					142.50210062	0.0	132.60192779	66.30096389	9.90017283										
					144.62034239	0.0	134.72016956	67.36008478	9.90017283										
					145.26116818	0.0	135.36099535	67.68049767	9.90017283										
					145.42001091	0.0	135.51983807	67.75991904	9.90017283										
										73.63167594	0.0	66.54871243	33.27435621	7.08296351					
										76.77124049	0.0	69.68827698	34.84413849	7.08296351					
										77.55716841	0.0	70.47420491	35.23710245	7.08296351					
										77.88077881	0.0	70.79781531	35.39890765	7.08296351					
															50.78592178	0.0	45.02193958	22.51096979	5.7639822
															54.09736862	0.0	48.33338642	24.16669321	5.7639822
															54.95839463	0.0	49.19441243	24.59720621	5.7639822
															55.38830405	0.0	49.62432185	24.81216092	5.7639822
246.82174395	0.0	233.23035708	116.61517854	13.59138687															
238.17372177	0.0	224.5823349	112.29116745	13.59138687															
240.14586288	0.0	226.55447601	113.277238	13.59138687															
240.49467154	0.0	226.90328467	113.45164233	13.59138687															
					140.86783577	0.0	130.96793549	65.48396774	9.89990028										
					142.81151151	0.0	132.91161123	66.45580562	9.89990028										
					143.488044	0.0	133.58814372	66.79407186	9.89990028										
					143.73393379	0.0	133.83403351	66.91701676	9.89990028										
										73.89913053	0.0	66.8215273	33.41076365	7.07760323					
										76.82214965	0.0	69.74454642	34.87227321	7.07760323					
										77.61863769	0.0	70.54103446	35.27051723	7.07760323					
										77.93453159	0.0	70.85692836	35.42846418	7.07760323					
															51.84042358	0.0	46.07667195	23.03833598	5.76375163
															54.77885761	0.0	49.01510598	24.50755299	5.76375163
															55.68580464	0.0	49.922053	24.9610265	5.76375163
															56.15918057	0.0	50.39542893	25.19771447	5.76375163
