Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
51.53632547	0.0	38.04853858	19.02426929	13.48778689															
55.32842728	0.0	41.84064039	20.92032019	13.48778689															
56.45188245	0.0	42.96409556	21.48204778	13.48778689															
57.01773024	0.0	43.52994335	21.76497168	13.48778689															
					26.89605951	0.0	17.07080952	8.53540476	9.82524999										
					30.46396607	0.0	20.63871607	10.31935804	9.82524999										
					31.59942335	0.0	21.77417336	10.88708668	9.82524999										
					32.21570678	0.0	22.39045679	11.19522839	9.82524999										
										11.57787738	0.0	4.55522459	2.27761229	7.02265279					
										15.12091757	0.0	8.09826478	4.04913239	7.02265279					
										16.42947625	0.0	9.40682346	4.70341173	7.02265279					
										17.02694137	0.0	10.00428858	5.00214429	7.02265279					
															6.15659432	0.0	0.42664856	0.21332428	5.72994576
															9.88441517	0.0	4.15446941	2.0772347	5.72994576
															11.17364937	0.0	5.44370361	2.7218518	5.72994576
															11.73176336	0.0	6.00181761	3.0009088	5.72994576
53.50366953	0.0	40.01588264	20.00794132	13.48778689															
57.28859815	0.0	43.80081126	21.90040563	13.48778689															
58.35084383	0.0	44.86305694	22.43152847	13.48778689															
58.94828243	0.0	45.46049554	22.73024777	13.48778689															
					27.31775065	0.0	17.49250066	8.74625033	9.82524999										
					31.11671662	0.0	21.29146662	10.64573331	9.82524999										
					32.21483873	0.0	22.38958873	11.19479437	9.82524999										
					32.8310758	0.0	23.00582581	11.5029129	9.82524999										
										11.84587988	0.0	4.82322709	2.41161354	7.02265279					
										15.51147452	0.0	8.48882174	4.24441087	7.02265279					
										16.73864156	0.0	9.71598877	4.85799439	7.02265279					
										17.30477302	0.0	10.28212024	5.14106012	7.02265279					
															6.5460169	0.0	0.81607115	0.40803557	5.72994576
															10.09433288	0.0	4.36438712	2.18219356	5.72994576
															11.31172615	0.0	5.58178039	2.7908902	5.72994576
															11.92403008	0.0	6.19408432	3.09704216	5.72994576
