Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
37.47008352	0.0	23.98331517	11.99165758	13.48676835															
40.63017828	0.0	27.14340993	13.57170496	13.48676835															
41.70434113	0.0	28.21757278	14.10878639	13.48676835															
42.18198126	0.0	28.69521291	14.34760645	13.48676835															
					20.06093729	0.0	10.23597734	5.11798867	9.82495995										
					23.53523574	0.0	13.71027579	6.85513789	9.82495995										
					24.69671091	0.0	14.87175096	7.43587548	9.82495995										
					25.23945671	0.0	15.41449676	7.70724838	9.82495995										
										8.77370934	0.0	1.73186545	0.86593272	7.0418439					
										12.50690776	0.0	5.46506386	2.73253193	7.0418439					
										13.69075587	0.0	6.64891198	3.32445599	7.0418439					
										14.22876806	0.0	7.18692416	3.59346208	7.0418439					
															4.7865132	0.0	-0.93845898	-0.46922949	5.72497218
															8.40977352	0.0	2.68480134	1.34240067	5.72497218
															9.65736838	0.0	3.9323962	1.9661981	5.72497218
															10.1956797	0.0	4.47070752	2.23535376	5.72497218
37.38256741	0.0	23.89579906	11.94789953	13.48676835															
40.687651	0.0	27.20088265	13.60044133	13.48676835															
41.70762458	0.0	28.22085623	14.11042812	13.48676835															
42.2228976	0.0	28.73612925	14.36806462	13.48676835															
					20.0614852	0.0	10.23652525	5.11826262	9.82495995										
					23.61953183	0.0	13.79457188	6.89728594	9.82495995										
					24.72188222	0.0	14.89692227	7.44846114	9.82495995										
					25.28256229	0.0	15.45760234	7.72880117	9.82495995										
										9.18117974	0.0	2.13933584	1.06966792	7.0418439					
										12.62267988	0.0	5.58083598	2.79041799	7.0418439					
										13.73854316	0.0	6.69669927	3.34834963	7.0418439					
										14.31471049	0.0	7.27286659	3.6364333	7.0418439					
															4.81495469	0.0	-0.91001749	-0.45500874	5.72497218
															8.5545541	0.0	2.82958192	1.41479096	5.72497218
															9.69913692	0.0	3.97416474	1.98708237	5.72497218
															10.26287107	0.0	4.53789889	2.26894945	5.72497218
