Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
51.73759922	0.0	38.23516682	19.11758341	13.5024324															
55.07690571	0.0	41.57447331	20.78723665	13.5024324															
56.06811404	0.0	42.56568165	21.28284082	13.5024324															
56.51698779	0.0	43.0145554	21.5072777	13.5024324															
					27.70006701	0.0	17.85864376	8.92932188	9.84142326										
					31.17364515	0.0	21.33222189	10.66611095	9.84142326										
					32.29783042	0.0	22.45640717	11.22820358	9.84142326										
					32.83531719	0.0	22.99389394	11.49694697	9.84142326										
										12.64659992	0.0	5.61273362	2.80636681	7.0338663					
										16.38947162	0.0	9.35560532	4.67780266	7.0338663					
										17.47717545	0.0	10.44330915	5.22165458	7.0338663					
										18.07945215	0.0	11.04558585	5.52279293	7.0338663					
															7.21383567	0.0	1.49150303	0.74575151	5.72233264
															11.10780526	0.0	5.38547261	2.69273631	5.72233264
															12.23229249	0.0	6.50995985	3.25497993	5.72233264
															12.83938756	0.0	7.11705492	3.55852746	5.72233264
54.83875915	0.0	41.33632676	20.66816338	13.5024324															
58.32807137	0.0	44.82563898	22.41281949	13.5024324															
59.18696224	0.0	45.68452985	22.84226492	13.5024324															
59.67342743	0.0	46.17099503	23.08549752	13.5024324															
					29.63788208	0.0	19.79645882	9.89822941	9.84142326										
					33.11027442	0.0	23.26885117	11.63442558	9.84142326										
					34.14699456	0.0	24.30557131	12.15278565	9.84142326										
					34.67177943	0.0	24.83035617	12.41517809	9.84142326										
										13.52717363	0.0	6.49330734	3.24665367	7.0338663					
										17.10817768	0.0	10.07431138	5.03715569	7.0338663					
										18.31693999	0.0	11.28307369	5.64153685	7.0338663					
										18.83825826	0.0	11.80439196	5.90219598	7.0338663					
															8.01182446	0.0	2.28949182	1.14474591	5.72233264
															11.56240681	0.0	5.84007417	2.92003708	5.72233264
															12.73607869	0.0	7.01374604	3.50687302	5.72233264
															13.33832225	0.0	7.61598961	3.8079948	5.72233264
