Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
49.3020083	0.0	35.54119785	17.77059893	13.76081045															
48.75079359	0.0	34.98998314	17.49499157	13.76081045															
48.50944967	0.0	34.74863921	17.37431961	13.76081045															
48.39473481	0.0	34.63392436	17.31696218	13.76081045															
					30.40359084	0.0	20.37675599	10.18837799	10.02683485										
					30.16697312	0.0	20.14013827	10.07006914	10.02683485										
					30.05392902	0.0	20.02709417	10.01354708	10.02683485										
					29.94737989	0.0	19.92054504	9.96027252	10.02683485										
										17.87065726	0.0	10.70103231	5.35051615	7.16962496					
										17.84874705	0.0	10.67912209	5.33956105	7.16962496					
										17.69821624	0.0	10.52859129	5.26429564	7.16962496					
										17.61314392	0.0	10.44351897	5.22175948	7.16962496					
															13.42751681	0.0	7.57835823	3.78917912	5.84915857
															13.27019204	0.0	7.42103347	3.71051673	5.84915857
															13.1542957	0.0	7.30513712	3.65256856	5.84915857
															13.09664847	0.0	7.2474899	3.62374495	5.84915857
49.61109114	0.0	35.8503166	17.9251583	13.76077454															
49.21195871	0.0	35.45118417	17.72559209	13.76077454															
48.89266991	0.0	35.13189537	17.56594769	13.76077454															
48.77995368	0.0	35.01917914	17.50958957	13.76077454															
					30.59615316	0.0	20.57637868	10.28818934	10.01977448										
					30.44120961	0.0	20.42143513	10.21071756	10.01977448										
					30.19583466	0.0	20.17606018	10.08803009	10.01977448										
					30.11452171	0.0	20.09474723	10.04737362	10.01977448										
										18.09659064	0.0	10.92499175	5.46249588	7.17159889					
										17.76472513	0.0	10.59312624	5.29656312	7.17159889					
										17.67341037	0.0	10.50181149	5.25090574	7.17159889					
										17.58223379	0.0	10.41063491	5.20531745	7.17159889					
															13.47947899	0.0	7.64025903	3.82012952	5.83921996
															13.2830533	0.0	7.44383334	3.72191667	5.83921996
															13.11672145	0.0	7.27750149	3.63875074	5.83921996
															13.08502266	0.0	7.2458027	3.62290135	5.83921996
