Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
67.55505151	0.0	53.79611987	26.89805993	13.75893164															
67.47119019	0.0	53.71225855	26.85612927	13.75893164															
67.36134376	0.0	53.60241212	26.80120606	13.75893164															
67.2981418	0.0	53.53921015	26.76960508	13.75893164															
					38.14929216	0.0	28.13603533	14.06801767	10.01325683										
					38.22603634	0.0	28.21277951	14.10638975	10.01325683										
					38.05231067	0.0	28.03905385	14.01952692	10.01325683										
					37.97767141	0.0	27.96441458	13.98220729	10.01325683										
										20.3540108	0.0	13.19902554	6.59951277	7.15498526					
										20.50982342	0.0	13.35483816	6.67741908	7.15498526					
										20.42927338	0.0	13.27428812	6.63714406	7.15498526					
										20.43442976	0.0	13.27944451	6.63972225	7.15498526					
															14.69754171	0.0	8.85733959	4.4286698	5.84020212
															14.71307518	0.0	8.87287306	4.43643653	5.84020212
															14.54106845	0.0	8.70086633	4.35043316	5.84020212
															14.60816193	0.0	8.76795981	4.38397991	5.84020212
66.56892218	0.0	52.80999054	26.40499527	13.75893164															
66.6684539	0.0	52.90952226	26.45476113	13.75893164															
66.60548175	0.0	52.84655011	26.42327506	13.75893164															
66.49101973	0.0	52.73208809	26.36604405	13.75893164															
					38.13342769	0.0	28.12017086	14.06008543	10.01325683										
					38.09384284	0.0	28.08058602	14.04029301	10.01325683										
					38.05851214	0.0	28.04525531	14.02262766	10.01325683										
					38.03115015	0.0	28.01789332	14.00894666	10.01325683										
										20.46503721	0.0	13.31005195	6.65502597	7.15498526					
										20.57249715	0.0	13.41751189	6.70875594	7.15498526					
										20.5186465	0.0	13.36366124	6.68183062	7.15498526					
										20.45002081	0.0	13.29503555	6.64751778	7.15498526					
															14.55643009	0.0	8.71622797	4.35811398	5.84020212
															14.58225255	0.0	8.74205043	4.37102522	5.84020212
															14.63317962	0.0	8.7929775	4.39648875	5.84020212
															14.59434797	0.0	8.75414586	4.37707293	5.84020212
