Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
63.21303411	0.0	49.52010182	24.76005091	13.69293229															
63.16118879	0.0	49.4682565	24.73412825	13.69293229															
63.00076518	0.0	49.30783289	24.65391644	13.69293229															
62.84293514	0.0	49.15000285	24.57500143	13.69293229															
					35.77844589	0.0	25.80654505	12.90327252	9.97190084										
					35.70542853	0.0	25.73352769	12.86676384	9.97190084										
					35.53762108	0.0	25.56572024	12.78286012	9.97190084										
					35.52954095	0.0	25.55764011	12.77882005	9.97190084										
										19.45170334	0.0	12.32049116	6.16024558	7.13121218					
										19.37326346	0.0	12.24205129	6.12102564	7.13121218					
										19.36502402	0.0	12.23381184	6.11690592	7.13121218					
										19.31919045	0.0	12.18797827	6.09398913	7.13121218					
															14.01674745	0.0	8.20253073	4.10126536	5.81421672
															13.97884089	0.0	8.16462417	4.08231209	5.81421672
															13.89341928	0.0	8.07920256	4.03960128	5.81421672
															13.91323727	0.0	8.09902055	4.04951027	5.81421672
61.11496379	0.0	47.4220315	23.71101575	13.69293229															
61.25603138	0.0	47.56309909	23.78154955	13.69293229															
61.12204993	0.0	47.42911764	23.71455882	13.69293229															
61.01805413	0.0	47.32512184	23.66256092	13.69293229															
					35.54982647	0.0	25.57792563	12.78896281	9.97190084										
					35.5694049	0.0	25.59750406	12.79875203	9.97190084										
					35.47359923	0.0	25.50169839	12.7508492	9.97190084										
					35.40616823	0.0	25.43426739	12.7171337	9.97190084										
										19.3505227	0.0	12.21931053	6.10965526	7.13121218					
										19.33987237	0.0	12.2086602	6.1043301	7.13121218					
										19.31595767	0.0	12.1847455	6.09237275	7.13121218					
										19.24861346	0.0	12.11740128	6.05870064	7.13121218					
															13.76241778	0.0	7.94820106	3.97410053	5.81421672
															13.88934379	0.0	8.07512707	4.03756354	5.81421672
															13.82538309	0.0	8.01116637	4.00558318	5.81421672
															13.77618762	0.0	7.9619709	3.98098545	5.81421672
