Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
70.69285864	0.0	56.9408167	28.47040835	13.75204194															
70.5278002	0.0	56.77575826	28.38787913	13.75204194															
70.42889369	0.0	56.67685175	28.33842587	13.75204194															
70.32109987	0.0	56.56905793	28.28452897	13.75204194															
					39.70516236	0.0	29.68973088	14.84486544	10.01543148										
					39.62627292	0.0	29.61084144	14.80542072	10.01543148										
					39.56364269	0.0	29.54821121	14.7741056	10.01543148										
					39.47225063	0.0	29.45681914	14.72840957	10.01543148										
										21.97852621	0.0	14.80589986	7.40294993	7.17262635					
										22.04882122	0.0	14.87619487	7.43809743	7.17262635					
										22.00403692	0.0	14.83141056	7.41570528	7.17262635					
										21.96830748	0.0	14.79568113	7.39784056	7.17262635					
															15.52989286	0.0	9.68539916	4.84269958	5.8444937
															15.56456461	0.0	9.72007091	4.86003546	5.8444937
															15.56488805	0.0	9.72039435	4.86019718	5.8444937
															15.52020695	0.0	9.67571325	4.83785663	5.8444937
72.40458834	0.0	58.61989095	29.30994548	13.78469738															
72.21017447	0.0	58.42547709	29.21273855	13.78469738															
72.09002123	0.0	58.30532385	29.15266192	13.78469738															
71.93354232	0.0	58.14884494	29.07442247	13.78469738															
					40.55472499	0.0	30.52181581	15.2609079	10.03290918										
					40.52616657	0.0	30.49325739	15.24662869	10.03290918										
					40.42972912	0.0	30.39681994	15.19840997	10.03290918										
					40.38373097	0.0	30.35082178	15.17541089	10.03290918										
										22.42327701	0.0	15.24376974	7.62188487	7.17950728					
										22.46564905	0.0	15.28614177	7.64307089	7.17950728					
										22.46252881	0.0	15.28302153	7.64151077	7.17950728					
										22.42345273	0.0	15.24394545	7.62197273	7.17950728					
															15.81162455	0.0	9.96615849	4.98307924	5.84546606
															15.79501216	0.0	9.9495461	4.97477305	5.84546606
															15.77411124	0.0	9.92864518	4.96432259	5.84546606
															15.74164755	0.0	9.89618149	4.94809074	5.84546606
74.88327091	0.0	61.12246046	30.56123023	13.76081045															
74.78259289	0.0	61.02178244	30.51089122	13.76081045															
74.67525514	0.0	60.91444469	30.45722234	13.76081045															
74.5570244	0.0	60.79621395	30.39810697	13.76081045															
					42.35397999	0.0	32.32714514	16.16357257	10.02683485										
					42.28599089	0.0	32.25915604	16.12957802	10.02683485										
					42.2367565	0.0	32.20992165	16.10496083	10.02683485										
					42.17841491	0.0	32.15158006	16.07579003	10.02683485										
										23.48018187	0.0	16.31055692	8.15527846	7.16962496					
										23.53632412	0.0	16.36669917	8.18334958	7.16962496					
										23.47919393	0.0	16.30956897	8.15478449	7.16962496					
										23.46498276	0.0	16.2953578	8.1476789	7.16962496					
															16.41830672	0.0	10.56914815	5.28457408	5.84915857
															16.42287234	0.0	10.57371377	5.28685689	5.84915857
															16.39098562	0.0	10.54182705	5.27091353	5.84915857
															16.38175113	0.0	10.53259255	5.26629628	5.84915857
89.70945728	0.0	75.94868274	37.97434137	13.76077454															
89.6458989	0.0	75.88512436	37.94256218	13.76077454															
89.44269643	0.0	75.68192189	37.84096095	13.76077454															
89.40180495	0.0	75.64103042	37.82051521	13.76077454															
					52.69871439	0.0	42.6789399	21.33946995	10.01977448										
					52.6624033	0.0	42.64262882	21.32131441	10.01977448										
					52.61499376	0.0	42.59521928	21.29760964	10.01977448										
					52.52446877	0.0	42.50469429	21.25234714	10.01977448										
										30.00485704	0.0	22.83325816	11.41662908	7.17159889					
										29.95094088	0.0	22.779342	11.389671	7.17159889					
										29.85750584	0.0	22.68590695	11.34295348	7.17159889					
										29.8233498	0.0	22.65175091	11.32587546	7.17159889					
															20.06931863	0.0	14.23009867	7.11504933	5.83921996
															20.1035772	0.0	14.26435724	7.13217862	5.83921996
															19.98351521	0.0	14.14429525	7.07214762	5.83921996
															19.95737077	0.0	14.11815081	7.0590754	5.83921996
81.50642347	0.0	67.75326742	33.87663371	13.75315605															
81.43490996	0.0	67.68175391	33.84087695	13.75315605															
81.2263055	0.0	67.47314945	33.73657473	13.75315605															
81.13726066	0.0	67.38410461	33.6920523	13.75315605															
					45.98913255	0.0	35.97668568	17.98834284	10.01244687										
					46.01099178	0.0	35.99854492	17.99927246	10.01244687										
					45.8929508	0.0	35.88050393	17.94025197	10.01244687										
					45.85038393	0.0	35.83793707	17.91896853	10.01244687										
										25.73785494	0.0	18.57046227	9.28523113	7.16739267					
										25.75572751	0.0	18.58833483	9.29416742	7.16739267					
										25.65667318	0.0	18.48928051	9.24464025	7.16739267					
										25.63342838	0.0	18.46603571	9.23301785	7.16739267					
															17.64096248	0.0	11.79650522	5.89825261	5.84445726
															17.63666917	0.0	11.7922119	5.89610595	5.84445726
															17.59554873	0.0	11.75109147	5.87554573	5.84445726
															17.59118534	0.0	11.74672807	5.87336404	5.84445726
