Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
37.52193127	0.03777011	25.09538735	12.52880862	13.75204194															
37.42905405	0.05153904	25.00251013	12.47548554	13.75204194															
37.31763843	0.00484573	24.8910945	12.44312438	13.75204194															
37.21981928	0.00659955	24.79327536	12.3933379	13.75204194															
					22.92605042	0.03282563	13.87596173	6.92156805	10.01543148										
					22.93445946	0.01518393	13.88437077	6.93459342	10.01543148										
					22.89716978	0.01951551	13.84708109	6.91378279	10.01543148										
					22.87779702	0.02476801	13.82770834	6.90147016	10.01543148										
										14.24030612	0.12031813	7.75901725	3.81934956	7.17262635					
										14.32114865	0.02359234	7.83985977	3.90813372	7.17262635					
										14.27502668	0.02956971	7.79373781	3.88208405	7.17262635					
										14.27187719	0.00647574	7.79058831	3.89205629	7.17262635					
															10.79981993	0.01997299	5.51865092	2.74933897	5.8444937
															10.78412162	0.01691441	5.50295262	2.7430191	5.8444937
															10.80049283	0.01885507	5.51932382	2.75023438	5.8444937
															10.7881572	0.02007066	5.5069882	2.74345877	5.8444937
39.29209934	0.05853091	26.83604749	13.38875829	13.78469738															
39.20152778	0.01864865	26.74547593	13.36341364	13.78469738															
39.0823499	0.00814293	26.62629805	13.30907756	13.78469738															
38.98461168	0.00400513	26.52855983	13.26227735	13.78469738															
					24.22068577	0.09708884	15.15480398	7.52885757	10.03290918										
					24.21750375	0.05426051	15.15162196	7.54868073	10.03290918										
					24.16462475	0.02116161	15.09874296	7.53879068	10.03290918										
					24.14116808	-0.00637819	15.07528629	7.54083224	10.03290918										
										14.93828782	0.01453331	8.45078124	4.21812396	7.17950728					
										14.99432432	0.02631381	8.50681775	4.24025197	7.17950728					
										15.0010507	0.00501084	8.51354413	4.25426664	7.17950728					
										14.97450413	0.01104927	8.48699755	4.23797414	7.17950728					
															11.17748349	0.02145108	5.89543585	2.93699238	5.84546606
															11.22260135	0.02878754	5.94055371	2.95588308	5.84546606
															11.22117657	0.02447513	5.93912892	2.95732689	5.84546606
															11.19712669	0.00276888	5.91507904	2.95615508	5.84546606
44.1122449	0.060009	31.67777762	15.80888431	13.76081045															
43.98228228	0.00257132	31.54781501	15.77262184	13.76081045															
43.8655537	-0.02004086	31.43108643	15.72556364	13.76081045															
43.7462994	0.01525138	31.31183212	15.64829037	13.76081045															
					27.25928872	0.12822629	18.19889578	9.03533474	10.02683485										
					27.19363363	0.06514264	18.1332407	9.03404903	10.02683485										
					27.1702535	0.02462392	18.10986057	9.04261832	10.02683485										
					27.09986931	-0.01515195	18.03947637	9.02731416	10.02683485										
										16.55967137	-0.05714286	10.0810946	5.06911873	7.16962496					
										16.58279655	0.0411524	10.10421978	5.03153369	7.16962496					
										16.58382176	0.02134095	10.10524499	5.04195202	7.16962496					
										16.55649762	0.00635193	10.07792086	5.03578446	7.16962496					
															11.9822404	0.03233043	6.69685614	3.33226286	5.84915857
															12.06963589	0.02260511	6.78425163	3.38082326	5.84915857
															12.08557955	0.02709556	6.8001953	3.38654987	5.84915857
															12.07103604	0.01031344	6.78565178	3.38766917	5.84915857
43.06229742	0.03529412	30.6278626	15.29628424	13.76077454															
42.90005255	-0.00064189	30.46561773	15.23312981	13.76077454															
42.803997	0.00138435	30.36956217	15.18408891	13.76077454															
42.69501251	0.00239745	30.26057768	15.12909012	13.76077454															
					26.0432548	0.01057923	16.98924172	8.48933124	10.01977448										
					26.01421171	0.00751877	16.96019863	8.47633993	10.01977448										
					25.97633261	-0.00059329	16.92231953	8.46145641	10.01977448										
					25.91830518	0.01859797	16.8642921	8.42284706	10.01977448										
