Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
102.2626689	0.0	88.6286374	44.3143187	13.6340315															
102.63899224	0.0	89.00496074	44.50248037	13.6340315															
102.76182627	0.0	89.12779477	44.56389738	13.6340315															
102.73773632	0.0	89.10370481	44.55185241	13.6340315															
					61.80067551	0.0	51.8676609	25.93383045	9.93301461										
					62.23297212	0.0	52.29995751	26.14997876	9.93301461										
					62.28892079	0.0	52.35590619	26.17795309	9.93301461										
					62.32132683	0.0	52.38831222	26.19415611	9.93301461										
										34.69927366	0.0	27.58618938	13.79309469	7.11308428					
										34.96797477	0.0	27.85489049	13.92744525	7.11308428					
										35.01095417	0.0	27.89786989	13.94893494	7.11308428					
										35.01711041	0.0	27.90402612	13.95201306	7.11308428					
															24.0898406	0.0	18.30055341	9.15027671	5.78928719
															24.40464204	0.0	18.61535485	9.30767743	5.78928719
															24.47384099	0.0	18.6845538	9.3422769	5.78928719
															24.49811259	0.0	18.7088254	9.3544127	5.78928719
92.67859396	0.0	79.05874766	39.52937383	13.6198463															
93.28643343	0.0	79.66658714	39.83329357	13.6198463															
93.38530851	0.0	79.76546222	39.88273111	13.6198463															
93.41901326	0.0	79.79916697	39.89958348	13.6198463															
					58.3508271	0.0	48.41832968	24.20916484	9.93249742										
					58.77763393	0.0	48.84513652	24.42256826	9.93249742										
					58.86609887	0.0	48.93360145	24.46680072	9.93249742										
					58.88171419	0.0	48.94921677	24.47460839	9.93249742										
										33.6345001	0.0	26.53646685	13.26823342	7.09803325					
										33.94112846	0.0	26.8430952	13.4215476	7.09803325					
										33.94044416	0.0	26.84241091	13.42120546	7.09803325					
										34.01746484	0.0	26.91943159	13.45971579	7.09803325					
															23.53611417	0.0	17.74401965	8.87200983	5.79209452
															23.80580826	0.0	18.01371374	9.00685687	5.79209452
															23.87955434	0.0	18.08745982	9.04372991	5.79209452
															23.92076409	0.0	18.12866957	9.06433479	5.79209452
93.89165299	0.0	80.29277569	40.14638785	13.5988773															
94.34534394	0.0	80.74646664	40.37323332	13.5988773															
94.37564003	0.0	80.77676273	40.38838136	13.5988773															
94.444676	0.0	80.8457987	40.42289935	13.5988773															
					57.96124865	0.0	48.0391347	24.01956735	9.92211395										
					58.46037635	0.0	48.5382624	24.2691312	9.92211395										
					58.42165824	0.0	48.4995443	24.24977215	9.92211395										
					58.47227245	0.0	48.5501585	24.27507925	9.92211395										
										33.2033386	0.0	26.10463869	13.05231934	7.09869991					
										33.52360436	0.0	26.42490445	13.21245222	7.09869991					
										33.56045991	0.0	26.46176	13.23088	7.09869991					
										33.59817152	0.0	26.49947161	13.2497358	7.09869991					
															23.12465209	0.0	17.33798638	8.66899319	5.78666571
															23.39801156	0.0	17.61134585	8.80567292	5.78666571
															23.44483669	0.0	17.65817098	8.82908549	5.78666571
															23.49230048	0.0	17.70563476	8.85281738	5.78666571
91.48031779	0.0	77.87776515	38.93888258	13.60255264															
92.05236301	0.0	78.44981038	39.22490519	13.60255264															
92.1324767	0.0	78.52992406	39.26496203	13.60255264															
92.15537357	0.0	78.55282094	39.27641047	13.60255264															
					57.76701171	0.0	47.85162503	23.92581252	9.91538667										
					58.05646031	0.0	48.14107364	24.07053682	9.91538667										
					58.10370674	0.0	48.18832007	24.09416003	9.91538667										
					58.12783076	0.0	48.21244408	24.10622204	9.91538667										
										32.86738543	0.0	25.77558123	12.88779062	7.0918042					
