Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
88.1738548	0.0	74.68708645	37.34354322	13.48676835															
87.3518145	0.0	73.86504615	36.93252308	13.48676835															
86.870622	0.0	73.38385365	36.69192682	13.48676835															
86.62733459	0.0	73.14056624	36.57028312	13.48676835															
					51.7531809	0.0	41.92822095	20.96411048	9.82495995										
					51.41696296	0.0	41.59200302	20.79600151	9.82495995										
					51.12752967	0.0	41.30256972	20.65128486	9.82495995										
					51.01997129	0.0	41.19501134	20.59750567	9.82495995										
										29.893031	0.0	22.8511871	11.42559355	7.0418439					
										29.71918335	0.0	22.67733946	11.33866973	7.0418439					
										29.6279491	0.0	22.5861052	11.2930526	7.0418439					
										29.53288644	0.0	22.49104255	11.24552127	7.0418439					
															21.23217704	0.0	15.50720486	7.75360243	5.72497218
															21.15688675	0.0	15.43191457	7.71595729	5.72497218
															21.10772225	0.0	15.38275007	7.69137503	5.72497218
															21.05506548	0.0	15.3300933	7.66504665	5.72497218
88.63616323	0.0	75.14939488	37.57469744	13.48676835															
87.72147575	0.0	74.2347074	37.1173537	13.48676835															
87.2147649	0.0	73.72799655	36.86399827	13.48676835															
86.91019062	0.0	73.42342227	36.71171114	13.48676835															
					51.95715323	0.0	42.13219328	21.06609664	9.82495995										
					51.48502865	0.0	41.6600687	20.83003435	9.82495995										
					51.28184069	0.0	41.45688075	20.72844037	9.82495995										
					51.10176303	0.0	41.27680308	20.63840154	9.82495995										
										30.01933507	0.0	22.97749117	11.48874559	7.0418439					
										29.8195262	0.0	22.77768231	11.38884115	7.0418439					
										29.70491928	0.0	22.66307538	11.33153769	7.0418439					
										29.62521201	0.0	22.58336811	11.29168406	7.0418439					
															21.47939218	0.0	15.75442	7.87721	5.72497218
															21.39530425	0.0	15.67033207	7.83516604	5.72497218
															21.31073449	0.0	15.58576231	7.79288115	5.72497218
															21.2677535	0.0	15.54278132	7.77139066	5.72497218
87.36068784	0.0	73.87391949	36.93695974	13.48676835															
86.69288165	0.0	73.2061133	36.60305665	13.48676835															
86.34726708	0.0	72.86049873	36.43024936	13.48676835															
86.03659175	0.0	72.5498234	36.2749117	13.48676835															
					53.41858582	0.0	43.59362587	21.79681293	9.82495995										
					52.90105015	0.0	43.0760902	21.5380451	9.82495995										
					52.62502875	0.0	42.80006881	21.4000344	9.82495995										
					52.44518592	0.0	42.62022597	21.31011299	9.82495995										
										30.91740868	0.0	23.87556479	11.93778239	7.0418439					
										30.71368889	0.0	23.67184499	11.8359225	7.0418439					
										30.5476046	0.0	23.50576071	11.75288035	7.0418439					
										30.4662503	0.0	23.42440641	11.7122032	7.0418439					
															21.911477	0.0	16.18650482	8.09325241	5.72497218
															21.84860345	0.0	16.12363127	8.06181564	5.72497218
															21.8037567	0.0	16.07878452	8.03939226	5.72497218
															21.7467453	0.0	16.02177312	8.01088656	5.72497218
93.80858742	0.0	80.32181907	40.16090953	13.48676835															
93.11943228	0.0	79.63266393	39.81633197	13.48676835															
92.60778432	0.0	79.12101597	39.56050799	13.48676835															
92.21702751	0.0	78.73025916	39.36512958	13.48676835															
					55.2409912	0.0	45.41603125	22.70801563	9.82495995										
					54.79156101	0.0	44.96660106	22.48330053	9.82495995										
					54.48495687	0.0	44.65999692	22.32999846	9.82495995										
					54.31178077	0.0	44.48682082	22.24341041	9.82495995										
										31.52178616	0.0	24.47994226	12.23997113	7.0418439					
										31.30102397	0.0	24.25918008	12.12959004	7.0418439					
										31.16447899	0.0	24.12263509	12.06131755	7.0418439					
										31.05999717	0.0	24.01815328	12.00907664	7.0418439					
															22.45458822	0.0	16.72961604	8.36480802	5.72497218
															22.36642292	0.0	16.64145074	8.32072537	5.72497218
															22.29532268	0.0	16.5703505	8.28517525	5.72497218
															22.23120745	0.0	16.50623527	8.25311764	5.72497218
95.45105431	0.0	81.96428596	40.98214298	13.48676835															
94.35815536	0.0	80.87138701	40.4356935	13.48676835															
93.79320317	0.0	80.30643482	40.15321741	13.48676835															
93.36746606	0.0	79.88069771	39.94034885	13.48676835															
					55.76769834	0.0	45.94273839	22.9713692	9.82495995										
					55.32060085	0.0	45.4956409	22.74782045	9.82495995										
					55.01756328	0.0	45.19260333	22.59630166	9.82495995										
					54.82729422	0.0	45.00233427	22.50116714	9.82495995										
										31.92596909	0.0	24.8841252	12.4420626	7.0418439					
										31.62425455	0.0	24.58241066	12.29120533	7.0418439					
										31.48641268	0.0	24.44456878	12.22228439	7.0418439					
										31.3889454	0.0	24.3471015	12.17355075	7.0418439					
															22.46115483	0.0	16.73618265	8.36809133	5.72497218
															22.36094775	0.0	16.63597557	8.31798778	5.72497218
															22.28492692	0.0	16.55995474	8.27997737	5.72497218
															22.25240795	0.0	16.52743577	8.26371789	5.72497218
