Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
59.94904172	0.0	46.35523836	23.17761918	13.59380336															
59.9191498	0.0	46.32534644	23.16267322	13.59380336															
59.80227241	0.0	46.20846905	23.10423453	13.59380336															
59.74785103	0.0	46.15404767	23.07702383	13.59380336															
					33.38698249	0.0	23.46230323	11.73115161	9.92467926										
					33.35370786	0.0	23.42902859	11.7145143	9.92467926										
					33.25496051	0.0	23.33028124	11.66514062	9.92467926										
					33.23693894	0.0	23.31225968	11.65612984	9.92467926										
										18.66694578	0.0	11.58823879	5.7941194	7.07870699					
										18.62509199	0.0	11.54638501	5.7731925	7.07870699					
										18.59043856	0.0	11.51173157	5.75586579	7.07870699					
										18.57708989	0.0	11.49838291	5.74919145	7.07870699					
															13.20573509	0.0	7.42217881	3.71108941	5.78355628
															13.2136997	0.0	7.43014342	3.71507171	5.78355628
															13.22444426	0.0	7.44088798	3.72044399	5.78355628
															13.19206318	0.0	7.4085069	3.70425345	5.78355628
60.46326641	0.0	46.90129279	23.45064639	13.56197362															
60.43560671	0.0	46.87363309	23.43681654	13.56197362															
60.3454573	0.0	46.78348369	23.39174184	13.56197362															
60.27731546	0.0	46.71534184	23.35767092	13.56197362															
					33.99913655	0.0	24.10139104	12.05069552	9.89774552										
					34.01630791	0.0	24.11856239	12.0592812	9.89774552										
					33.96175617	0.0	24.06401065	12.03200533	9.89774552										
					33.91247964	0.0	24.01473412	12.00736706	9.89774552										
										19.00502381	0.0	11.91423121	5.9571156	7.0907926					
										19.05068093	0.0	11.95988833	5.97994416	7.0907926					
										19.00667332	0.0	11.91588071	5.95794036	7.0907926					
										18.95308737	0.0	11.86229477	5.93114738	7.0907926					
															13.36219458	0.0	7.58538781	3.7926939	5.77680677
															13.43237853	0.0	7.65557176	3.82778588	5.77680677
															13.42946091	0.0	7.65265414	3.82632707	5.77680677
															13.43470635	0.0	7.65789958	3.82894979	5.77680677
61.25321118	0.0	47.68256472	23.84128236	13.57064647															
61.24326567	0.0	47.6726192	23.8363096	13.57064647															
61.10660994	0.0	47.53596347	23.76798174	13.57064647															
61.01399755	0.0	47.44335108	23.72167554	13.57064647															
					34.1167448	0.0	24.21795274	12.10897637	9.89879205										
					34.10909094	0.0	24.21029889	12.10514944	9.89879205										
					34.03781828	0.0	24.13902622	12.06951311	9.89879205										
					34.04754922	0.0	24.14875717	12.07437859	9.89879205										
										18.96508483	0.0	11.89248831	5.94624415	7.07259653					
										18.99347823	0.0	11.9208817	5.96044085	7.07259653					
										18.96837095	0.0	11.89577442	5.94788721	7.07259653					
										18.94474585	0.0	11.87214932	5.93607466	7.07259653					
															13.45081593	0.0	7.67864885	3.83932443	5.77216708
															13.48958123	0.0	7.71741416	3.85870708	5.77216708
															13.4901993	0.0	7.71803222	3.85901611	5.77216708
															13.45576983	0.0	7.68360276	3.84180138	5.77216708
60.3932445	0.0	46.80920821	23.4046041	13.58403629															
60.34720215	0.0	46.76316586	23.38158293	13.58403629															
60.24057775	0.0	46.65654146	23.32827073	13.58403629															
60.15148057	0.0	46.56744427	23.28372214	13.58403629															
					33.94169418	0.0	24.04152135	12.02076067	9.90017283										
					33.94788899	0.0	24.04771616	12.02385808	9.90017283										
					33.87931264	0.0	23.97913981	11.9895699	9.90017283										
					33.85134032	0.0	23.95116749	11.97558374	9.90017283										
										18.99243597	0.0	11.90947247	5.95473623	7.08296351					
										19.03069945	0.0	11.94773594	5.97386797	7.08296351					
										18.95651341	0.0	11.8735499	5.93677495	7.08296351					
										18.9462489	0.0	11.86328539	5.9316427	7.08296351					
															13.43002441	0.0	7.66604221	3.8330211	5.7639822
															13.40337007	0.0	7.63938787	3.81969393	5.7639822
															13.40866661	0.0	7.64468441	3.8223422	5.7639822
															13.40434015	0.0	7.64035794	3.82017897	5.7639822
62.43866807	0.0	48.8472812	24.4236406	13.59138687															
62.47405015	0.0	48.88266328	24.44133164	13.59138687															
62.31519016	0.0	48.72380329	24.36190165	13.59138687															
62.25415623	0.0	48.66276936	24.33138468	13.59138687															
					34.83338786	0.0	24.93348757	12.46674379	9.89990028										
					34.8808954	0.0	24.98099511	12.49049756	9.89990028										
					34.81046024	0.0	24.91055996	12.45527998	9.89990028										
					34.76664887	0.0	24.86674859	12.4333743	9.89990028										
										19.35240156	0.0	12.27479833	6.13739917	7.07760323					
										19.37801166	0.0	12.30040843	6.15020422	7.07760323					
										19.32897245	0.0	12.25136922	6.12568461	7.07760323					
										19.32402554	0.0	12.24642231	6.12321115	7.07760323					
															13.59413956	0.0	7.83038792	3.91519396	5.76375163
															13.69676136	0.0	7.93300973	3.96650486	5.76375163
															13.66712662	0.0	7.90337499	3.95168749	5.76375163
															13.64287899	0.0	7.87912736	3.93956368	5.76375163
