Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
57.41206152	0.0	43.92529317	21.96264659	13.48676835															
57.38435556	0.0	43.89758721	21.9487936	13.48676835															
57.27083055	0.0	43.7840622	21.8920311	13.48676835															
57.20440758	0.0	43.71763923	21.85881961	13.48676835															
					32.33197079	0.0	22.50701084	11.25350542	9.82495995										
					32.32283789	0.0	22.49787794	11.24893897	9.82495995										
					32.27008716	0.0	22.44512721	11.22256361	9.82495995										
					32.20392526	0.0	22.37896532	11.18948266	9.82495995										
										18.17648519	0.0	11.1346413	5.56732065	7.0418439					
										18.17827948	0.0	11.13643558	5.56821779	7.0418439					
										18.13695444	0.0	11.09511054	5.54755527	7.0418439					
										18.11074325	0.0	11.06889935	5.53444968	7.0418439					
															12.92643627	0.0	7.20146409	3.60073205	5.72497218
															12.95381997	0.0	7.22884779	3.61442389	5.72497218
															12.93858354	0.0	7.21361136	3.60680568	5.72497218
															12.91063962	0.0	7.18566744	3.59283372	5.72497218
59.64567157	0.0	46.15933741	23.07966871	13.48633415															
59.64421542	0.0	46.15788126	23.07894063	13.48633415															
59.52377413	0.0	46.03743998	23.01871999	13.48633415															
59.43816522	0.0	45.95183106	22.97591553	13.48633415															
					33.25867127	0.0	23.43586016	11.71793008	9.82281111										
					33.30456421	0.0	23.4817531	11.74087655	9.82281111										
					33.19247795	0.0	23.36966684	11.68483342	9.82281111										
					33.14672679	0.0	23.32391568	11.66195784	9.82281111										
										18.63326751	0.0	11.60276923	5.80138461	7.03049828					
										18.58635035	0.0	11.55585207	5.77792604	7.03049828					
										18.59216334	0.0	11.56166506	5.78083253	7.03049828					
										18.53584525	0.0	11.50534697	5.75267348	7.03049828					
															13.16987305	0.0	7.44039105	3.72019552	5.729482
															13.21382432	0.0	7.48434232	3.74217116	5.729482
															13.18166244	0.0	7.45218044	3.72609022	5.729482
															13.14890443	0.0	7.41942242	3.70971121	5.729482
60.55486865	0.0	47.06708176	23.53354088	13.48778689															
60.49676001	0.0	47.00897312	23.50448656	13.48778689															
60.37308152	0.0	46.88529463	23.44264732	13.48778689															
60.28749842	0.0	46.79971153	23.39985577	13.48778689															
					33.81447069	0.0	23.9892207	11.99461035	9.82524999										
					33.82594379	0.0	24.0006938	12.0003469	9.82524999										
					33.74733766	0.0	23.92208767	11.96104383	9.82524999										
					33.70368212	0.0	23.87843212	11.93921606	9.82524999										
										18.92758703	0.0	11.90493425	5.95246712	7.02265279					
										18.91532613	0.0	11.89267334	5.94633667	7.02265279					
										18.90646362	0.0	11.88381083	5.94190542	7.02265279					
										18.84535978	0.0	11.822707	5.9113535	7.02265279					
															13.40565416	0.0	7.6757084	3.8378542	5.72994576
															13.39035511	0.0	7.66040935	3.83020467	5.72994576
															13.34195357	0.0	7.61200781	3.80600391	5.72994576
															13.30523839	0.0	7.57529264	3.78764632	5.72994576
60.2977563	0.0	46.82241449	23.41120724	13.47534182															
60.25372122	0.0	46.7783794	23.3891897	13.47534182															
60.10419236	0.0	46.62885054	23.31442527	13.47534182															
59.98193884	0.0	46.50659703	23.25329851	13.47534182															
					33.73734114	0.0	23.91085638	11.95542819	9.82648476										
