Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
45.29627455	0.0	31.54423261	15.77211631	13.75204194															
45.1028308	0.0	31.35078886	15.67539443	13.75204194															
44.97822325	0.0	31.2261813	15.61309065	13.75204194															
44.83581941	0.0	31.08377747	15.54188873	13.75204194															
					26.47711622	0.0	16.46168474	8.23084237	10.01543148										
					26.377649	0.0	16.36221752	8.18110876	10.01543148										
					26.30510861	0.0	16.28967712	8.14483856	10.01543148										
					26.29204577	0.0	16.27661429	8.13830715	10.01543148										
										15.8917195	0.0	8.71909315	4.35954657	7.17262635					
										15.90554315	0.0	8.7329168	4.3664584	7.17262635					
										15.93243969	0.0	8.75981334	4.37990667	7.17262635					
										15.89251738	0.0	8.71989103	4.35994551	7.17262635					
															11.82729246	0.0	5.98279876	2.99139938	5.8444937
															11.88851745	0.0	6.04402375	3.02201188	5.8444937
															11.86457869	0.0	6.02008499	3.01004249	5.8444937
															11.87525718	0.0	6.03076348	3.01538174	5.8444937
47.0524991	0.0	33.26780172	16.63390086	13.78469738															
46.82644615	0.0	33.04174877	16.52087438	13.78469738															
46.67380971	0.0	32.88911233	16.44455616	13.78469738															
46.56631958	0.0	32.7816222	16.3908111	13.78469738															
					26.85724095	0.0	16.82433177	8.41216588	10.03290918										
					26.7973476	0.0	16.76443842	8.38221921	10.03290918										
					26.7259031	0.0	16.69299392	8.34649696	10.03290918										
					26.67460975	0.0	16.64170057	8.32085029	10.03290918										
										16.2164965	0.0	9.03698922	4.51849461	7.17950728					
										16.20520635	0.0	9.02569908	4.51284954	7.17950728					
