Gesamtwiderstand @5bar [mOhm*cm2]	Bulkwiderstand @5bar [mOhm*cm2]	Durchgangswiderstand @5bar [mOhm*cm2]	Kontaktwiderstand @5bar [mOhm*cm2]	Korrekturwert GDL @5bar/cycle [mOhm*cm2]	Gesamtwiderstand @10bar [mOhm*cm2]	Bulkwiderstand @10bar [mOhm*cm2]	Durchgangswiderstand @10bar [mOhm*cm2]	Kontaktwiderstand @10bar [mOhm*cm2]	Korrekturwert GDL @10bar/cycle [mOhm*cm2]	Gesamtwiderstand @20bar [mOhm*cm2]	Bulkwiderstand @20bar [mOhm*cm2]	Durchgangswiderstand @20bar [mOhm*cm2]	Kontaktwiderstand @20bar [mOhm*cm2]	Korrekturwert GDL @20bar/cycle [mOhm*cm2]	Gesamtwiderstand @30bar [mOhm*cm2]	Bulkwiderstand @30bar [mOhm*cm2]	Durchgangswiderstand @30bar [mOhm*cm2]	Kontaktwiderstand @30bar [mOhm*cm2]	Korrekturwert GDL @30bar/cycle [mOhm*cm2]
45.76117584	0.0	32.21111943	16.10555972	13.5500564															
45.66251231	0.0	32.11245591	16.05622796	13.5500564															
45.53891898	0.0	31.98886258	15.99443129	13.5500564															
45.41466033	0.0	31.86460393	15.93230196	13.5500564															
					26.43663733	0.0	16.56346784	8.28173392	9.87316949										
					26.49573939	0.0	16.6225699	8.31128495	9.87316949										
					26.44993225	0.0	16.57676276	8.28838138	9.87316949										
					26.40406463	0.0	16.53089514	8.26544757	9.87316949										
										15.85934247	0.0	8.80171272	4.40085636	7.05762975					
										15.89518959	0.0	8.83755984	4.41877992	7.05762975					
										15.85893292	0.0	8.80130317	4.40065158	7.05762975					
										15.85681783	0.0	8.79918808	4.39959404	7.05762975					
															11.77807191	0.0	6.03515005	3.01757502	5.74292187
															11.77862638	0.0	6.03570451	3.01785225	5.74292187
															11.77210207	0.0	6.0291802	3.0145901	5.74292187
															11.75448243	0.0	6.01156056	3.00578028	5.74292187
46.6794889	0.0	33.15869907	16.57934954	13.52078982															
46.52244715	0.0	33.00165732	16.50082866	13.52078982															
46.36829053	0.0	32.8475007	16.42375035	13.52078982															
46.25134497	0.0	32.73055515	16.36527757	13.52078982															
					27.00217964	0.0	17.15425379	8.5771269	9.84792584										
					27.04174895	0.0	17.19382311	8.59691155	9.84792584										
					26.98983369	0.0	17.14190785	8.57095392	9.84792584										
					26.93715566	0.0	17.08922981	8.54461491	9.84792584										
										16.07320154	0.0	9.02836214	4.51418107	7.0448394					
										16.15683899	0.0	9.11199959	4.55599979	7.0448394					
										16.10207198	0.0	9.05723258	4.52861629	7.0448394					
										16.10971871	0.0	9.06487931	4.53243965	7.0448394					
															11.8415132	0.0	6.11133914	3.05566957	5.73017407
															11.92915215	0.0	6.19897809	3.09948904	5.73017407
															11.90580183	0.0	6.17562777	3.08781388	5.73017407
															11.92977943	0.0	6.19960536	3.09980268	5.73017407
47.22970634	0.0	33.72070897	16.86035449	13.50899737															
47.0665458	0.0	33.55754843	16.77877421	13.50899737															
46.91822228	0.0	33.40922491	16.70461246	13.50899737															
46.80923679	0.0	33.30023943	16.65011971	13.50899737															
					27.3319797	0.0	17.48473914	8.74236957	9.84724056										
					27.34499805	0.0	17.49775749	8.74887875	9.84724056										
					27.26890527	0.0	17.42166471	8.71083236	9.84724056										
					27.23594137	0.0	17.38870081	8.69435041	9.84724056										
										16.19242999	0.0	9.14515278	4.57257639	7.04727721					
										16.28574655	0.0	9.23846934	4.61923467	7.04727721					
										16.2437949	0.0	9.19651769	4.59825884	7.04727721					
										16.25497494	0.0	9.20769773	4.60384886	7.04727721					
															11.91480856	0.0	6.17228618	3.08614309	5.74252239
															11.9775979	0.0	6.23507551	3.11753776	5.74252239
															11.99681945	0.0	6.25429706	3.12714853	5.74252239
															11.98522491	0.0	6.24270253	3.12135126	5.74252239
47.78540288	0.0	34.29266536	17.14633268	13.49273752															
47.64156797	0.0	34.14883045	17.07441522	13.49273752															
47.47928346	0.0	33.98654593	16.99327297	13.49273752															
47.3942774	0.0	33.90153988	16.95076994	13.49273752															
					27.61584667	0.0	17.77325696	8.88662848	9.84258971										
					27.62607643	0.0	17.78348672	8.89174336	9.84258971										
					27.58007775	0.0	17.73748804	8.86874402	9.84258971										
					27.52070943	0.0	17.67811972	8.83905986	9.84258971										
										16.30838758	0.0	9.27276438	4.63638219	7.0356232					
										16.44530761	0.0	9.40968441	4.7048422	7.0356232					
										16.39281561	0.0	9.35719241	4.6785962	7.0356232					
										16.3927076	0.0	9.3570844	4.6785422	7.0356232					
															12.04027261	0.0	6.31263707	3.15631853	5.72763554
															12.07557778	0.0	6.34794224	3.17397112	5.72763554
